Akademia Sztuki	ORGANIZACJA
Atelier Bizio + Ligierko	ORGANIZACJA
Instytut Architektury i Planowania Przestrzennego	ORGANIZACJA
Katedra Architektury Współczesnej Teorii i Metodologii Projektowania	ORGANIZACJA
VII Liceum Ogólnokształcące im. K.K. Baczyńskiego	ORGANIZACJA
IV Liceum Ogólnokształcące im. L. Szenwalda	ORGANIZACJA
Muzeum Narodowe	ORGANIZACJA
Nagroda Artystyczna m. Szczecina	WYRÓŻNIENIE
Zachodniopomorski Nobel	WYRÓŻNIENIE
Politechnika Krakowska	ORGANIZACJA
Politechnika Szczecińska	ORGANIZACJA
Pracownia Podstaw Projektowania	ORGANIZACJA
Przegląd Teatrów Małych Form „Kontrapunkt”	ORGANIZACJA
Mistrzowska Szkoła Reżyserii Filmowej Andrzeja Wajdy	ORGANIZACJA
Uniwersytet im. M. Kopernika	ORGANIZACJA
Zachodniopomorski Uniwersytet Technologiczny	ORGANIZACJA
Wydział Budownictwa i Architektury	ORGANIZACJA
Wydział Stuk Wizualnych	ORGANIZACJA
Zakład Teorii Architektury, Historii i Konserwacji Zabytków	ORGANIZACJA
Festiwal Polskich Sztuk Współczesnych R@Port	WYDARZENIE
IAiPP	ORGANIZACJA
ZUT	ORGANIZACJA
Sosnowiec	MIASTO
Stefan	IMIĘ
Józefa	IMIĘ
Szczecin	MIASTO
Waldemar	IMIĘ
Marzęcki	NAZWISKO
Austria	KRAJ
Czechy	KRAJ
Niemcy	KRAJ
Francja	KRAJ
Litwa	KRAJ
USA	KRAJ
Rosja	KRAJ
