U . S .	U.S.
...	. . .
..	. .
(...)	( . . . )
?!	? !
!!!	! ! !
???	? ? ?
....	. . . .
?...	? . . .
,,	, ,
??	? ?
S . A	S.A
...?	. . . ?
.....	. . . . .
!!!!	! ! ! !
!!	! !
!...	! . . .
[...]	[ . . . ]
’’ .	’ ’ .
[..]	[ . . ]
.......	. . . . . . .
…?	… ?
(*)	( * )
*****	* * * * *
[+]	[ + ]
[-]	[ - ]
[?]	[ ? ]
1975-1998	1975 - 1998
’’	’ ’
P . S	P.S
2-3	2 - 3
17.00	17 . 00
......	. . . . . .
16.00	16 . 00
!?	! ?
2:0	2 : 0
22.00	22 . 00
1:0	1 : 0
........	. . . . . . . .
????	? ? ? ?
30-40	30 - 40
3-4	3 - 4
20.00	20 . 00
1:1	1 : 1
14.00	14 . 00
13.00	13 . 00
12.00	12 . 00
1-3	1 - 3
>>	> >
7-9	7 - 9
3-5	3 - 5
22.30	22 . 30
18.30	18 . 30
18.00	18 . 00
16.30	16 . 30
13.30	13 . 30
11.00	11 . 00
10.30	10 . 30
(?)	( ? )
8.00	8 . 00
6:4	6 : 4
4-5	4 - 5
3:0	3 : 0
20-30	20 - 30
2-4	2 - 4
19.30	19 . 30
14.30	14 . 30
****	* * * *
***	* * *
(-)	( - )
(!)	( ! )
’80	’ 80
k . p . c	k.p.c
(++)	( + + )
(--)	( -- )
(..)	( . . )
(?!)	( ? ! )
(…)	( … )
-10	- 10
-124	- 124
-17	- 17
-2007	- 2007
-22	- 22
-23	- 23
-367	- 367
-40	- 40
-5	- 5
/.../	/ . . . /
0,05-1,0	0,05 - 1,0
0,05-1,5	0,05 - 1,5
0,5–1,0	0,5 – 1,0
0,5—1	0,5 — 1
0,9-2,75	0,9 - 2,75
0-46 855 -45 -26 ) .	0-46 855-45-26 ) .
0-5	0 - 5
00:39	00 : 39
01:26	01 : 26
01:40	01 : 40
03.03.	03 . 03 .
04:02	04 : 02
05:10	05 : 10
06:15	06 : 15
06:37	06 : 37
07:43	07 : 43
07:54	07 : 54
09:56	09 : 56
0:00	0 : 00
0:30	0 : 30
0:35	0 : 35
0:5	0 : 5
1,24	1 , 24
1,5-2	1,5 - 2
1,50-2	1 , 50 - 2
1,6-1,8	1,6 - 1,8
1-11	1 - 11
1-17	1 - 17
1-23	1 - 23
1-8	1 - 8
1.01.1993	1 . 01 . 1993
1.04.	1 . 04 .
1.04.286	1 . 04 . 286
1.12	1 . 12
1.3	1 . 3
10-11	10 - 11
10-13	10 - 13
10-14	10 - 14
10-15	10 - 15
10-20	10 - 20
10.10.1995	10 . 10 . 1995
10.20	10 . 20
10 - proc	10-proc
100 - %	100-%
100-110	100 - 110
1000-1500	1000 - 1500
10–15	10 – 15
10—12	10 — 12
10—15	10 — 15
11-12	11 - 12
11.10	11 . 10
11.X.2001	11 . X . 2001
1150-1250	1150 - 1250
11:39	11 : 39
12,8-12,9	12,8 - 12,9
12-16	12 - 16
12-17	12 - 17
12-24	12 - 24
12.07.1982	12 . 07 . 1982
12.09.	12 . 09 .
12.20	12 . 20
12.25	12 . 25
12.28	12 . 28
12.5 .	12 . 5 .
12.50	12 . 50
120-140	120 - 140
