0,05-1,0 <---> 0,05 - 1,0
0,05-1,5 <---> 0,05 - 1,5
0-0 <---> 0 - 0
0:0 <---> 0 : 0
0:1 <---> 0 : 1
0:2 <---> 0 : 2
0:3 <---> 0 : 3
0,5—1 <---> 0,5 — 1
0-5 <---> 0 - 5
0:5 <---> 0 : 5
0,8 - 2,0 <---> 0,8 - 2,0
0,9-2,75 <---> 0,9 - 2,75
10.00 <---> 10 . 00
100-110 <---> 100 - 110
100 - 200 <---> 100 - 200
10.10.1995 <---> 10 . 10 . 1995
1.01.1993 <---> 1 . 01 . 1993
10-11 <---> 10 - 11
10-12 <---> 10 - 12
10-13 <---> 10 - 13
10-14 <---> 10 - 14
10-15 <---> 10 - 15
10–15 <---> 10 – 15
10—15 <---> 10 — 15
10-17 <---> 10 - 17
10-20 <---> 10 - 20
10.20 <---> 10 . 20
10.30 <---> 10 . 30
1.04. <---> 1 . 04 .
10. <---> 10 .
1:0 <---> 1 : 0
-10 <---> - 10
1:100 000 <---> 1 : 100 000
11.00 <---> 11 . 00
1-10 <---> 1 - 10
11.10 <---> 11 . 10
11-12 <---> 11 - 12
11.30 <---> 11 . 30
11:39 <---> 11 : 39
113. <---> 113 .
1150-1250 <---> 1150 - 1250
1-17 <---> 1 - 17
11.X.2001 <---> 11 . X . 2001
11. <---> 11 .
1:1 <---> 1 : 1
11 - 2001 <---> 11 - 2001
12.00 <---> 12 . 00
120-140 <---> 120 - 140
120–140 <---> 120 – 140
120–410 <---> 120 – 410
12.07.1982 <---> 12 . 07 . 1982
12:15 <---> 12 : 15
12-16 <---> 12 - 16
12-17 <---> 12 - 17
12-24 <---> 12 - 24
12:29 <---> 12 : 29
1230-1246 <---> 1230 - 1246
12.30 <---> 12 . 30
1-23 <---> 1 - 23
1248–60 <---> 1248 – 60
1,24 <---> 1 , 24
-124 <---> - 124
12:52 <---> 12 : 52
1253-1810 <---> 1253 - 1810
1256-1258 <---> 1256 - 1258
125. <---> 125 .
1:25 <---> 1 : 25
12. <---> 12 .
1-2 <---> 1 - 2
1:2 <---> 1 : 2
13.00 <---> 13 . 00
13:02 <---> 13 : 02
13–14 <---> 13 – 14
13-17 <---> 13 - 17
13-23 <---> 13- 23
13.30 <---> 13 . 30
1333-70 <---> 1333 - 70
13-35 <---> 13 - 35
1340-1405 <---> 1340 - 1405
13.40 <---> 13 . 40
13. <---> 13 .
1-3 <---> 1 - 3
1.3 <---> 1 . 3
1400-1600 <---> 1400 - 1600
14.00 <---> 14 . 00
14.07.1995 <---> 14 . 07 . 1995
14:11 <---> 14 : 11
14-16 <---> 14 - 16
14-17 <---> 14 - 17
14-18 <---> 14 - 18
14.20 <---> 14 . 20
14.30 <---> 14 . 30
14,36 <---> 14 , 36
1466–1772 <---> 1466 – 1772
14. <---> 14 .
1:4 <---> 1 : 4
1500 - 800 <---> 1500 - 800
150-180 <---> 150 - 180
150–180 <---> 150 – 180
1,50-2 <---> 1 , 50 - 2
150-300 <---> 150- 300
1:50 <---> 1 : 50
1,50 - 2 <---> 1 , 50 - 2
15-10 <---> 15 - 10
15:10 <---> 15 : 10
1511-21 <---> 1511 - 21
15.15 <---> 15 . 15
15-16-latków <---> 15 - 16-latków
15-17 <---> 15 - 17
15:18 <---> 15 : 18
15-20 <---> 15 - 20
15—20 <---> 15 — 20
15,22 <---> 15 , 22
15-25 <---> 15 - 25
1,5-2 <---> 1,5 - 2
15.40 <---> 15 . 40
15.46 <---> 15 . 46
15:53 <---> 15 : 53
1558-62 <---> 1558 - 62
1582-1727 <---> 1582 - 1727
15. <---> 15 .
1-5 <---> 1 - 5
1:5 <---> 1 : 5
1600–03 <---> 1600 – 03
16.00 <---> 16 . 00
16.15 <---> 16 . 15
16-17 <---> 16 - 17
1,6-1,8 <---> 1,6 - 1,8
16:18 <---> 16 : 18
16-21-latków <---> 16 - 21-latków
16:21 <---> 16 : 21
