( C ) Maćka <---> (C)Maćka
* blisko * znaczne <---> *blisko*znaczne
* jedno * znaczne <---> *jedno*znaczne
. pl <---> .pl
0 d <---> 0d
0-20 -21 -22 <---> 0-20-21-22
0-800 -20 -150 <---> 0-800-20-150
1 , 115.000 <---> 1,115.000
1-2 -3 <---> 1 - 2-3
1-2 -3 <---> 1-2-3
12 E <---> 12E
12 a <---> 12a
12 b <---> 12b
146 A <---> 146A
146 B <---> 146B
18 b <---> 18b
18 c <---> 18c
2 A 4 <---> 2A4
2 p <---> 2p
2003 - 18 <---> 2003 - 18
2004 - 17,5 <---> 2004 - 17,5
2005 - 17 <---> 2005 - 17
24 A <---> 24A
248 Z <---> 248Z
25 a <---> 25a
25 h <---> 25h
3 b <---> 3b
3. c <---> 3.c
3.29 , 46 <---> 3.29,46
3.30 , 47 <---> 3.30,47
3.32 , 91 <---> 3.32,91
35 ´ <---> 35´
4 media <---> 4media
4. a . <---> 4.a.
4. b <---> 4.b
4. c . <---> 4.c.
44 m -7 <---> 44m -7
492 A <---> 492A
492 B <---> 492B
5 d <---> 5d
5 x <---> 5x
6. c <---> 6.c
6. d . <---> 6.d.
60546. fizjks@iftia.univ.gda.pl <---> 60546.fizjks@iftia.univ.gda.pl
6667 / 88 / IV <---> 6667/88/IV
7. a . <---> 7.a.
7. b <---> 7.b
7. d <---> 7.d
7. f <---> 7.f
73-65 -32 <---> 73-65-32
735 ie <---> 735ie
8 ) ) ) ) <---> 8))))
8 X <---> 8X
8 a <---> 8a
81 A <---> 81A
9 b 16 v 3 $ pmh $ 1 @ news.onet.pl <---> 9b16v3$pmh$1@news.onet.pl
9 b <---> 9b
9 x <---> 9x
9. b <---> 9.b
94 a <---> 94a
;))) ) ) ) ) ) ) ) ) ) ) ) ) <---> ;)))))))))))))))
A -1 <---> A-1
A . C <---> A.C
A . D <---> A.D
A . K . M <---> A.K.M
AC + 79 <---> AC+79
AG -23 <---> AG-23
AN -124 <---> AN-124
Aujourd ' hui <---> Aujourd'hui
B + R <---> B+R
B -14 <---> B-14
B -17 <---> B-17
B -2 <---> B-2
B -24 <---> B-24
B -52 <---> B-52
B 10 M <---> B10M
B M ki <---> BM-ki
C 18 H 28 O 2 <---> C18H28O2
C 18 H 34 O 2 <---> C18H34O2
C 2 H 5 OH <---> C2H5OH
C 70 <---> C70
C d. <---> Cd .
CO 2 <---> CO2
Canal + <---> Canal+
Canale + <---> Canale+
D ' Arc <---> D'Arc
D ' Viosion <---> D'Viosion
DDR 400 <---> DDR400
DW 592 <---> DW592
DW 594 <---> DW594
E 100 <---> E100
E 18 <---> E18
E 2 <---> E2
E 3 <---> E3
EP -3 <---> EP-3
F 2 <---> F2
F 3 <---> F3
F 7 <---> F7
G -14 <---> G-14
G -7 <---> G-7
G -8 <---> G-8
G 11 <---> G11
G 12 <---> G12
G 3 <---> G3
Gekij _ o <---> Gekij_o
H 5 N 1 <---> H5N1
I -22 <---> I-22
IV . 5 <---> IV.5
Idol 92 <---> Idol92
J @ zz <---> J@zz
JEDNEG 0 <---> JEDNEG0
Jar -32 <---> Jar-32
K -2 <---> K-2
K 6 <---> K6
K 6-2 400 <---> K6-2 400
K 6-3 400 <---> K6-3 400
KC -135 <---> KC-135
KJ 2 <---> KJ2
KT 400 <---> KT400
L ' Authentique <---> L'Authentique
L ' Oreal <---> L'Oreal
L ' odeur <---> L'odeur
L -4 <---> L-4
L 4 <---> L4
L 7 <---> L7
LI _ I _ I <---> LI_I_I
M -2 <---> M-2
M -28 <---> M-28
M -80 <---> M-80
M 12 <---> M12
M 14 <---> M14
M 28 <---> M28
M 5 <---> M5
M 6 <---> M6
M 7 <---> M7
MATIKI ' S <---> MATIKI'S
MD -80 <---> MD-80
MI -17 <---> MI-17
MI -2 <---> MI-2
MI 5 <---> MI5
MP 3 <---> MP3
MP 5 <---> MP5
MPEG -1 <---> MPEG-1
MPEG -4 <---> MPEG-4
Magdasf 1 <---> Magdasf1
Matrix ' ie <---> Matrix'ie
Mawsu ' at <---> Mawsu'at
Mi -8 <---> Mi-8
MiG -21 <---> MiG-21
N 2 <---> N2
N 33 <---> N33
Na + <---> Na+
O _ o <---> O_o
OPZZ / p / 630 / 2000 <---> OPZZ/p/630/2000
P -64 <---> P-64
PIT -37 <---> PIT-37
PN -55 <---> PN-55
