dojrzeć|dojść	dojrzały
ogarnąć|opanować|wypełnić|objąć|przepełnić|unieść|przeniknąć|owładnąć	pełny|pełen
obniżyć|zniżyć	dolny
obniżyć|zniżyć	niższy
obniżyć|zniżyć	niski|niewysoki
poznać	znany
powiększyć|zwiększyć	większy
przybrać|ozdobić|ubrać|ustroić|udekorować|przyozdobić|przystroić|okrasić	piękniejszy
rozszerzyć|poszerzyć	szerszy
ukryć|schować|skryć	niewidoczny|niewidzialny
trafić|utrafić|wcelować	zgrabny|zręczny|trafny
ucieszyć się|uradować się|rozradować się	radosny
ucieszyć|uradować|rozradować	radosny
ujawnić|wyjawić|zdradzić|odkryć	jawny
umożliwić	możliwy
uspokoić|ukoić	spokojny
wyjaśnić|wytłumaczyć|wyklarować|objaśnić	zrozumiały|przystępny|jasny|klarowny|przejrzysty
wypełnić|napełnić|zapełnić	pełny|pełen
zapewnić	automatyczny
zapoznać się|zaznajomić się|poznać się	znajomy|nieobcy
zmienić|zmodyfikować	zmieniony|przeobrażony
zwolnić|przyhamować|spowolnić	wolniejszy
ochłodzić|schłodzić	chłodny
zwęzić	ciasny
wznowić	ponowny|powtórny
zabezpieczyć	chroniony
sforsować|przeciążyć	sforsowany
zwiotczeć	wiotki
wyciszyć|uciszyć	cichszy
uciszyć	cichszy
zmoczyć	mokry
ożywiać|wskrzeszać	żywy
zagęścić|zgęścić	zawiesisty
uodpornić	wytrzymały|odporny
uodpornić	odporny
skłócić|skonfliktować|poróżnić|pokłócić	skłócony|poróżniony
odmłodzić	młodszy
uatrakcyjnić	pociągający|atrakcyjny|przyciągający
zrumienić	rumiany|przypieczony|przysmażony
posolić|osolić	słony
posłodzić|osłodzić	słodki
zmiękczyć	miękki|niesztywny
umyć	czysty
ulepszyć|polepszyć	lepszy
osłabić	słabszy
zagrzać|ogrzać|rozgrzać|nagrzać|ocieplić	ciepły
upiększyć	piękniejszy
obnażyć|roznegliżować	goły|nagi
załamać|podciąć|ugiąć|złamać|rozłożyć	przybity
przygnębić|zgnębić	przygnębiony|zgnębiony
usztywnić	twardy|niegiętki|sztywny|nieelastyczny|niesprężysty
zdynamizować	dynamiczny
upodobnić	podobny
zracjonalizować	rozumowy
uelastycznić	elastyczniejszy
ujednolicić|zunifikować	jednolity|niezróżnicowany|jednorodny|homogeniczny|jeden
uefektywnić	efektywniejszy
umocnić|wzmocnić	trwały
rozpowszechnić|upowszechnić|rozprzestrzenić	powszechny|rozpowszechniony
zaniedbać|zapomnieć	zaniedbany|zapuszczony
wygładzić|ogładzić	gładki
wyrównać|zrównać	gładki
wykończyć|wyczerpać|wycieńczyć	skonany|wyczerpany|półżywy|półmartwy|wykończony|zdechły|wpółżywy
zmęczyć	zmęczony
namoczyć	mokry
ubarwić|zabarwić	barwny|kolorowy
zaczernić	czarny
przyciemnić	ciemny
zaczerwienić	czerwony
zaróżowić	różowy
zazielenić	zielony
pozłocić|wyzłocić|ozłocić	złocisty|złoty|pozłocisty|złociutki|złotolity|złotolicy
oślepić	ociemniały|oślepły|poślepły
oślepić	niewidomy|niewidzący|ślepy
zaślepić|oślepić	ślepy|zaślepiony
wzburzyć|zburzyć	wzburzony
przymglić się	niewyraźny
przyćmić|zaćmić|przygasić	przyćmiony|mroczny
posrebrzyć|osrebrzyć|wysrebrzyć	srebrny|srebrzysty
unieruchomić	nieruchomy
przywiązać	przywiązany
skuć	zamarznięty|zamarzły
odpaść	grubszy
odpaść	grubszy
oswoić|obłaskawić	oswojony
rozgniewać|rozsierdzić|rozeźlić	gniewny|rozzłoszczony|zły|rozgniewany|wzburzony|zagniewany
rozzłościć się|zezłościć się	gniewny|rozzłoszczony|zły|rozgniewany|wzburzony|zagniewany
zidentyfikować|utożsamić	identyczny|ten sam|taki sam|tożsamy
zapewnić|upewnić	przekonany|pewny|pewien
utrwalić	trwały
utrwalić	trwalszy
