wyrzucać sobie	wyrzucać
turczyć	turczyć się
rusyfikować	rusyfikować się
ukrainizować	ukrainizować się
romanizować	romanizować się
sturczyć	sturczyć się
zrusyfikować	zrusyfikować się
zukrainizować	zukrainizować się
zamerykanizować	zamerykanizować się
zromanizować	zromanizować się
judaizować	judaizować się
latynizować	latynizować się
madziaryzować	madziaryzować się
slawizować	slawizować się
zjudaizować	zjudaizować się
zmadziaryzować	zmadziaryzować się
zeslawizować	zeslawizować się
zlatynizować	zlatynizować się
