widywać	widzieć
łazić|łazęgować|łazikować	leźć
pijać	pić|wypijać
sypiać	spać
jadać	jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się
łazić	leźć
poszturchiwać	szturchać
przyklękiwać	przyklękać
pokładać się|polegiwać	kłaść się
postukiwać	stukać|pukać|kołatać|stukotać
przysiadywać się	przysiadać się
przysiadywać się	przysiadać się|dosiadać się
posapywać	sapać
grywać	grać
grywać	grać
grywać	grać|odgrywać
kursować|chodzić|jeździć	odchodzić|wychodzić|iść
rozpytywać|rozpytywać się	pytać|indagować|nagabywać|zapytywać|zapytywać się|zadawać pytanie|pytać się|zwracać się z pytaniem
rozpożyczać	pożyczać
ciągać	ciągnąć
zdążać	zdążyć
obszywać	szyć
trzaskać	trzasnąć
mawiać	mówić
podsypywać	podsypać
pohukiwać	hukać
pohukiwać	hukać
pohukiwać	hukać
pogwizdywać	gwizdać
poświstywać	świstać
posykiwać	syczeć|sykać
poszczekiwać	szczekać
powarkiwać	warczeć|warkotać
pisywać	pisać
pisywać	pisać
wozić	przewozić|uwozić
wycałowywać	całować|cmokać|składać pocałunek
rozwozić	dowozić
czytywać	czytać|oddawać się lekturze
miewać	mieć|być w posiadaniu|posiadać
miewać	charakteryzować się|cechować się|posiadać|odznaczać się|nosić|mieć
potupywać	tupać
zakażać się	zakazić się
wyłapywać|wychwytywać|wyławiać	łapać|chwytać
siadywać	siadać
zdobywać	zdobyć
zaspokajać się|nasycać się|sycić się	zaspokoić się|nasycić się
prowadzać	prowadzić|wieść
zdradzać|przypinać rogi|przyprawiać rogi	zdradzić|przypiąć rogi|przyprawić rogi
witać	przywitać|powitać
chodzić	iść|zmierzać|podążać
srywać	srać|stawiać kloca|stawiać figurkę z brązu|wyprowadzać kreta na spacer|wyprowadzać kreta
wychwytywać|wyłapywać	chwytać|łapać
grywać	grać
