narzucać|naciskać	rzucać|ciskać|miotać
pootwierać	otworzyć
pozamykać	zamknąć|zawrzeć
pozrywać	zerwać|urwać
porozwieszać	rozwiesić
poranić|pokiereszować|pokaleczyć	zranić|skaleczyć|ranić
posklejać|pozlepiać	skleić|zlepić
poukładać	położyć
pourywać	zerwać|urwać
pourywać	urwać
poobcierać	przetrzeć|wytrzeć|obetrzeć
pozabijać|pozałatwiać	zabić|uśmiercić|załatwić
pogubić	zgubić|zagubić
popłacić|pospłacać	spłacić|oddłużyć się
rozpytać|rozpytać się	spytać|zapytać|zadać pytanie|nagabnąć|spytać się|zapytać się|zwrócić się z pytaniem
rozpożyczyć	pożyczyć
pospadać	spaść|polecieć|upaść|paść
poustawiać się	ustawić się
poustawiać się	ustawić się
przeważać	ważyć
pochwytać	chwycić|ująć
poprzecinać	przeciąć
poprzecinać	przeciąć
naszyć|poszyć	uszyć
porozrywać	zerwać|przerwać
pościągać|pozdejmować	zdjąć
pościągać	zawitać|ściągnąć
pościągać	ściągnąć|spisać|zerżnąć|odwalić
poprzedzielać	podzielić
poprzerywać	zerwać|przerwać
porozdzielać	rozdzielić|podzielić
pozwijać	zwinąć
pozszywać|pozeszywać	zszyć|zeszyć
pozwijać	zwinąć
powyciągać	wyciągnąć
powyciągać	wyciągnąć
powyciągać	wyciągnąć
powyciągać	wyciągnąć
powyciągać	wyciągnąć|wydostać|wydobyć|wyprowadzić
pozawijać|popodwijać	podwinąć|zawinąć
pozawijać	owinąć|zawinąć|obwinąć|spowić|spowinąć
popakować	opakować|zapakować|spakować
pozawijać	nawinąć|zwinąć|zawinąć|namotać|nakręcić
pookręcać|poowijać	owinąć|zawinąć|obwinąć|spowić|spowinąć
pookręcać|poowijać	okręcić|opleść|oplątać|omotać
pozawijać	zawinąć
poskładać	złożyć
poskładać	znieść|złożyć
porzucać	rzucać|ciskać|miotać
pozapalać	zapalić
pozabijać	zabić
pozabijać	wbić
nałowić	złowić
nastawiać	stawiać|ustawiać
nabudować|nastawiać	zbudować|wybudować|postawić|wznieść
powracać	powrócić|wrócić
pogasić	zgasić|ugasić|wygasić|zagasić
pocerować	zacerować
posiadać	usiąść|siąść
posiadać	usiąść|siąść
porozchodzić się	odejść
porozchodzić się	rozejść się
rozsiąść się	siąść|usiąść
potępić się	stępić się
pozarzynać	zarżnąć|ubić
powłóczyć|pociągać	ciągnąć
powywieszać	wywiesić
pożenić się	ożenić się|wziąć za żonę
pozabierać	zabrać|pozbawić|odebrać
pozabierać	odsunąć|usunąć|zabrać
pozabierać	zabrać|wziąć
pozwiedzać	zwiedzić
poszaleć	stracić rozum|zwariować|oszaleć|dostać pomieszania zmysłów
porozbijać	rozbić
porozbijać	rozbić
potłuc|porozbijać|pobić	stłuc|zbić|roztłuc|rozbić
popielić|popleć	odchwaścić|opleć|wypielić
powtykać	wetknąć
wyszarpać	pociągnąć|szarpnąć
wymordować	zamordować|zgładzić
nalepić	ulepić
pozwalać	zwalić|zrzucić
popisać	napisać
wycałować	pocałować|cmoknąć
potworzyć	stworzyć|utworzyć|zbudować
pomachać|zamachać	machnąć
pochorować się	zachorować|rozchorować się|zapaść|pochorować się|zaniemóc
pokaleczyć się|poranić się|pokiereszować się	zranić się|skaleczyć się
potłuc się	rozbić się|strzaskać się|zbić się|stłuc się|prysnąć|rozprysnąć się|rozbryznąć się|rozbryzgać się
pordzewieć	zardzewieć|skorodować
popadać	paść
powyjmować|powyciągać	wyjąć|wyciągnąć
poobcinać	ostrzyc|obciąć|obstrzyc|ściąć
poobcinać	obciąć
poobcinać	obciąć
potracić	stracić|postradać|utracić
nakręcić	kręcić
nakłamać	kłamać|łgać|bujać|rozmijać się z prawdą|mijać się z prawdą
poubierać|powkładać|ponakładać|pozakładać	włożyć|nałożyć|założyć|wdziać|ubrać
poprzystrajać|poubierać|poozdabiać	przybrać|ozdobić|ubrać|ustroić|udekorować|przyozdobić|przystroić|okrasić
nadrukować	wydrukować
pousuwać	odsunąć|usunąć|zabrać
pousuwać	usunąć
pousuwać	usunąć|zlikwidować|wyeliminować|pozbyć się
namierzyć	zmierzyć|odmierzyć
narwać|nazrywać	zerwać|urwać
powybijać	wybić
pokomplikować	powikłać|pogmatwać|pokomplikować|skomplikować|zagmatwać|zawikłać|poplątać|zapętlić
pokomplikować się	skomplikować się|powikłać się|pogmatwać się|pokomplikować się|zagmatwać się|zawikłać się|poplątać się|zapętlić się
poumawiać się	umówić się|uzgodnić|umówić|zmówić się
poumawiać się	umówić się
powysypywać się	posypać się|wysypać się
powysypywać	wysypać
powysypywać	wysypać
pomarnować	zmarnotrawić|zmarnować|stracić
pomarnować	zmarnować
powybijać	wybić
powybijać	nabić|wybić
powybijać	wybić
pozgniatać	zmiażdżyć|zgnieść|rozgnieść
pozgniatać się	zgnieść się|zmiąć się
poprzeziębiać się	przeziębić się|zaziębić się|przechłodzić się
porodzić się	urodzić się|narodzić się|przyjść na świat
porozlatywać się	rozlecieć się
porozlatywać się	rozlecieć się
porozlatywać się	rozpaść się|rozlecieć się
porozlatywać się	rozpaść się|rozlecieć się|rozsypać się
podowiadywać się	dowiedzieć się
nazlatywać się	zlecieć się
nazlatywać się	zlecieć się
nałapać|połapać|wyłapać|pochwytać|wychwytać|wyłowić	złapać|schwycić|pochwycić|schwytać|uchwycić
podusić się	udusić się|zadusić się
pochować się|pokryć się|poukrywać się	ukryć się|schować się|skryć się
przebadać	zbadać
przebadać	zanalizować|zbadać|przeanalizować|przebadać
pozałatwiać	obsłużyć|załatwić
naprosić się	poprosić|zwrócić się z prośbą
poodwiązywać się	odwiązać się
powykrywać	wykryć
porozglądać się	rozejrzeć się
poodgradzać się	odgrodzić się
pokłaść się	położyć się|lec|legnąć
posnąć	zasnąć|usnąć
pozdychać	zdechnąć
pouciekać	uciec|ujść|zbiec
pouciekać	wydostać się|ujść|uciec|ulecieć|wydobyć się|wydzielić się|wylać się
poukładać się	ułożyć się
pokrzywić	skrzywić|wykrzywić|wykoślawić|zakrzywić
