administrować	administrowanie
akceptować	akceptowanie
akumulować	akumulowanie
analizować	analizowanie
angażować	angażowanie
antycypować	antycypowanie
apelować	apelowanie
aprobować	aprobowanie
aranżować	aranżowanie
aresztować	aresztowanie
argumentować	argumentowanie
argumentować	argumentacja
artykułować	artykułowanie
asygnować	asygnowanie
asystować	asystowanie
atakować	atakowanie
awansować	awansowanie
bać się	banie się
baczyć	baczenie
badać	badanie
bagatelizować	bagatelizowanie
banalizować	banalizowanie
banalizować	banalizowanie
bawić się	bawienie się
bełtać	bełtanie
bić	bicie
bić	bicie
biec	biegnięcie
biec	biegnięcie
biegać	bieganie
blagować	blagowanie
blokować	blokowanie
blokować	blokowanie
boleć	bolenie
brać	branie
brać	branie
brać stronę	branie strony
brać do serca	branie do serca
brać do siebie	branie do siebie
brać na rozum	branie na rozum
brać nogi za pas	branie nóg za pas
brać pod uwagę	branie pod uwagę
brać poprawkę	branie poprawki
brać udział	branie udziału
braknąć	braknięcie
brakować	brakowanie
bronić	bronienie
bronić	bronienie
bronić się	bronienie się
brzmieć	brzmienie
budzić	budzenie
budzić	budzenie
budzić się	budzenie się
bujać	bujanie
być	bycie
bytować	bytowanie
bywać	bywanie
błyszczeć	błysk
błyszczeć	błyszczenie
całować	całowanie
cechować	cechowanie
cenić	cenienie
charakteryzować	charakteryzowanie
chcieć	chcica
chcieć	chcenie
chodzić	chodzenie
chodzić	chodzenie
chować	chowanie
chować	chowanie
chować	chowanie
chować się	chowanie się
chronić	chronienie
chwalić	chwalenie
chwycić	chwycenie
chwytać	chwytanie
chwytać	chwytanie
ciągnąć	ciąg
ciągnąć	ciągnięcie
ciągnąć	ciągnięcie
ciekawić	ciekawienie
ciekawić się	ciekawienie się
cierpieć	cierpienie
cieszyć się	cieszenie się
ciskać	ciskanie
cisnąć	ciśnięcie
ćmić	ćmienie
cmokać	cmokanie
cofać	cofanie
cofać się	cofanie się
cofnąć	cofnięcie
cofnąć	cofnięcie
cofnąć się	cofnięcie się
cuchnąć	cuchnięcie
ćwiczyć	ćwiczenie
cyrkulować	cyrkulowanie
cytować	cytowanie
czekać	czekanie
czerpać	czerpanie
częstować się	częstowanie się
czmychać	czmychanie
czmychnąć	czmychnięcie
czołgać się	czołganie się
czuć	czucie
czuwać	czuwanie
czynić coś złego	czynienie czegoś złego
czytać	czytanie
czytać	czytanie
dać	danie
dać	danie
dać do myślenia	danie do myślenia
dać wiarę	danie wiary
darować	darowanie
dawać	dawanie
dawać	dawanie
dawać	dawanie
dawać	dawanie
dawać do myślenia	dawanie do myślenia
dawać do zrozumienia	dawanie do zrozumienia
dawać wiarę	dawanie wiary
dążyć	dążenie
debatować	debatowanie
decydować	decydowanie
degustować	degustowanie
dematerializować się	dematerializowanie się
demonstrować	demonstrowanie
denerwować	denerwowanie
denerwować się	denerwowanie się
desygnować	desygnowanie
dezaprobować	dezaprobowanie
dezelować	dezelowanie
dialogować	dialogowanie
doceniać	docenianie
dochodzić	dochodzenie
dochodzić do wniosku	dochodzenie do wniosku
dociągnąć	dociągnięcie
docierać	docieranie
docierać	docieranie
doczekać	doczekanie
doczekać się	doczekanie się
dodać	dodanie
dodać	dodanie
dodać	dodanie
dodać gazu	dodanie gazu
dodawać	dodawanie
dodawać	dodawanie
dofinansować	dofinansowanie
dogadać się	dogadanie się
dogadzać	dogadzanie
doglądać	doglądanie
dogodzić	dogodzenie
dogorywać	dogorywanie
doinwestować	doinwestowanie
dojechać	dojechanie
dojeżdżać	dojeżdżanie
dojrzeć	dojrzenie
dojrzeć	dojrzenie
dojść	dojście
dojść	dojście
dokarmiać	dokarmianie
dokonać żywota	dokonanie żywota
dokończyć	dokończenie
dokuczać	dokuczanie
domagać się	domaganie się
dominować	dominowanie
domniemywać	domniemywanie
domyślać się	domyślanie się
domyślić się	domyślenie się
donieść	doniesienie
donieść	doniesienie
donosić	donoszenie
donosić	donoszenie
dopełniać	dopełnianie
dopełniać się	dopełnianie się
dopełnić się	dopełnienie się
dopomagać	dopomaganie
dopomóc	dopomożenie
dopowiedzieć	dopowiedzenie
doprowadzać	doprowadzanie
doprowadzić	doprowadzenie
dopuścić	dopuszczenie
dopuszczać	dopuszczanie
dopuszczać się	dopuszczanie się
dopytywać się	dopytywanie się
doradzać	doradzanie
doradzić	doradzenie
doręczać	doręczanie
doręczyć	doręczenie
dorobić się	dorobienie się
dorzucić	dorzucenie
dorzucić swoje trzy grosze	dorzucenie swoich trzech groszy
dosięgać	dosięganie
dostać	dostanie
dostać	dostanie
