abstrakcyjny	abstrakcyjność
agresywny	agresywność
aktywny	aktywność
aluzyjny	aluzyjność
ambitny	ambitność
ambitny	ambitność
antyczny	antyczność
apatyczny	apatyczność
archaiczny	archaiczność
arogancki	aroganckość
atrakcyjny	atrakcyjność
autonomiczny	autonomia
barwny	barwność
bezcelowy	bezcelowość
bezcenny	bezcenność
bezczelny	bezczelnik
bezczelny	bezczelność
bezczynny	bezczynność
bezdomny	bezdomność
bezgrzeszny	bezgrzeszność
bezinteresowny	bezinteresowność
bezkompromisowy	bezkompromisowość
bezkonfliktowy	bezkonfliktowość
bezlitosny	bezlitosność
bezludny	bezludność
bezmyślny	bezmyślność
beznamiętny	beznamiętność
bezpański	bezpańskość
bezpieczny	bezpieczeństwo
bezpodstawny	bezpodstawność
bezpośredni	bezpośredniość
bezprawny	bezprawność
bezproduktywny	bezproduktywność
bezprzewodowy	bezprzewodowość
bezpłatny	bezpłatność
bezradny	bezrada
bezradny	bezradność
bezsilny	bezsilność
bezskuteczny	bezskuteczność
beztroski	beztroska
bezużyteczny	bezużyteczność
bezwartościowy	bezwartościowość
bezwarunkowy	bezwarunkowość
bezzwłoczny	bezzwłoczność
biały	biel
biały	białość
biegły	biegłość
bierny	bierność
blady	bladość
bliski	bliskość
boczny	boczność
brawurowy	brawurowość
brązowy	brązowość
brązowy	brąz
brunatny	brunat
brunatny	brunatność
brutalny	brutalność
bryłowaty	bryłowatość
bujny	bujność
bury	burość
butny	butność
bystry	bystrość
błagalny	błagalność
błędny	błędność
błękitny	błękitność
błyskawiczny	błyskawiczność
błyskotliwy	błyskotliwość
całościowy	całościowość
celny	celność
celowy	celowość
cenny	cenność
centralny	centralność
chaotyczny	chaotyczność
charakterystyczny	charakterystyczność
chciwy	chciwstwo
chciwy	chciwość
chętny	chętność
chełpliwy	chełpliwość
chiński	chińskość
chlubny	chlubność
chlubny	chlubność
chorobliwy	chorobliwość
chorowity	chorowitość
chory	choróbka
chropowaty	chropowatość
chudy	chudość
chwiejny	chwiejność
chwilowy	chwilowość
chytry	chytrość
ciasny	ciasność
ciasny	ciasnota
ciekły	ciekłość
ciemnobrązowy	ciemnobrązowość
ciemny	ciemność
cienki	cienkość
ciepły	ciepłość
cierpki	cierpkość
cierpliwy	cierpliwość
ckliwy	ckliwość
cnotliwy	cnotliwość
cudny	cudność
cudzy	cudzość
cywilny	cywilność
czasochłonny	czasochłonność
czasowy	czasowość
cząstkowy	cząstkowość
czcigodny	czcigodność
czerstwy	czerstwość
czerwony	czerwoność
czerwony	czerwień
czeski	czeskość
częsty	częstość
czujny	czujność
czułostkowy	czułostkowość
czuły	czułość
czysty	czystość
daremny	daremność
darmowy	darmowość
dawny	dawność
definitywny	definitywność
delikatny	delikatność
demokratyczny	demokratyczność
dobitny	dobitność
dobroduszny	dobroduszność
dobry	dobroć
dobry	dobro
dochodowy	dochodowość
dociekliwy	dociekliwość
doczesny	doczesność
dodatkowy	dodatkowość
dodatni	dodatniość
dogłębny	dogłębność
dokładny	dokładność
dokładny	dokładność
doniosły	doniosłość
donośny	donośność
dopuszczalny	dopuszczalność
doraźny	doraźność
dosadny	dosadność
dostateczny	dostateczność
dostępny	dostępność
dosłowny	dosłowność
dowolny	dowolność
dramatyczny	dramatyczność
dramatyczny	dramatyzm
drastyczny	drastyczność
drażliwy	drażliwość
drobiazgowy	drobiazgowość
drobny	drobność
drogocenny	drogocenność
drugorzędny	drugorzędność
duchowy	duchowość
dwulicowy	dwulicowość
dwuznaczny	dwuznaczność
dydaktyczny	dydaktyczność
dygresyjny	dygresyjność
dynamiczny	dynamiczność
dyskretny	dyskretność
dyskretny	dyskrecja
dyskusyjny	dyskusyjność
dzielny	dzielność
dzienny	dzienność
dziewiczy	dziewiczość
dzisiejszy	dzisiejszość
dźwięczny	dźwięczność
długotrwały	długotrwałość
edukacyjny	edukacyjność
efektowny	efektowność
ekscentryczny	ekscentryzm
ekscentryczny	ekscentryczność
ekspresywny	ekspresywność
ekstremalny	ekstremalność
elastyczny	elastyczność
elementarny	elementarność
elementarny	elementarność
emocjonalny	emocjonalność
energetyczny	energetyczność
energiczny	energiczność
epokowy	epokowość
etyczny	etyczność
ewidentny	ewidentność
fachowy	fach
fajny	fajność
faktyczny	faktyczność
falisty	falistość
fantastyczny	fantastyczność
fałszywy	fałszywość
feralny	feralność
fikcyjny	fikcyjność
filigranowy	filigranowość
fizyczny	fizyczność
foremny	foremność
formalny	formalność
generalny	generalność
genialny	genialność
gibki	gibkość
giętki	giętkość
gigantyczny	gigantyczność
globalny	globalność
gminny	gminność
gniewny	gniewność
gnuśny	gnuśność
godny	godność
godziwy	godziwość
gorliwy	gorliwość
górnolotny	górnolotność
górny	górność
gorzki	gorycz
gościnny	gościnność
gospodarny	gospodarność
goły	golizna
granatowy	granatowość
granatowy	granat
grecki	greckość
gruby	grubość
gruntowny	gruntowność
grzeczny	grzeczność
grzeszny	grzeszność
gwałtowny	gwałtowność
gładki	gładkość
głęboki	głębokość
głośny	głośność
główny	główność
głuchy	głuchota
głupi	głupota
harmonijny	harmonijność
hermetyczny	hermetyczność
historyczny	historyczność
hiszpański	hiszpańskość
hojny	hojność
hulaszczy	hulaszczość
humanitarny	humanitarność
humanitarny	humanitaryzm
idealny	idealność
identyczny	identyczność
impulsywny	impulsywność
indywidualny	indywidualność
inny	inność
instrumentalny	instrumentalność
integralny	integralność
intratny	intratność
intymny	intymność
istotny	istotność
jaskrawy	jaskrawość
jasny	jasność
jawny	jawność
jałowy	jałowość
jednakowy	jednakowość
jednoczesny	jednoczesność
jednogłośny	jednogłośność
jednolity	jednolitość
jednomyślny	jednomyślność
jednorodny	jednorodność
jednostajny	jednostajność
jednostkowy	jednostkowość
jedyny	jedyność
kaleki	kalectwo
kameralny	kameralność
karny	karność
kategoryczny	kategoryczność
kiepski	kiepskość
klarowny	klarowność
kleisty	kleistość
kluczowy	kluczowość
kobiecy	kobiecość
kolosalny	kolosalność
komercyjny	komercyjność
kompaktowy	kompaktowość
kompetentny	kompetentność
kompetentny	kompetencja
kompleksowy	kompleksowość
konfliktowy	konfliktowość
konieczny	konieczność
konkretny	konkretność
konsekwentny	konsekwentność
konstytucyjny	konstytucyjność
kontrowersyjny	kontrowersyjność
korupcyjny	korupcyjność
korzystny	korzystność
kosmiczny	kosmiczność
krajowy	krajowość
krakowski	krakowskość
krańcowy	krańcowość
krótki	krótkość
krótkotrwały	krótkotrwałość
kruchy	kruchość
krytyczny	krytyczność
krzepki	krzepkość
krzywy	krzywość
kształtny	kształtność
kulminacyjny	kulminacyjność
kulturowy	kulturowość
kurtuazyjny	kurtuazyjność
kusy	kusość
kwadratowy	kwadratowość
kłamliwy	kłamliwość
kłopotliwy	kłopotliwość
kłótliwy	kłótliwość
laicki	laickość
laicki	laicyzm
lakoniczny	lakoniczność
lazurowy	lazurowość
leczniczy	leczniczość
legalny	legalność
lekki	lekkość
lekkoduszny	lekkoduszność
lekkomyślny	lekkomyślność
leniwy	leniwość
leniwy	lenistwo
lepki	lepkość
letni	letniość
lichy	lichość
lichy	lichota
liczny	liczność
litewski	litewskość
litościwy	litościwość
lojalny	lojalność
lokalny	lokalność
ludowy	ludowość
luzacki	luzackość
macierzysty	macierzystość
mądry	mądrość
maksymalny	maksymalność
maleńki	maleńkość
malowniczy	malowniczość
marny	marność
martwy	martwość
masowy	masowość
masywny	masywność
materialny	materialność
małoletni	małoletność
małoletni	małoletniość
małomówny	małomówność
małopolski	małopolskość
melancholijny	melancholijność
merytoryczny	merytoryczność
mętny	mętność
metodyczny	metodyczność
mężny	mężność
mężny	męstwo
międzynarodowy	międzynarodowość
miękki	miękkość
mieszkalny	mieszkalność
miniaturowy	miniaturowość
minimalny	minimalność
mistyczny	mistyczność
miłościwy	miłościwość
mnogi	mnogość
modny	modność
modry	modrość
monotonny	monotonność
moralny	moralność
możliwy	możliwość
mozolny	mozolność
mroźny	mroźność
młody	młodość
młodzieżowy	młodzieżowość
nabożny	nabożność
naczelny	naczelność
nadmiarowy	nadmiarowość
nadmierny	nadmierność
nadmierny	nadmiar
nadprzyrodzony	nadprzyrodzoność
nadrzędny	nadrzędność
nadzwyczajny	nadzwyczajność
nagi	nagość
naiwny	naiwność
należyty	należytość
napastliwy	napastliwość
natychmiastowy	natychmiastowość
naukowy	naukowość
neutralny	neutralność
newralgiczny	newralgiczność
nieaktualny	nieaktualność
niebagatelny	niebagatelność
niebanalny	niebanalność
niebezpieczny	niebezpieczność
niebezpieczny	niebezpieczeństwo
niebieski	niebieskość
niebywały	niebywałość
niecałkowity	niecałkowitość
niechybny	niechybność
nieczuły	nieczułość
niedochodowy	niedochodowość
niedoskonały	niedoskonałość
niedostateczny	niedostateczność
nieefektowny	nieefektowność
nieelastyczny	nieelastyczność
nieestetyczny	nieestetyczność
nieetyczny	nieetyczność
niefortunny	niefortunność
niegodziwy	niegodziwość
niejasny	niejasność
niejawny	niejawność
niekompletny	niekompletność
niekorzystny	niekorzystność
niekłótliwy	niekłótliwość
nieletni	nieletniość
nieliczny	nieliczność
niemoralny	niemoralność
niemożliwy	niemożliwość
niemożliwy	niemożliwość
nienaganny	nienaganność
nienaruszalny	nienaruszalność
nienaruszalny	nienaruszalność
nienormalny	nienormalność
nieobecny	nieobecność
nieobfity	nieobfitość
nieobliczalny	nieobliczalność
nieobowiązkowy	nieobowiązkowość
nieodpowiedni	nieodpowiedniość
nieodzowny	nieodzowność
nieoficjalny	nieoficjalność
nieograniczony	nieograniczoność
nieokreślony	nieokreśloność
nieostry	nieostrość
niepełnosprawny	niepełnosprawność
niepokalany	niepokalaność
niepomyślny	niepomyślność
niepospolity	niepospolitość
niepoważny	niepoważność
nieprawdopodobny	nieprawdopodobność
nieprawdopodobny	nieprawdopodobieństwo
nieprawomocny	nieprawomocność
nieprawy	nieprawość
nieprofesjonalny	nieprofesjonalność
nieprzyjacielski	nieprzyjacielskość
nieprzystępny	nieprzystępność
nierealny	nierealność
nieregularny	nieregularność
nieruchomy	nieruchomość
nierygorystyczny	nierygorystyczność
nierzeczywisty	nierzeczywistość
niesamowity	niesamowitość
nieskalany	nieskalaność
nieskazitelny	nieskazitelność
nieskażony	nieskażoność
nieskromny	nieskromność
nieskuteczny	nieskuteczność
nieśmiały	nieśmiałość
nieśpieszny	nieśpieszność
niespodziewany	niespodziewaność
niestacjonarny	niestacjonarność
niestateczny	niestateczność
niestosowny	niestosowność
niesumienny	niesumienność
niesymetryczny	niesymetryczność
niesympatyczny	niesympatyczność
nieszkodliwy	nieszkodliwość
niesłuszny	niesłuszność
nietowarzyski	nietowarzyskość
nietrzeźwy	nietrzeźwość
nietykalny	nietykalność
nietypowy	nietypowość
nieubłagany	nieubłagalność
nieuchronny	nieuchronność
nieufny	nieufność
nieugięty	nieugiętość
nieumiejętny	nieumiejętność
nieunikniony	nieuniknioność
nieustanny	nieustanność
niewierny	niewierność
niewinny	niewinność
niewspółczesny	niewspółczesność
niewymuszony	niewymuszoność
niewzruszony	niewzruszoność
niezależny	niezależność
niezawodny	niezawodność
niezbędny	niezbędność
niezgrabny	niezgrabność
niezmierny	niezmierność
niezmierny	niezmierność
nieznany	nieznaność
niezręczny	niezręczność
niezupełny	niezupełność
niezwłoczny	niezwłoczność
niezłomny	niezłomność
nijaki	nijakość
nikczemny	nikczemność
nocny	nocność
nominalny	nominalność
normalny	normalność
normalny	normalność
nowatorski	nowatorskość
nowatorski	nowatorstwo
nudny	nudność
numeryczny	numeryczność
obcisły	obcisłość
obcy	obcość
obligatoryjny	obligatoryjność
obmierzły	obmierzłość
obowiązkowy	obowiązkowość
obustronny	obustronność
obłudny	obłudność
ochronny	ochronność
oczywisty	oczywistość
oddzielny	oddzielność
odmienny	odmienność
odpowiedzialny	odpowiedzialność
oficjalny	oficjalność
ograniczony	ograniczoność
ogromny	ogromność
ojczysty	ojczystość
okazały	okazałość
określony	określoność
okrutny	okrutność
okrutny	okrucieństwo
omyłkowy	omyłkowość
opieszały	opieszalstwo
opieszały	opieszałość
optymalny	optymalność
optymistyczny	optymistyczność
ordynarny	ordynarność
organiczny	organiczność
oschły	oschłość
osiągalny	osiągalność
osobniczy	osobniczość
osobny	osobność
ostateczny	ostateczność
ostrożny	ostrożność
ostrożny	ostrożniś
oświatowy	oświatowość
oświatowy	oświata
oświecony	oświeconość
oszczędny	oszczędność
otyły	otyłość
ówczesny	ówczesność
pański	pańskość
partyjny	partyjność
pechowy	pechowość
pedagogiczny	pedagogiczność
pesymistyczny	pesymistyczność
pełnoletni	pełnoletniość
pełnoletni	pełnoletność
piękny	piękność
piękny	piękno
pierwszorzędny	pierwszorzędność
pierwszy	pierwszość
pierwszy	pierwszeństwo
pikantny	pikantność
piskliwy	piskliwość
pobieżny	pobieżność
pobliski	pobliskość
pobożny	pobożność
pobłażliwy	pobłażliwość
pochodny	pochodność
poczciwy	poczciwość
podniosły	podniosłość
podobny	podobność
podobny	podobieństwo
podręczny	podręczność
podstępny	podstępność
podwójny	podwójność
poetyczny	poetyczność
pogodny	pogodność
pojedynczy	pojedynczość
pokaźny	pokaźność
pokazowy	pokazowość
pokrewny	pokrewieństwo
pokrewny	pokrewność
polityczny	polityczność
polski	polskość
pomocny	pomocność
pomysłowy	pomysłowość
ponowny	ponowność
poprawny	poprawność
poprzeczny	poprzeczność
poranny	poranność
porządny	porządność
pośredni	pośredniość
postawny	postawność
postępowy	postępowość
poszczególny	poszczególność
posłuszny	posłuszność
posłuszny	posłuszeństwo
potężny	potężność
potężny	potęga
potoczny	potoczność
potoczysty	potoczystość
potrzebny	potrzebność
potworny	potworność
poufny	poufność
powietrzny	powietrzność
