bohaterski	bohater
bryłowaty	bryła
błyskawiczny	błyskawica
ciekły	ciecz
cudowny	cudo
falisty	fala
gigantyczny	gigant
kolosalny	kolos
lawinowy	lawina
lazurowy	lazur
miniaturowy	miniatura
pański	pan
poetyczny	poezja
pustynny	pustynia
tubalny	tuba
ziemisty	ziemia
boski	bóg
bratni	brat
dziecinny	dziecina
pofalowany	fala
amatorski	amator
błyskawiczny	błyskawica
falisty	fala
ognisty	ogień
ślepy	ślepiec
pergaminowy	pergamin
puszysty	puch
puszysty	puch
złoty	złoto
encyklopedyczny	encyklopedia
zniewieściały	niewiasta
zbabiały	baba
kulisty	kula
atramentowy	atrament
hebanowy	heban
kirowy	kir
kruczy	kruk
śnieżny	śnieg
śnieżysty	śnieg
smolisty	smoła
bławatkowy	bławatek
chabrowy	chaber
indygowy	indygo
kobaltowy	kobalt
pawi	paw
szafirowy	szafir
turkusowy	turkus
buraczkowy	buraczek
ceglasty	cegła
ceglany	cegła
kalinowy	kalina
karminowy	karmin
krwawy	krew
krwisty	krew
mahoniowy	mahoń
makowy	mak
malinowoczerwony	malina
malinowy	malina
ognistoczerwony	ogień
płomienny	płomienie
płomienisty	płomienie
pomidorowy	pomidor
poziomkowy	poziomka
purpurowy	purpura
rubinowy	rubin
szkarłatny	szkarłat
wiśniowy	wiśnia
miedziany	miedź
rdzawy	rdza
pomarańczowy	pomarańcza
brzoskwiniowy	brzoskwinia
łososiowy	łosoś
marchewkowy	marchewka
morelowy	morela
cynamonowy	cynamon
czekoladowy	czekolada
kakaowy	kakao
kasztanowy	kasztan
kasztanowaty	kasztan
kawowy	kawa
migdałowy	migdał
orzechowy	orzech
piwny	piwo
tabaczkowy	tabaka
cappuccino	cappuccino
kremowy	krem
piaskowy	piasek
ametystowy	ametyst
fiołkowy	fiołek
liliowy	lilia
śliwkowy	śliwka
wrzosowy	wrzos
groszkowy	groszek
grynszpanowy	grynszpan
malachitowy	malachit
morski	morze
oliwkowozielony	oliwka
oliwkowy	oliwka
pistacjowy	pistacja
rezedowy	rezeda
szmaragdowy	szmaragd
trawiasty	trawa
srebrny	srebro
gołębi	gołąb
grafitowy	grafit
mysi	mysz
myszaty	mysz
ołowiany	ołów
popielaty	popiół
stalowy	stal
cyklamenowy	cyklamen
bananowy	banan
bursztynowy	bursztyn
cytrynowy	cytryna
herbaciany	herbata
kanarkowy	kanarek
konopny	konopie
miodowy	miód
pszeniczny	pszenica
słomkowy	słomka
szafranowy	szafran
topazowy	topaz
woskowy	wosk
złotolity	złoto
kwasowy	kwas
limonkowy	limonka
hiperboloidalny	hiperboloida
łezkowaty	łezka
alkoholowy	alkohol
bananowy	banan
angielski	Anglia
butelkowy	butelka
chłopski	chłop
diaboliczny	diabeł
cynamonowy	cynamon
cytrynowy	cytryna
czekoladowy	czekolada
neonowy	neon
perłowy	perła
pryzmatyczny	pryzmat
pryzmatyczny	pryzmat
trupi	trup
zygzakowaty	zygzak
ołówkowy	ołówek
anemiczny	anemia
anemiczny	anemia
despotyczny	despota
brylantowy	brylant
filmowy	film
półksiężycowy	półksiężyc
babski	baba
łotrowski	łotr
łajdacki	łajdak
łajdacki	łajdak
czworokątny	czworokąt
ośmiokątny	ośmiokąt
schodkowy	schodki
śmieciowy	śmieć
błotnisty	błoto
serpentynowy	serpentyna
pensjonarski	pensjonarka
rosisty	rosa
fortepianowy	fortepian
cebulowy	cebula
musztardowy	musztarda
paprykowy	papryka
śledziowy	śledź
śmietankowy	śmietanka
śmietankowy	śmietanka
śmietankowy	śmietanka
śmietanowy	śmietana
waniliowy	wanilia
nitkowaty	nitka
eterowy	eter
szubieniczny	szubienica
sześciokątny	sześciokąt
pilśniowy	pilśń
gliniasty	glina
gliniasty	glina
piknikowy	piknik
trzpiotowaty	trzpiot
szatański	szatan
świętoszkowaty	świętoszek
skurwysyński	skurwysyn
skurwysyński	skurwysyn
skurwysyński	skurwysyn
sielankowy	sielanka
idylliczny	idylla
pedalski	pedał
mogilny	mogiła
jedwabisty	jedwab
platynowy	platyna
filigranowy	filigran
wełnisty	wełna
myszowaty	mysz
wełnisty	wełna
groteskowy	groteska
megalomański	megaloman
melodramatyczny	melodramat
odkrywczy	odkrycie
plotkarski	plotka
purytański	purytanizm
małpi	małpa
lilipuci	liliput
kurduplowaty	kurdupel
kuglarski	kuglarz
koszmarny	koszmar
