alternatywny	alternatywa
aluzyjny	aluzja
ambitny	ambicja
ambitny	ambicja
antyczny	antyk
apatyczny	apatia
archaiczny	archaizm
arogancki	arogancja
barwny	barwa
biedny	bieda
boczny	bok
brawurowy	brawura
burzliwy	burza
butny	buta
chaotyczny	chaos
chętny	chęć
chlubny	chluba
cnotliwy	cnota
cyfrowy	cyfra
demokratyczny	demokracja
doświadczony	doświadczenie
dramatyczny	dramat
dumny	duma
dygresyjny	dygresja
dyskretny	dyskrecja
dźwiękowy	dźwięk
edukacyjny	edukacja
efektowny	efekt
ekspresywny	ekspresja
ekstremalny	ekstrem
elegancki	elegancja
elegancki	elegancja
energiczny	energia
etyczny	etyka
gazowy	gaz
globalny	glob
gniewny	gniew
impulsywny	impuls
inteligentny	inteligencja
jednostkowy	jednostka
konkretny	konkret
konsekwentny	konsekwencja
korupcyjny	korupcja
korzystny	korzyść
krzepki	krzepa
kurtuazyjny	kurtuazja
kwalifikowany	kwalifikacje
litościwy	litość
luzacki	luzak
luźny	luz
materialny	materia
mechaniczny	mechanika
melancholijny	melancholia
metodyczny	metoda
miejscowy	miejsce
miesięczny	miesiąc
monotonny	monotonia
mozolny	mozół
mroźny	mróz
naprężony	naprężenie
naukowy	nauka
nałogowy	nałóg
nędzny	nędza
niechętny	niechęć
niechętny	niechęć
niedowierzający	niedowierzanie
obłąkany	obłąkanie
obłudny	obłuda
odważny	odwaga
ognisty	ogień
optymistyczny	optymizm
osobniczy	osobnik
pechowy	pech
pesymistyczny	pesymizm
piskliwy	pisk
podstępny	podstęp
poetyczny	poezja
pogodny	pogoda
posażny	posag
poważny	powaga
pozorny	pozór
próbny	próba
przekonany	przekonanie
przesadny	przesada
przestępczy	przestępstwo
przyjazny	przyjaźń
pyszny	pycha
płomienisty	płomień
racjonalistyczny	racjonalizm
radosny	radość
ranny	rana
ranny	rano
regulaminowy	regulamin
rewelacyjny	rewelacja
rozgniewany	gniew
rozsądny	rozsądek
rozważny	rozwaga
rynkowy	rynek
rzeczowy	rzecz
sakralny	sacrum
sentymentalny	sentyment
sentymentalny	sentymentalizm
seryjny	seria
skwarny	skwar
sprytny	spryt
strategiczny	strategia
sugestywny	sugestia
swobodny	swoboda
symultaniczny	symultanizm
systematyczny	system
szczegółowy	szczegół
szczęśliwy	szczęście
słoneczny	słońce
taktowny	takt
teoretyczny	teoria
tęskny	tęsknota
testowy	test
tolerancyjny	tolerancja
tytularny	tytuł
tłusty	tłuszcz
uczony	uczoność
uczuciowy	uczucie
upalny	upał
uparty	upór
uroczy	urok
urodziwy	uroda
utalentowany	talent
uzasadniony	uzasadnienie
uznany	uznanie
wdzięczny	wdzięk
wieczorny	wieczór
wierzchni	wierzch
wilgotny	wilgoć
winny	wina
wodnisty	woda
wonny	woń
wprawny	wprawa
wpływowy	wpływ
wschodni	Wschód
współczujący	współczucie
wykwalifikowany	kwalifikacje
wymowny	wymowa
zachodni	Zachód
zapalony	zapał
zasłużony	zasługa
zazdrosny	zazdrość
żałosny	żałość
zbiorowy	zbiór
zbrojny	zbroja
zdołowany	dół
zdrowy	zdrowie
zyskowny	zysk
łaskawy	łaska
kierunkowy	kierunek
piętrowy	piętro
nieuważny	nieuwaga
wadliwy	wada
pionowy	pion
prowincjonalny	prowincja
północny	północ
komiczny	komizm
wizytowy	wizyta
egzaltowany	egzaltacja
akustyczny	akustyka
otępiały	otępienie
archiwalny	archiwum
artystyczny	artyzm
ulistniony	liść
absurdalny	absurd
zapachowy	zapach
biologiczny	biologia
braterski	brat
bryłowaty	bryła
brylasty	bryła
burzowy	burza
burzliwy	burza
bryłkowaty	bryłka
cichy	cisza
cichy	cisza
cichy	cisza
ciepły	ciepło
czarnoskóry	skóra
ekonomiczny	ekonomia
emocjonalny	emocja
fałszywy	fałsz
gatunkowy	gatunek
jednokolorowy	kolor
wzorzysty	wzór
kolorowy	kolor
komercyjny	komercja
grzecznościowy	grzeczność
konwencjonalny	konwencja
włóknisty	włókno
krytyczny	krytyka
kryzysowy	kryzys
kulturalny	kultura
logiczny	logika
logiczny	logika
luźny	luz
zatłoczony	tłok
cenny	cena
chłodny	chłód
cichy	cisza
cichy	cisza
cnotliwy	cnota
cnotliwy	cnota
czasowy	czas
dobrotliwy	dobro
dumny	duma
miłosierny	miłosierdzie
ochoczy	ochota
odmienny	odmiana
osobowy	osoba
pechowy	pech
pogodny	pogoda
porządny	porządek
potężny	potęga
potężny	potęga
poważny	powaga
precyzyjny	precyzja
próżny	próżnia
próżny	próżność
pustynny	pustynia
rozumny	rozum
ruchliwy	ruch
ruchliwy	ruch
ryzykowny	ryzyko
rzeczowy	rzecz
sensowny	sens
skrajny	skraj
średni	środek
swobodny	swoboda
swobodny	swoboda
systematyczny	system
szczęśliwy	szczęście
sławny	sława
ubogi	ubóstwo
uczuciowy	uczucie
uparty	upór
ważny	waga
wdzięczny	wdzięczność
wprawny	wprawa
wykwintny	wykwint
zazdrosny	zazdrość
zgodny	zgoda
przepisowy	przepis
odruchowy	odruch
mechaniczny	mechanizm
instynktowny	instynkt
mocny	moc
banalny	banał
honorowy	honor
elitarny	elita
poważny	powaga
rygorystyczny	rygor
niewygodny	niewygoda
niewygodny	niewygoda
obszerny	obszar
niefartowny	niefart
pieprzny	pieprz
poziomy	poziom
plastyczny	plastyka
polny	pole
pomocniczy	pomoc
przychylny	przychylność
religijny	religia
słoneczny	słońce
słony	sól
słony	sól
smutny	smutek
spokojny	spokój
szalony	szaleństwo
konspiracyjny	konspiracja
podziemny	podziemie
zawistny	zawiść
niedoświadczony	niedoświadczenie
wartościowy	wartość
wartościowy	wartość
wymowny	wymowa
elokwentny	elokwencja
tłumny	tłum
karalny	kara
empiryczny	empiria
antropocentryczny	antropocentryzm
patriotyczny	patriotyzm
bezładny	bezład
bojaźliwy	bojaźń
lękliwy	lęk
trwożliwy	trwoga
strachliwy	strach
filantropijny	filantropijność
filantropijny	filantropia
pedantyczny	pedanteria
diaboliczny	diaboliczność
metafizyczny	metafizyka
muzykalny	muzyka
bombastyczny	bombast
wielowarstwowy	warstwa
polihistoryczny	polihistoria
ciężarny	ciąża
wielowątkowy	wątek
ezoteryczny	ezoteryzm
okultystyczny	okultyzm
kabalistyczny	kabała
ekstrawagancki	ekstrawagancja
pąsowy	pąs
archetypiczny	archetyp
archetypowy	archetyp
finałowy	finał
terminalny	termin
schyłkowy	schyłek
mroczny	mrok
świadomy	świadomość
garbaty	garb
humorzasty	humory
głodny	głód
ludny	ludzie
kędzierzawy	kędzior
jadowity	jad
innowacyjny	innowacja
obyczajny	obyczaje
misyjny	misja
kursywny	kursywa
kazirodczy	kazirodztwo
rogaty	róg
rogaty	róg
piegowaty	pieg
gołosłowny	gołosłowie
ideologiczny	ideologia
słowny	słowo
magiczny	magia
paradoksalny	paradoks
kościsty	kość
kanciasty	kant
alergiczny	alergia
ambitny	ambicja
wartościowy	wartość
humanistyczny	humanizm
autokratyczny	autokratyzm
bezbolesny	ból
agnostyczny	agnostycyzm
biedny	bieda
butny	buta
bzdurny	bzdura
diatoniczny	diatonika
chwilowy	chwila
chłopski	chłop
deszczowy	deszcz
ciepły	ciepło
luksusowy	luksus
doświadczalny	doświadczenie
przydymiony	dym
południkowy	południk
kropkowany	kropka
kreskowany	kreska
iglicowy	iglica
egoistyczny	egoista
samolubny	samolubstwo
samolubny	samolub
egoistyczny	egoista
agresywny	agresja
atrakcyjny	atrakcja
biurokratyczny	biurokracja
bizantyjski	Bizancjum
konturowy	kontur melodyczny
anemiczny	anemia
anemiczny	anemia
asymetryczny	asymetria
asymetryczny	asymetria
entuzjastyczny	entuzjazm
kłótliwy	kłótnia
małokalibrowy	kaliber
małokalibrowy	kaliber
nerwowy	nerwy
zniechęcony	zniechęcenie
zniechęcony	zniechęcenie
zirytowany	irytacja
zdobny	ozdoba
doborowy	dobór
strachliwy	strach
bojaźliwy	bojaźń
lękliwy	lęk
tylnojęzykowy	język
oburzony	oburzenie
pieprzny	pieprz
ogoniasty	ogon
ogoniasty	ogon
soczysty	sok
pięcioramienny	ramię
chłopski	chłop
bandycki	bandyta
barbarzyński	barbarzyńca
barbarzyński	barbarzyńca
nieokrzesany	nieokrzesanie
barbarzyński	barbarzyńca
złodziejski	złodziejstwo
eksplozywny	eksplozja
blankowany	blanka
bramny	brama
krzemionkowy	krzemionka
urwisty	urwisko
ekstremistyczny	ekstremizm
fundamentalistyczny	fundamentalizm
maoistowski	maoizm
manipulacyjny	manipulacja
ulgowy	ulga
błotnisty	błoto
ciernisty	cierń
ciernisty	cierń
umięśniony	mięsień
