budujący	budować
błyszczący	błyszczeć
cierpiący	cierpieć
czarujący	czarować
decydujący	decydować
dojrzały	dojrzeć
gorejący	goreć
gryzący	gryźć
interesujący	interesować
intrygujący	intrygować
klejący	kleić się
krótkotrwały	trwać
naglący	naglić
należny	należeć się
niepokojący	niepokoić
obmierzły	obmierznąć
obowiązujący	obowiązywać
odurzający	odurzać
ogólnokształcący	kształcić
oniemiały	oniemieć
orzeźwiający	orzeźwiać
ożywczy	ożywiać
palący	palić
pociągający	pociągać
pouczający	pouczać
pozostały	pozostać
pożywny	pożywiać
prażący	prażyć
produkcyjny	produkować
przedawniony	przedawnić się
przemijający	przemijać
przerażający	przerażać
prześwitujący	prześwitywać
przeważający	przeważać
przytłaczający	przytłaczać
rażący	razić
różny	różnić się
rozstrzygający	rozstrzygać
szkodliwy	szkodzić
trujący	truć
uczony	uczyć się
ujmujący	ujmować
umarły	umrzeć
urzekający	urzekać
uschnięty	uschnąć
uzupełniający	uzupełniać
wierzący	wierzyć
wybijający się	wybijać się
wyczerpujący	wyczerpywać
wyniosły	wynosić się
wypoczęty	wypocząć
wyrobiony	wyrobić się
wyróżniający się	wyróżniać się
wyschnięty	wyschnąć
wystarczający	wystarczać
wyszkolony	wyszkolić się
wzruszający	wzruszać
zaciekawiony	zaciekawić się
zadowalający	zadowalać
zalany	zalać się
zapobiegawczy	zapobiegać
zastępczy	zastępować
zasłużony	zasłużyć się
zdecydowany	zdecydować
zdecydowany	zdecydować się
zdumiewający	zdumiewać
zdystansowany	zdystansować się
zmęczony	zmęczyć się
znaczący	znaczyć
zwiędły	zwiędnąć
porośnięty	porosnąć
opóźniony	opóźniać się
otępiały	otępieć
badawczy	badać
lśniący	lśnić
rwący	rwać
przesądzający	przesądzać
satysfakcjonujący	satysfakcjonować
dojrzały	dojrzeć
gościnny	gościć
odpowiedni	odpowiadać
odurzający	odurzać
oszczędny	oszczędzać
połyskujący	połyskiwać
przenikliwy	przenikać
znaczący	znaczyć
mdlący	mdlić
zarośnięty	zarosnąć
obfitujący	obfitować
ufny	ufać
palący	palić
palący	palić
dojmujący	dojmować
rozkwitły	rozkwitnąć
wszechwiedzący	wiedzieć
wszystkowiedzący	wiedzieć
napuszony	napuszyć się
zgniły	zgnić
poczerwieniały	poczerwienieć
zzieleniały	zzielenieć
sczerwieniały	sczerwienieć
zszarzały	zszarzeć
poszarzały	poszarzeć
pożółkły	pożółknąć
zżółkły	zżółknąć
przyżółkły	przyżółknąć
zmarznięty	zmarznąć
zziębły	zziębnąć
zziębnięty	zziębnąć
skłócony	skłócić się
obrażony	obrazić się
spotęgowany	spotęgować się
rozmarzły	rozmarznąć
zardzewiały	zardzewieć
kulawy	kuleć
marudny	marudzić
śmiercionośny	nieść
szybkostrzelny	strzelać
oburzony	oburzyć się
ożywiony	ożywić się
przerażony	przerazić się
rozszalały	rozszaleć się
zamarzły	zamarznąć
zamarznięty	zamarznąć
zamarzły	zamarznąć
skruszały	skruszeć
skruszały	skruszeć
złagodniały	złagodnieć
zwietrzały	zwietrzeć
ukorzeniony	ukorzenić się
zwodny	zwodzić
złudny	złudzić
zwodny	zwodzić
zwodniczy	zwodzić
zwariowany	zwariować
zidiociały	zidiocieć
zbzikowany	zbzikować
poczerwieniały	poczerwienieć
zatracony	zatracić się
zatracony	zatracić się
zapleśniały	zapleśnieć
niebosiężny	sięgać
zmarzły	zmarznąć
wzmacniający	wzmacniać
gorszący	gorszyć
rozchichotany	rozchichotać się
naturalizowany	naturalizować się
pasjonujący	pasjonować
porywający	porywać
nadęty	nadąć się
nadęty	nadąć się
wstrząsający	wstrząsać
zabójczy	zabijać
zaludniony	zaludnić się
przeludniony	przeludnić się
wymarły	wymrzeć
wymarły	wymrzeć
wystygły	wystygnąć
wystygły	wystygnąć
uschły	uschnąć
zniewalający	zniewalać
przebrzmiały	przebrzmieć
wysłużony	wysłużyć się
zgrzybiały	zgrzybieć
zgrzybiały	zgrzybieć
zramolały	zramoleć
rakotwórczy	tworzyć
chwytliwy	chwytać
dbały	dbać
energochłonny	chłonąć
posilny	posilać
wymagający	wymagać
zapóźniony	zapóźnić się
zapracowany	zapracowywać
łaskotliwy	łaskotać
spracowany	spracować się
odrętwiały	odrętwieć
omdlały	omdleć
rozdygotany	rozdygotać się
stwardniały	stwardnieć
zgrubiały	zgrubieć
przelękniony	przeląc się
zbawienny	zbawić
grzybobójczy	zabijać
owadobójczy	zabijać
oczytany	oczytać się
wybuchowy	wybuchać
niszczycielski	niszczyć
sprawczy	sprawiać
wygasły	wygasnąć
wygasły	wygasnąć
wszechogarniający	ogarniać
wszechobejmujący	obejmować
poległy	polec
obiegowy	obiegać
podkasany	podkasać
przemokły	przemoknąć
rozhukany	rozhukać się
przewodni	przewodzić
zaskorupiały	zaskorupieć
zeskorupiały	zeskorupieć
zaskorupiały	zaskorupieć
zeskorupiały	zeskorupieć
zeskorupiały	zeskorupieć
zeskorupiały	zeskorupieć
demaskatorski	demaskować
sycący	sycić
zdziwiony	zdziwić się
opity	opić się
opity	opić się
oszalały	oszaleć
przepadły	przepaść
rozpierzchły	rozpierzchnąć się
spity	spić się
spróchniały	spróchnieć
zmurszały	zmurszeć
zmarniały	zmarnieć
zmarniały	zmarnieć
zmarniały	zmarnieć
zwiędnięty	zwiędnąć
zgłodniały	zgłodnieć
zgłodniały	zgłodnieć
przestraszony	przestraszyć się
wystraszony	wystraszyć się
zapatrzony	zapatrzyć się
zapatrzony	zapatrzyć się
zagadany	zagadać się
wędrowny	wędrować
napływowy	napływać
napływowy	napływać
osiadły	osiadać
zamieszkały	zamieszkać
zbiegły	zbiec
styczny	stykać się
styczny	stykać się
pożądliwy	pożądać
obumarły	obumrzeć
wytyczny	wytyczać
wytyczny	wytyczać
zbłąkany	zabłąkać się
zbłąkany	zabłąkać się
zagubiony	zagubić się
przyległy	przylegać
zjełczały	zjełczeć
pokładny	pokładać się
pochylony	pochylać się
spadły	spaść
spleśniały	spleśnieć
stopniały	stopnieć
zlodowaciały	zlodowacieć
zlodowaciały	zlodowacieć
zlodowaciały	zlodowacieć
promocyjny	promować
legły	lec
zaklęsły	zaklęsać się
zmurszały	zmurszeć
zgarbiony	zgarbić się
zbuntowany	zbuntować się
proszalny	prosić
jednobrzmiący	brzmieć
równobrzmiący	brzmieć
jednobrzmiący	brzmieć
równobrzmiący	brzmieć
ogorzały	ogorzeć
rozigrany	rozigrać się
zwapniały	zwapnieć
oklapły	oklapnąć
oklapły	oklapnąć
prawotwórczy	tworzyć
porosły	porosnąć
zarosły	zarosnąć
przylepny	przylepiać się
przymilny	przymilać się
struchlały	struchleć
przejrzały	przejrzeć
zabłąkany	zabłąkać się
przeziębiony	przeziębić się
zaziębiony	zaziębić się
rozgałęziony	rozgałęziać się
rozgałęziony	rozgałęziać się
gryzący	gryźć
gryzący	gryźć
miododajny	dawać
zdechły	zdechnąć
zamarzły	zamarznąć
wypity	wypić
zgęstniały	zgęstnieć
wahliwy	wahać się
pordzewiały	pordzewieć
