aprobujący	aprobować
atakujący	atakować
badawczy	badać
grzewczy	grzać
leczniczy	leczyć
ochronny	ochraniać
oszukańczy	oszukać
proszący	prosić
wychowawczy	wychowywać
pochlebny	pochlebiać
obronny	obronić
sprzyjający	sprzyjać
omowny	omawiać
powtarzalny	powtarzać
zwodny	zwodzić
zdradziecki	zdradzić
orientacyjny	orientować
pokazowy	pokazać
grzejny	grzać
chełpliwy	chełpić się
oszukańczy	oszukać
odkrywczy	odkrywać
osłonowy	osłaniać
osłonowy	osłaniać
motywacyjny	motywować
motywacyjny	motywować
pakowy	pakować
smarny	smarować
zaradczy	zaradzić
pytajny	pytać
nastawczy	nastawiać
skoczny	skakać
zapoznawczy	zapoznać
chłodniczy	chłodzić
cumowniczy	cumować
ogrzewczy	ogrzewać
sterowniczy	sterować
gończy	gonić
konstytutywny	konstytuować się
gaśniczy	gasić
poszukiwawczy	poszukiwać
przymilny	przymilać się
przypochlebny	przypochlebiać
rozdzierający	rozdzierać
pochlebczy	pochlebiać
prześmiewczy	prześmiewać się
rozkazujący	rozkazywać
przesyłowy	przesyłać
piorunujący	piorunować
nadawczy	nadawać
przetokowy	przetaczać się
załadowczy	załadować
nawiewny	nawiewać
wywiewny	wywiewać
licowy	licować
ostrzegawczy	ostrzegać
oczyszczalny	oczyścić
czerpalny	czerpać
pralny	prać
uciskowy	uciskać
proszalny	prosić
proszalny	prosić
oszczędny	oszczędzać
ganiący	ganić
stowarzyszeniowy	stowarzyszać
ssawny	ssać
przelotowy	przelecieć
ustawczy	ustawiać
kpiący	kpić
poniżający	poniżać
prowokujący	prowokować
przepraszający	przepraszać
pogłębiarski	pogłębiać
pocieszycielski	pocieszać
zbrojarski	zbroić
ogrzewniczy	ogrzewać
polerski	polerować
rozlewniczy	rozlewać
wróżbiarski	wróżyć
hartowniczy	hartować
podłączeniowy	podłączyć
mrożeniowy	mrozić
rozgałęźny	rozgałęziać
nobilitacyjny	nobilitować
nobilitacyjny	nobilitować
upominawczy	upominać
ułaskawieniowy	ułaskawić
odśnieżny	odśnieżać
dostosowawczy	dostosować
odbiorczy	odbierać
obejściowy	obejść
dializacyjny	dializować
dializacyjny	dializować
ogólnospławny	spławiać
rysowniczy	rysować
paliwooszczędny	oszczędzać
prawoskrętny	skręcać
lewoskrętny	skręcać
chwytny	chwytać
sieczny	siekać
kościotwórczy	tworzyć
włączeniowy	włączać
rozlewczy	rozlewać
warzelny	warzyć
ścierny	ścierać
przyłączeniowy	przyłączać
naciągowy	naciągać
rozciągowy	rozciągać
energooszczędny	oszczędzać
rozdzielczy	rozdzielać
łączeniowy	łączyć
zdawczy	zdawać
oddawczy	oddawać
podawczy	podawać
nośny	nosić
prowokacyjny	prowokować
zelżywy	zelżyć
przetrwalny	przetrwać
potępieńczy	potępiać
programotwórczy	tworzyć
lotny	latać
podnośny	podnosić
złączny	złączać
złączny	złączyć
rodny	rodzić
zacierny	zacierać
budowalny	budować
odstawczy	odstawiać
bodliwy	bóść
przesuwczy	przesuwać
krojczy	kroić
nastawniczy	nastawiać
zapalczy	zapalać
ogrzewalny	ogrzewać
alarmujący	alarmować
zdobywczy	zdobywać
zdobywczy	zdobywać
naglący	naglić
bałamutny	bałamucić
