dyskusyjny	dyskutować
interesujący	interesować się
płatny	płacić
twórczy	tworzyć
usypiający	usypiać
opłacalny	opłacać się
mdły	mdlić
przygotowawczy	przygotowywać
wymienny	wymieniać
wstydliwy	wstydzić się
rozpoznawczy	rozpoznawać
chorobotwórczy	tworzyć
usypiający	usypiać
wymiotny	wymiotować
posuwisty	posuwać się
zrobaczywiały	zrobaczywieć
chichotliwy	chichotać
przebłagalny	przebłagać
przejmujący	przejmować
frustrujący	frustrować
siedzący	siedzieć
odnowicielski	odnowić
odrodzeńczy	odrodzić się
germanizatorski	germanizować się
błędny	błądzić
formatywny	formować się
prawoskrętny	skręcać
lewoskrętny	skręcać
rozrusznikowy	rozruszać
państwowotwórczy	tworzyć
mitotwórczy	tworzyć
energooszczędny	oszczędzać
nabywczy	nabywać
próchnicotwórczy	tworzyć
próchnicotwórczy	tworzyć
samoczyszczący	czyścić
korkotwórczy	tworzyć
dosiężny	dosięgnąć
stojący	stać
zachowawczy	zachować
chorobotwórczy	tworzyć
