akceptowalny	akceptować
dopuszczalny	dopuszczać
nieuprawiany	uprawiać
osiągalny	osiągać
przenośny	przenosić
stosowany	stosować
umotywowany	umotywować
uzasadniony	uzasadnić
użytkowy	użytkować
zauważalny	zauważać
zrozumiały	zrozumieć
przewidywalny	przewidywać
widzący	widzieć
uprawny	uprawiać
przenikliwy	przenikać
szczytny	szczycić się
zrozumiały	zrozumieć
wykonalny	wykonać
strawny	strawić
słyszalny	słyszeć
spolegliwy	polegać
spławny	spławiać
ciągliwy	ciągnąć
rozpoznawalny	rozpoznawać
obliczalny	obliczać
ciągliwy	ciągnąć się
deklinacyjny	deklinować
powtarzalny	powtarzać
pulsacyjny	pulsować
rozpuszczalny	rozpuścić
eksplozywny	eksplodować
ulotny	ulecieć
zwodny	zwodzić
zwodniczy	zwodzić
okrężny	okrążyć
orny	orać
przepuszczalny	przepuszczać
wymienny	wymieniać
wymienialny	wymieniać
skwapliwy	kwapić się
definiowalny	definiować
dostrzegalny	dostrzec
postrzegalny	postrzegać
pochwytny	pochwycić
poznawalny	poznać
policzalny	policzyć
przekładalny	przekładać
przekładalny	przekładać
przyswajalny	przyswajać
przyswajalny	przyswajać
dostrzegalny	dostrzec
rozróżnialny	rozróżnić
rozróżnialny	rozróżnić
dotykalny	dotknąć
przesuwny	przesuwać
rozsuwany	rozsuwać
uchylny	uchylać
programowalny	programować
ścieralny	ścierać
usuwalny	usuwać
zamienny	zamienić
zamienny	zamienić
czytelny	czytać
odczuwalny	odczuwać
odczuwalny	odczuwać
rozciągliwy	rozciągać
wywrotny	wywracać się
mierzalny	mierzyć
dowodny	dowieść
wymawialny	wymawiać
odwołalny	odwołać
przewoźny	przewozić
porównywalny	porównywać
stopniowalny	stopniować
chodzący	chodzić
odnawialny	odnawiać
samonaprowadzający	naprowadzać
samosterujący	sterować
kośny	kosić
jadalny	jadać
obracany	obracać się
składany	składać
rozkładany	rozkładać
czterodzielny	dzielić
toczny	toczyć się
wahliwy	wahać się
nastawny	nastawić
nastawialny	nastawiać
przyczepny	przyczepiać
kurczliwy	kurczyć się
pitny	pić
sprawdzalny	sprawdzać
wybaczalny	wybaczyć
żeglowny	żeglować
przestawny	przestawiać
uprawny	uprawiać
dziedziczny	dziedziczyć
dziedziczny	dziedziczyć
wybieralny	wybierać
obserwowalny	obserwować
przeliczalny	przeliczać
umarzalny	umorzyć
zniszczalny	zniszczyć
rozłączny	rozłączać
rozszczepialny	rozszczepić
myślący	myśleć
weryfikowalny	weryfikować
spłacalny	spłacić
przeciążalny	przeciążyć
zastosowalny	zastosować
klikalny	klikać
weryfikowalny	weryfikować
wyobrażalny	wyobrażać sobie
wykonywalny	wykonywać
wytłumaczalny	wytłumaczyć
wytłumaczalny	wytłumaczyć
oczyszczalny	oczyścić
pływalny	pływać
całkowalny	całkować
rozwiązywalny	rozwiązywać
rozwiązywalny	rozwiązywać
rozwiązywalny	rozwiązywać
przedstawialny	przedstawić
identyfikowalny	identyfikować
identyfikowalny	identyfikować
kwalifikowalny	kwalifikować
sterowalny	sterować
sterowalny	sterować
ściągalny	ściągać
rozwijalny	rozwijać
dosłyszalny	dosłyszeć
różniczkowalny	różniczkować
zmywalny	zmywać
wyczerpywalny	wyczerpywać
skalowalny	skalować
skalowalny	skalować
skalowalny	skalować
skalowalny	skalować
pomijalny	pomijać
pijalny	pijać
rozrzedzalny	rozrzedzać
konfigurowalny	konfigurować
stosowalny	stosować
wyrażalny	wyrażać
wyrażalny	wyrażać
wyrażalny	wyrażać
wyrażalny	wyrażać
odróżnialny	odróżniać
konfrontowalny	konfrontować
przesuwalny	przesuwać
rozwiązalny	rozwiązać
rozwiązalny	rozwiązać
rozwiązalny	rozwiązać
rozwiązalny	rozwiązać
rozstrzygalny	rozstrzygać
realizowalny	realizować
realizowalny	realizować
realizowalny	realizować
realizowalny	realizować
wyliczalny	wyliczyć
wyliczalny	wyliczyć
edytowalny	edytować
zaliczalny	zaliczać
reformowalny	reformować
przetłumaczalny	przetłumaczyć
przetłumaczalny	przetłumaczyć
wyćwiczalny	wyćwiczyć
podważalny	podważać
egzekwowalny	egzekwować
odtwarzalny	odtwarzać
wyuczalny	wyuczać
wyuczalny	wyuczać
modyfikowalny	modyfikować
wysuwalny	wysuwać
sprzedawalny	sprzedawać
pojmowalny	pojmować
sprowadzalny	sprowadzać
sprowadzalny	sprowadzać
konstruowalny	konstruować
rozkładalny	rozkładać
rozkładalny	rozkładać
zastępowalny	zastępować
zastępowalny	zastępować
zaniedbywalny	zaniedbywać
redukowalny	redukować
zgrzewalny	zgrzewać
potrącalny	potrącać
wymierzalny	wymierzać
wymierzalny	wymierzać
rozbieralny	rozbierać
stwierdzalny	stwierdzać
stwierdzalny	stwierdzać
adresowalny	adresować
przekraczalny	przekraczać
przekraczalny	przekraczać
opisywalny	opisywać
konwertowalny	konwertować
interpretowalny	interpretować
interpretowalny	interpretować
interpretowalny	interpretować
negocjowalny	negocjować
wyróżnialny	wyróżniać
drukowalny	drukować
wyjaśnialny	wyjaśniać
wyjaśnialny	wyjaśniać
wydobywalny	wydobywać
wydobywalny	wydobywać
zużywalny	zużywać
odkształcalny	odkształcać
sumowalny	sumować
wszczepialny	wszczepiać
widywalny	widywać
testowalny	testować
testowalny	testować
komunikowalny	komunikować
nagrywalny	nagrywać
zarządzalny	zarządzać
przekazywalny	przekazywać
przekazywalny	przekazywać
używalny	używać
zamienialny	zamieniać
zamienialny	zamieniać
naprawialny	naprawiać
odzyskiwalny	odzyskiwać
odzyskiwalny	odzyskiwać
odłączalny	odłączać
odłączalny	odłączać
ładowalny	ładować
demontowalny	demontować
zatapialny	zatapiać
googlowalny	googlować
wyszukiwalny	wyszukiwać
guglowalny	guglować
wzruszalny	wzruszać
wyczuwalny	wyczuwać
wyczuwalny	wyczuwać
otwieralny	otwierać
wyczerpalny	wyczerpać
otwieralny	otwierać
używalny	używać
obsługiwalny	obsługiwać
rozkładalny	rozkładać
formułowalny	formułować
objaśnialny	objaśniać
zalewowy	zalewać
przejezdny	przejechać
przeraźliwy	przerazić
zjadliwy	zjadać
przelotowy	przelecieć
zasądzalny	zasądzić
przyznawalny	przyznawać
rozstrzygalny	rozstrzygać
przechylny	przechylić
przywiedlny	przywieść
powodny	powodzić
dojściowy	dojść
obejściowy	obejść
obejściowy	obejść
zejściowy	zejść
spełnialny	spełnić
spełnialny	spełnić
uchwytny	uchwycić
reprezentacyjny	reprezentować
mieszalny	mieszać
lotny	latać
wyjmowalny	wyjmować
przeczuwalny	przeczuwać
dowodliwy	dowodzić
falsyfikowalny	falsyfikować
rafotwórczy	tworzyć
wjezdny	wjeżdżać
łupki	łupać
obrabialny	obrabiać
przekształcalny	przekształcać
topliwy	topić
łupliwy	łupać
rozszerzalny	rozszerzać
rozszerzalny	rozszerzać
przędny	prząść
zgrzewny	zgrzewać
termozgrzewalny	zgrzewać
pitny	pić
podnośny	podnosić
uznawalny	uznawać
odwoływalny	odwołać
odwoływalny	odwołać
krzepliwy	krzepnąć
spawalny	spawać
mnożny	mnożyć
wyznaczalny	wyznaczyć
odliczalny	odliczyć
zdejmowalny	zdejmować
adaptowalny	adaptować
obracalny	obracać
samozaładowczy	załadować
dosiężny	dosięgnąć
przystawny	przystawić
przystawny	przystawiać
naruszalny	naruszyć
łączliwy	łączyć
odczepny	odczepiać
dosięgalny	dosięgać
dościgły	doścignąć
wyprowadzalny	wyprowadzić
odchylny	odchylać
oglądalny	oglądać
oglądalny	oglądać
ogrzewalny	ogrzewać
ogrzewalny	ogrzać
zbywalny	zbywać
zwiewny	zwiewać
przewidywalny	przewidywać
przewidywalny	przewidywać
obliczalny	obliczać
strawny	strawić
