baczny	baczyć
chełpliwy	chełpić się
kłótliwy	kłócić się
milczący	milczeć
pobłażliwy	pobłażać
ustępliwy	ustępować
waleczny	walczyć
wstydliwy	wstydzić się
zaczepny	zaczepiać
dokuczliwy	dokuczać
zapalny	zapalać się
powtarzalny	powtarzać się
lękliwy	lękać się
płochliwy	płoszyć się
pierzchliwy	pierzchać
zapobiegliwy	zapobiegać
sprzedajny	sprzedawać się
domykalny	domykać się
zamykalny	zamykać się
zamykany	zamykać się
grymaśny	grymasić
przemądrzały	przemądrzać się
zdradliwy	zdradzać
burzliwy	burzyć się
migotliwy	migotać
migotliwy	migotać
zapominalski	zapominać
rozmowny	rozmawiać
swawolny	swawolić
eksplozywny	eksplodować
wyrównawczy	wyrównywać
załgany	łgać
zakłamany	kłamać
kłamliwy	kłamać
zapowietrzony	zapowietrzyć się
domyślny	domyślać się
puszczalski	puszczać się
oszukańczy	oszukiwać
krytyczny	krytykować
płochy	płoszyć się
obrażalski	obrażać się
pyskaty	pyskować
ryzykancki	ryzykować
obraźliwy	obrażać
opiekuńczy	opiekować się
cudzołożny	cudzołożyć
schorowany	chorować
zrzędliwy	zrzędzić
prześladowczy	prześladować
buntowniczy	buntować się
chodliwy	chodzić
chwytliwy	chwytać
czepliwy	czepiać się
czepliwy	czepiać się
kochliwy	kochać
sterowny	sterować
wygadany	gadać
przenikalny	przenikać
wybuchowy	wybuchać
frasobliwy	frasować się
usłużny	usłużyć
milkliwy	milknąć
romansowy	romansować
przyczepny	przyczepiać się
czepny	czepiać się
czepny	czepiać się
uważny	uważać
spóźnialski	spóźniać się
psotny	psocić
zrzędny	zrzędzić
burkliwy	burczeć
chichotliwy	chichotać
mrukliwy	mruczeć
świergotliwy	świergotać
szczebiotliwy	szczebiotać
szczekliwy	szczekać
gderliwy	gderać
kąśliwy	kąsać
żartobliwy	żartować
zapalczywy	zapalić się
rozedrgany	rozedrgać się
bywały	bywać
egzaltowany	egzaltować się
odizolowany	odizolować się
pomijalny	pomijać
spostrzegalny	spostrzec
przewidujący	przewidywać
analizujący	analizować
chodliwy	chodzić
chwytliwy	chwytać
chwytny	chwytać
kłótny	kłócić się
psotliwy	psocić
rechotliwy	rechotać
skrzypliwy	skrzypieć
komunikatywny	komunikować się
terkotliwy	terkotać
nośny	nieść się
nośny	nieść się
starowny	starać się
znikliwy	znikać
bodliwy	bóść
rozmówny	rozmawiać
niskotopliwy	topić
buntowny	buntować się
łaśliwy	łasić się
zgrywny	zgrywać się
rechotliwy	rechotać
szczebiotliwy	szczebiotać
szwargotliwy	szwargotać
współczujący	współczuć
