administracyjny	administracja
afgański	Afganistan
akademicki	akademia
akustyczny	akustyka
alergiczny	alergia
angielski	Anglia
antyczny	antyk
arabski	Arabia
architektoniczny	architektonika
archiwalny	archiwum
austriacki	Austriak
austriacki	Austria
automatyczny	automat
autorski	autor
azjatycki	Azja
bankowy	bank
biologiczny	biologia
bitewny	bitwa
botaniczny	botanika
boży	bóg
bramkowy	bramka
brytyjski	Brytyjczyk
brzegowy	brzeg
budowlany	budowla
budżetowy	budżet
celny	cło
chemiczny	chemia
chiński	Chiny
chrześcijański	chrześcijaństwo
chłopski	chłop
cieplny	ciepło
czasowy	czas
czeski	Czechy
członkowski	członek
domowy	dom
dowodowy	dowód
drogowy	droga
dyplomatyczny	dyplomacja
dyscyplinarny	dyscyplina
dziecięcy	dziecko
dziennikarski	dziennikarstwo
ekologiczny	ekologia
ekonomiczny	ekonomia
emerytalny	emerytura
emocjonalny	emocja
estetyczny	estetyka
etylowy	etyl
europejski	Europejczyk
europejski	Europa
filmowy	film
filozoficzny	filozofia
finałowy	finał
fotograficzny	fotografia
francuski	Francuz
francuski	Francja
gatunkowy	gatunek
geologiczny	geologia
giełdowy	giełda
gimnastyczny	gimnastyka
górniczy	górnictwo
górski	góry
gospodarczy	gospodarka
graniczny	granica
hiszpański	Hiszpania
informacyjny	informacja
internetowy	internet
inwestycyjny	inwestycja
jądrowy	jądro
jagielloński	Jagiellonowie
jakościowy	jakość
japoński	Japonia
jesienny	jesień
językowy	język
katolicki	katolicyzm
kinowy	kino
klubowy	klub
kolejowy	kolej
komórkowy	komórka
komputerowy	komputer
komunikacyjny	komunikacja
kościelny	kościół
krakowski	Kraków
kredytowy	kredyt
królewski	król
krwawy	krew
kryminalny	kryminał
kucharski	kucharz
kulinarny	kulinaria
kulturalny	kultura
kulturowy	kultura
legislacyjny	legislacja
lekarski	lekarz
leszczynowy	leszczyna
letni	lato
literacki	literatura
litewski	Litwa
logiczny	logika
lotniczy	lotnictwo
ludzki	ludzie
lustracyjny	lustracja
macedoński	Macedonia
majątkowy	majątek
malarski	malarstwo
maryjny	Maryja
małopolski	Małopolska
medialny	media
medyczny	medycyna
męski	mężczyzna
metalowy	metal
miejski	miasto
mieszkaniowy	mieszkanie
morski	morze
muzyczny	muzyka
narciarski	narciarstwo
narodowy	naród
nerwowy	nerw
niedzielny	niedziela
niemiecki	Niemiec
niemiecki	Niemcy
niemowlęcy	niemowlę
norweski	Norwegia
nowotarski	Nowy Targ
nożny	noga
numeryczny	numer
obrazowy	obraz
obronny	obrona
obywatelski	obywatel
odpornościowy	odporność
okręgowy	okręg
olimpijski	olimpiada
omyłkowy	omyłka
organizacyjny	organizacja
osobowy	osoba
oświęcimski	Oświęcim
papieski	papież
parlamentarny	parlament
paryski	Paryż
patentowy	patent
piłkarski	piłka nożna
plastyczny	plastyka
pocztowy	poczta
podatkowy	podatek
poetycki	poezja
pokarmowy	pokarm
pokojowy	pokój
policyjny	policja
polny	pole
polowy	pole
polski	Polak
polski	Polska
poselski	poseł
powiatowy	powiat
północny	północ
południowy	południe
prasowy	prasa
prawny	prawo
prezydencki	prezydent
procentowy	procent
przemysłowy	przemysł
przestrzenny	przestrzeń
przypadkowy	przypadek
przyrodniczy	przyroda
psychologiczny	psychologia
radiowy	radio
ratunkowy	ratunek
redakcyjny	redakcja
regionalny	region
rejonowy	rejon
reklamowy	reklama
rekreacyjny	rekreacja
religijny	religia
rodzinny	rodzina
rodzinny	rodzina
rolniczy	rolnictwo
rolny	rola
rosyjski	Rosja
rozwojowy	rozwój
rycerski	rycerz
rządowy	rząd
rzeczowy	rzecz
rzymski	Rzym
sądowy	sąd
samochodowy	samochód
samorządowy	samorząd
sejmowy	sejm
senacki	senat
sienny	siano
skandynawski	Skandynawia
skarbowy	skarb państwa
śląski	Śląsk
śledczy	śledztwo
sobotni	sobota
specjalistyczny	specjalista
środowiskowy	środowisko
stalowy	stal
starożytny	starożytność
stołowy	stół
strzelecki	strzelec
studencki	student
świąteczny	święto
szwedzki	Szwecja
słoneczny	Słońce
słowiański	Słowianin
taneczny	taniec
taśmowy	taśma
teatralny	teatr
technologiczny	technologia
telefoniczny	telefon
twórczy	twórca
ubezpieczeniowy	ubezpieczenie
uczuleniowy	uczulenie
ukraiński	Ukrainiec
ukraiński	Ukraina
uliczny	ulica
unijny	unia
uniwersytecki	uniwersytet
urzędowy	urząd
ustawodawczy	ustawodawstwo
warszawski	Warszawa
weterynaryjny	weterynaria
więzienny	więzienie
wiosenny	wiosna
wodny	woda
wojewódzki	województwo
wolski	Wola
wyborczy	wybory
wydawniczy	wydawnictwo
wyznaniowy	wyznanie
włoski	Włochy
zakonny	zakon
zakładowy	zakład
zarobkowy	zarobek
zawodowy	zawód
zimowy	zima
związkowy	związek
zwierzęcy	zwierzę
życiowy	życie
żydowski	żyd
łaciński	łacina
dworcowy	dworzec
firmowy	firma
fabryczny	fabryka
świątynny	świątynia
apteczny	apteka
dworski	dwór
grobowy	grób
kuchenny	kuchnia
sceniczny	scena
schodowy	schody
magazynowy	magazyn
kawiarniany	kawiarnia
rajski	raj
biurowy	biuro
hutniczy	huta
cmentarny	cmentarz
denny	dno
laboratoryjny	laboratorium
pustynny	pustynia
obozowy	obóz
ogrodowy	ogród
targowy	targ
uczelniany	uczelnia
wydziałowy	wydział
wywiadowczy	wywiad
portowy	port
chorobowy	choroba
umysłowy	umysł
mazowiecki	Mazowsze
pocztowy	poczet
pokojowy	pokój
południowy	południe
zoologiczny	zoologia
braterski	brat
siostrzany	siostra
matczyny	matka
ojcowski	ojciec
rodzicielski	rodzicielstwo
rodzicielski	rodzic
synowski	syn
tematyczny	temat
autobusowy	autobus
uczniowski	uczeń
środowiskowy	środowisko
tragiczny	tragedia
duchowny	duchowieństwo
deklinacyjny	deklinacja
romantyczny	romantyzm
deszczowy	deszcz
absolutystyczny	absolutyzm
abstrakcyjny	abstrakcjonizm
akademicki	akademizm
aktualny	akt
alkoholowy	alkohol
aptekarski	aptekarz
odruchowy	odruch
cywilny	prawo cywilne
duchowy	duch
dyskusyjny	dyskusja
dzienny	dzień
dźwiękowy	dźwięk
rodzajowy	rodzaj
gminny	gmina
wyjazdowy	wyjazd
demarkacyjny	demarkacja
instrumentalny	instrument
jądrowy	jądro
atomowy	atom
nuklearny	nukleon
komediowy	komedia
komórkowy	komórka
kosmiczny	kosmos
fachowy	fach
mechaniczny	mechanika
przełomowy	przełom
seksualny	seks
sportowy	sport
systematyczny	systematyka
unijny	Unia Europejska
życiowy	życie
żywiołowy	żywioł
