drewniany	drewno
kamienny	kamień
kamienny	kamień
mineralny	minerał
mleczny	mleko
papierowy	papier
roślinny	roślina
srebrny	srebro
szklany	szkło
winny	wino
żelazny	żelazo
złoty	złoto
pergaminowy	pergamin
ruciany	ruta
cykoriowy	cykoria
cykoriowy	cykoria
iperytowy	iperyt
kalafiorowy	kalafior
alkoholowy	alkohol
ametystowy	ametyst
bananowy	banan
buraczkowy	buraczek
bursztynowy	bursztyn
ceglany	cegła
chabrowy	chaber
chemiczny	chemia
cielęcy	cielę
brązowy	brąz
magnezjowy	magnezja biała
cynamonowy	cynamon
cytrynowy	cytryna
czekoladowy	czekolada
neonowy	neon
perłowy	perła
brylantowy	brylant
diamentowy	diament
koralowy	koral
koralowy	koral
granitowy	granit
krzemianowy	krzemian
kwarcowy	kwarc
piaskowcowy	piaskowiec
asfaltowy	asfalt
szutrowy	szuter
serpentynowy	serpentyn
piaszczysty	piasek
żwirowy	żwir
jogurtowy	jogurt
cebulowy	cebula
bulionowy	bulion
chrzanowy	chrzan
chrzanowy	chrzan
czosnkowy	czosnek
fasolowy	fasola
grochowy	groch
grzybowy	grzyb
jarzynowy	jarzyna
kminkowy	kminek
koperkowy	koperek
krewetkowy	krewetka
majonezowy	majonez
musztardowy	musztarda
ogórkowy	ogórek
pieczarkowy	pieczarka
pomidorowy	pomidor
ponczowy	poncz
sardelowy	sardela
śledziowy	śledź
śmietankowy	śmietanka
śmietanowy	śmietana
szczawiowy	szczaw
śnieżny	śnieg
śniegowy	śnieg
bakelitowy	bakelit
ebonitowy	ebonit
winylowy	winyl
styropianowy	styropian
pilśniowy	pilśń
lessowy	less
torfowy	torf
cukrowy	cukier
węglowy	węgiel
pergaminowy	pergamin
cynowy	cyna
fajansowy	fajans
gliniany	glina
kamionkowy	kamionka
porcelanowy	porcelana
anyżowy	anyż
glicerynowy	gliceryna
jaśminowy	jaśmin
jałowcowy	jałowiec
lawendowy	lawenda
miętowy	mięta
rozmarynowy	rozmaryn
rumiankowy	rumianek
alabastrowy	alabaster
barani	baran
barani	baranina
borsuczy	borsuk
futerkowy	futerko
