administrator	administrować
adorator	adorować
afirmant	afirmować
analityk	analizować
aspirant	aspirować
byt	być
bywalec	bywać
celebrans	celebrować
cenzor	cenzurować
czytelnik	czytać
demaskator	demaskować
doradca	doradzać
doręczyciel	doręczać
dostarczyciel	dostarczać
dowód	dowodzić
dowódca	dowodzić
dusiciel	dusić
dyrygent	dyrygować
dysponent	dysponować
dysponent	dysponować
działacz	działać
dziedzic	dziedziczyć
eskorta	eskortować
fundacja	fundować
gap	gapić się
gracz	grać
handlowiec	handlować
hodowca	hodować
inwestor	inwestować
izolator	izolować
kandydat	kandydować
kierowca	kierować
kierownik	kierować
kierujący	kierować
kochanek	kochać się
kolekcjoner	kolekcjonować
kolporter	kolportować
kombinator	kombinować
komentator	komentować
kompozytor	komponować
końcówka	kończyć
koniec	kończyć
koniec	kończyć się
konserwator	konserwować
konstruktor	konstruować
konsultant	konsultować
konsument	konsumować
kontrola	kontrolować
kontroler	kontrolować
kopacz	kopać
krytyk	krytykować
kupiec	kupować
kupujący	kupować
lekarz	leczyć
malarz	malować
mieszkaniec	mieszkać
moderator	moderować
mówca	mówić
nabywca	nabywać
nadawca	nadawać
najemca	najmować
napastnik	napadać
narkoman	narkotyzować się
następca	następować
nauczyciel	nauczać
obrońca	bronić
obsługa	obsługiwać
obsługa	obsługiwać
ochrona	ochraniać
odbiorca	odbierać
odbiorca	odbierać
opiekun	opiekować się
organizator	organizować
pacykarz	pacykować
panujący	panować
partacz	partaczyć
pielgrzym	pielgrzymować
pielgrzymka	pielgrzymować
pisarz	pisać
poborca	pobierać
podróżnik	podróżować
poprzednik	poprzedzać
porywacz	porywać
posiadacz	posiadać
pośrednik	pośredniczyć
pracownik	pracować
pretendent	pretendować
producent	produkować
projektant	projektować
prostytutka	prostytuować się
prowadzący	prowadzić
prowadzący	prowadzić
prześmiewca	prześmiewać się
przewoźnik	przewozić
przybysz	przybyć
przyjaciel	przyjaźnić się
przyjezdny	przyjechać
płatnik	płacić
pływak	pływać
ratownik	ratować
recenzent	recenzować
redaktor	redagować
reprezentacja	reprezentować
reprezentant	reprezentować
restaurator	restaurować
reżyser	reżyserować
rozgrywający	rozgrywać
rozmówca	rozmawiać
rząd	rządzić
sąd	sądzić
sąsiad	sąsiadować
sędzia	sądzić
skoczek	skakać
składnik	składać się
smakosz	smakować
specjalista	specjalizować się
sprawca	sprawić
sprzedawca	sprzedawać
strapienie	strapić
strzelec	strzelać
student	studiować
świadek	świadczyć
sympatyk	sympatyzować
słuchacz	słuchać
służący	służyć
tancerz	tańczyć
towarzysz	towarzyszyć
trener	trenować
triumfator	triumfować
tłumacz	tłumaczyć
uczeń	uczyć się
uczestnik	uczestniczyć
użytkownik	użytkować
widz	widzieć
wojownik	wojować
wybawca	wybawiać
wychowawca	wychowywać
wydawca	wydawać
wykonawca	wykonywać
wyznawca	wyznawać
władca	władać
zabójca	zabijać
zapowiedź	zapowiedzieć
zarządca	zarządzać
zastępca	zastępować
założyciel	założyć
zbawca	zbawić
żebrak	żebrać
zmartwienie	zmartwić
znaczenie	znaczyć
znawca	znać
zwrotniczy	zwrócić
zwycięzca	zwyciężać
łazęga	łazić
wykładowca	wykładać
grabarz	grzebać
ordynator	ordynować
zarazek	zarażać
kontynuator	kontynuować
rozbitek	rozbić się
kamerzysta	kamerować
lotnik	latać
filmowiec	filmować
oskarżyciel	oskarżyć
przewodniczący	przewodniczyć
inicjator	inicjować
realizator	realizować
skąpiec	skąpić
zasłona	zasłaniać
zbywca	zbywać
demonstracja	demonstrować
manifestacja	manifestować
emigracja	emigrować
imigracja	imigrować
biorca	brać
doktorant	doktoryzować się
grzesznik	grzeszyć
straszydło	straszyć
zazdrośnik	zazdrościć
atak	atakować
dziedzic	dziedziczyć
eskorta	eskortować
gość	gościć
konserwator	konserwować
krytyk	krytykować
kupiec	kupić
malarz	malować
obrońca	obronić
obrońca	bronić
obserwator	obserwować
opiekun	opiekować się
pomocnik	pomagać
pośrednik	pośredniczyć
protektor	protegować
przewodnik	przewodzić
reprezentant	reprezentować
rywal	rywalizować
strzelec	strzelać
świadek	świadczyć
słuchacz	słuchać
twórca	tworzyć
uczeń	uczyć się
widz	widzieć
wychowawca	wychowywać
wykonawca	wykonywać
wyznawca	wyznawać
dźwig	dźwigać
żywiciel	żywić
blokada	blokować
pokrywa	pokrywać
wskaźnik	wskazywać
pnącze	piąć się
jeździec	jeździć
buntownik	buntować się
buntownik	buntować się
czarownik	czarować
czarodziej	czarować
dezerter	dezerterować
donosiciel	donosić
dozorca	dozorować
dręczyciel	dręczyć
fałszerz	fałszować
