argumentacja	argumentować
barwnik	barwić
broń	bronić
dojście	dojść
dowód	dowodzić
izolacja	izolować
kadzidło	kadzić
konserwant	konserwować
kontakt	kontaktować
legitymacja	legitymować
licznik	liczyć
licznik	liczyć
mowa	mówić
nadzienie	nadziewać
nakaz	nakazać
obwieszczenie	obwieszczać
odbiornik	odbierać
odwołanie	odwołać się
odznaczenie	odznaczyć
odznaka	odznaczyć
opakowanie	opakować
ozdoba	ozdobić
perfumy	perfumować
podpora	podpierać
pojazd	pojechać
pozwolenie	pozwolić
premia	premiować
premia	premiować
przeszkoda	przeszkodzić
przeszkoda	przeszkodzić
regulamin	regulować
strzała	strzelać
świadectwo	świadczyć
świeca	świecić
słuch	słuchać
trucizna	truć
tworzywo	tworzyć
ubezpieczenie	ubezpieczać
wezwanie	wezwać
wskazówka	wskazywać
wykładzina	wykładać
wyraz	wyrażać się
wyraz	wyrażać się
wyraz	wyrażać
wyrażenie	wyrażać
wyróżnienie	wyróżnić
wyróżnienie	wyróżnić
wyświetlacz	wyświetlać
włącznik	włączać
zabawka	zabawić się
zapalniczka	zapalić
zapalniczka	zapalić
zaproszenie	zaprosić
zaproszenie	zaprosić
zasiłek	zasilić
zawada	zawadzać
zwieńczenie	zwieńczyć
zwój	zwijać
zarazek	zarażać się
połączenie	połączyć
ponaglenie	ponaglać
poświadczenie	poświadczać
odwołanie	odwołać się
wyłącznik	wyłączać
wyłącznik	wyłączać
zapalnik	zapalić
obrabiarka	obrabiać
szlifierka	szlifować
broń	bronić
pokrycie	pokrywać
połączenie	połączyć
sygnalizator	sygnalizować
zanieczyszczenia	zanieczyszczać
podparcie	podpierać
sygnalizacja	sygnalizować
instrukcja	instruować
miara	mierzyć
nabój	nabić
ochrona	ochraniać
odznaka	odznaczyć
pisak	pisać
potwierdzenie	potwierdzać
przelicznik	przeliczyć
świadectwo	świadczyć
wskazówka	wskazywać
zabezpieczenie	zabezpieczyć
zapewnienie	zapewnić
dźwig	dźwigać
zaświadczenie	zaświadczać
ćwiczenie	ćwiczyć
negacja	negować
wskaźnik	wskazywać
budzik	budzić
kosiarka	kosić
ocieplenie	ocieplić
strzykawka	strzykać
wyżywienie	wyżywić
przykrycie	przykryć
nakrycie	nakrywać
ochraniacz	ochraniać
propaganda	propagować
celownik	celować
celownik	celować
gaśnica	gasić
kalkulator	kalkulować
kierownica	kierować
koparka	kopać
kopiarka	kopiować
mikser	miksować
niszczyciel	niszczyć
odkurzacz	odkurzać
ogrzewacz	ogrzewać
ogrzewanie	ogrzać
podajnik	podawać
podsłuch	podsłuchiwać
przyłącze	przyłączać
regulator	regulować
sprężarka	sprężać
sprężarka	sprężyć
szybowiec	szybować
słuchawka	słuchać
tłumik	tłumić
zasilacz	zasilać
znacznik	znaczyć
zwrotnica	zwrócić
łącze	łączyć
spryskiwacz	spryskiwać
złącze	złączyć
sznurowadło	sznurować
tłumik	tłumić
słuchawka	słuchać
kondensator	kondensować
zakąska	zakąszać
czytnik	czytać
