budowa	budować
chodnik	chodzić
deptak	deptać
dojazd	dojeżdżać
dyspozytornia	dysponować
dyspozytornia	dysponować
ekspozycja	eksponować
garbarnia	garbować
kopalnia	kopać
mieszkanie	mieszkać
obniżenie	obniżać
oczyszczalnia	oczyszczać
parking	parkować
plantacja	plantować
pochyłość	pochylać się
podejście	podejść
pracownia	pracować
przechowalnia	przechować
przejście	przejść
pływalnia	pływać
rafineria	rafinować
sad	sadzić
sąd	sądzić
sąd	sądzić
schody	schodzić
siedzenie	siedzieć
siedziba	siedzieć
siedzisko	siedzieć
skup	skupować
składowisko	składać
składowisko	składować
składzik	składować
start	startować
uczelnia	uczyć
uczelnia	uczyć
widownia	widzieć
wydawnictwo	wydawać
wydawnictwo	wydawać
wyjście	wyjść
wystawa	wystawiać
wytwórnia	wytwarzać
wzniesienie	wznosić się
zakręt	zakręcać
zbiornik	zbierać
złamanie	złamać się
delegatura	delegować
siedzenie	siedzieć
składnica	składować
praca	pracować
tyrka	tyrać
oparcie	oprzeć
palenisko	palić
bawialnia	bawić się
mównica	mówić
separatka	separować
jadalnia	jadać
spadek	spadać
koniec	kończyć się
siedzisko	siedzieć
wystawa	wystawiać
kryjówka	kryć
chrzcielnica	chrzcić
legowisko	lec
legowisko	leżeć
leżanka	leżeć
przepust	przepuszczać
przepust	przepuszczać
rozgałęzienie	rozgałęziać się
rozwidlenie	rozwidlać się
skrytka	skryć
zjeżdżalnia	zjeżdżać
ładownia	ładować
czytelnia	czytać
zlew	zlewać
kąpielisko	kąpać się
krematorium	kremować
poradnia	poradzić
strzelnica	strzelać
odpływ	odpływać
objazd	objeżdżać
skupisko	skupić
rozsadnik	rozsadzać
zsyp	zsypywać
pralnia	prać
spalarnia	spalać
spust	spuszczać
zlewnia	zlewać się
łowisko	łowić
ukrycie	ukryć
przecięcie	przecinać się
rozmównica	rozmawiać
rozmównica	rozmawiać
konwersatorium	konwersować
rozmównica	rozmawiać
reżyserka	reżyserować
szkicownik	szkicować
strzelnica	strzelać
odkrywka	odkrywać
rozbieralnia	rozbierać
osuwisko	osuwać się
obsypisko	obsypać się
osypisko	osypać się
usuwisko	usuwać się
koczowisko	koczować
koczowisko	koczować
rozsadnik	rozsadzać
destylarnia	destylować
mieszalnia	mieszać
odlewnia	odlewać
destylarnia	destylować
pijalnia	pić
rozdzielnia	rozdzielić
rozlewnia	rozlewać
szwalnia	szyć
szwalnia	szyć
tkalnia	tkać
ubojnia	ubić
wędzarnia	wędzić
spluwaczka	spluwać
wygięcie	wygiąć się
mijanka	mijać
spad	spadać
wychodek	wychodzić
złomowisko	złomować
wpust	wpuszczać
montażownia	montować
szlifiernia	szlifować
słodownia	słodować
grzebowisko	grzebać
kreślarnia	kreślić
ubieralnia	ubierać
dostrzegalnia	dostrzegać
czatownia	czatować
zimownik	zimować
cyzelernia	cyzelować
cerownia	cerować
cerownia	cerować
zbiornica	zbierać
klujnik	kluć się
leże	leżeć
wykończalnia	wykończać
wykańczalnia	wykańczać
galwanizernia	galwanizować
emaliernia	emaliować
charakteryzatornia	charakteryzować
objazdówka	objeżdżać
gręplarnia	gręplować
zgrzeblarnia	zgrzeblić
