antagonizm	antagonizować
budowla	budować
budynek	budować
byt	być
bytność	być
cesja	cedować
ciąg	ciągnąć się
deklaracja	deklarować
depozyt	deponować
dokumentacja	dokumentować
dolewka	dolewać
domysł	domyślać się
doniesienie	donieść
doznanie	doznać
dyscyplina	dyscyplinować
dyspozycja	dysponować
ekranizacja	ekranizować
fundusz	fundować
groźba	grozić
instalacja	instalować
irytacja	irytować
istnienie	istnieć
izolacja	izolować
kategoria	kategoryzować
kolekcja	kolekcjonować
koniec	kończyć
koniec	kończyć się
konstrukcja	konstruować
kupno	kupić
kwalifikacja	kwalifikować
kłamstwo	kłamać
kłótnia	kłócić się
mniemanie	mniemać
motywacja	motywować
nagroda	nagrodzić
nakaz	nakazać
napis	napisać
nastawienie	nastawić się
notatka	notować
obliczenie	obliczyć
obraza	obrazić
obraza	obrażać
ocena	oceniać
ochrona	ochraniać
oczarowanie	oczarować
odbicie	odbić
odczucie	odczuć
odczucie	odczuć
odejście	odejść
odprężenie	odprężyć się
ograniczenie	ograniczyć
ogrodzenie	ogrodzić
określenie	określić
olśnienie	olśnić
omyłka	omylić się
omyłka	omylić
opanowanie	opanować się
opieka	opiekować się
opowiadanie	opowiadać
opowieść	opowiedzieć
opóźnienie	spóźniać się
opóźnienie	opóźnić
opracowanie	opracować
orzeczenie	orzec
osąd	osądzać
osiągnięcie	osiągnąć
ostrzeżenie	ostrzec
oświadczenie	oświadczyć
osłona	osłaniać
osłupienie	osłupieć
plecionka	pleść
poczucie	poczuć
podarek	podarować
podarunek	podarować
podejrzenie	podejrzewać
podekscytowanie	podekscytować
podkop	podkopać się
podniecenie	podniecać
podniecenie	podniecić
podpis	podpisywać
podział	podzielić
pogawędka	pogadywać
pojednanie	pojednać się
pomyłka	pomylić się
pomyłka	pomylić
poprawa	poprawić
poprawa	poprawić się
porada	poradzić
poręczenie	poręczyć
poręczenie	poręczyć
porozumienie	porozumiewać się
postanowienie	postanowić
postanowienie	postanowić
powstanie	powstać
pozostałość	pozostać
pozwolenie	pozwolić
pozwolenie	pozwolić
połączenie	połączyć
preparat	preparować
produkcja	produkować
produkt	produkować
produkt	produkować
projekt	projektować
przeciwstawienie	przeciwstawić się
przedstawienie	przedstawiać
przedział	przedzielić
przedział	przedzielić
przegrana	przegrać
przegrana	przegrać
przekonanie	przekonać się
przekład	przekładać
przelew	przelewać
przemęczenie	przemęczyć
przemiana	przemieniać
przemowa	przemawiać
przemówienie	przemówić
przerwa	przerwać
przerwa	przerwać
przewaga	przeważać
przewaga	przeważyć
przewidywanie	przewidywać
przewinienie	przewinić
przeznaczenie	przeznaczyć
przeznaczenie	przeznaczyć
przyjęcie	przyjąć
przypuszczenie	przypuszczać
przysięga	przysięgać
przywiązanie	przywiązać
publikacja	publikować
płatność	płacić
referat	referować
rejestracja	rejestrować
rekompensata	rekompensować
roszczenie	rościć
rozdział	rozdzielić
rozdział	rozdzielić
rozgrywka	rozgrywać
rozluźnienie	rozluźnić
różnica	różnicować
rozpadlina	rozpadać się
rozważanie	rozważać
rozwój	rozwijać się
ruch	ruszać się
ruch	ruszać
rysunek	rysować
rzeźba	rzeźbić
sąd	sądzić
skaleczenie	skaleczyć
skarga	skarżyć
skupienie	skupić się
ślubowanie	ślubować
spis	spisać
splot	splatać
splot	spleść
strata	stracić
stres	stresować
stwierdzenie	stwierdzać
styczność	stykać się
styczność	stykać się
styczność	stykać się
subordynacja	subordynować
sugestia	sugerować
świadczenie	świadczyć
szaleństwo	szaleć
szmer	szemrać
tkanina	tkać
twórczość	tworzyć
typ	typizować
tłumaczenie	tłumaczyć
uciecha	ucieszyć
uczucie	uczuć
udręka	udręczyć
umowa	umówić się
upadek	upaść
upoważnienie	upoważnić
urodziny	urodzić się
urzeczenie	urzec
ustępstwo	ustępować
uszkodzenie	uszkodzić
utrata	utracić
utrudzenie	utrudzić
uzasadnienie	uzasadnić
użytek	używać
walka	walczyć
waloryzacja	waloryzować
wegetacja	wegetować
wiązka	wiązać
widok	widzieć
widzenie	widzieć
wpis	wpisać
wpłata	wpłacić
wpływ	wpływać
wściekłość	wściekać
wspomnienie	wspomnieć
wyczerpanie	wyczerpać
wydanie	wydać
wydanie	wydać
wydatek	wydać
wyjście	wyjść
wymiana	wymienić się
wymysł	wymyślić
wypowiedź	wypowiedzieć
wyprawa	wyprawić
wypłata	wypłacić
wystąpienie	wystąpić
wytwór	wytworzyć
wzburzenie	wzburzać się
wzrost	wzrastać
wzruszenie	wzruszyć
zachowanie	zachować się
zachwyt	zachwycić się
zachwyt	zachwycić
zaciekawienie	zaciekawić
zadanie	zadać
żądanie	żądać
zadośćuczynienie	zadośćuczynić
zadumanie	zadumać się
zadziwienie	zadziwić
zadziwienie	zadziwić się
zadłużenie	zadłużyć się
zainteresowanie	zainteresować się
zainteresowanie	zainteresować
zalecenie	zalecić
zalecenie	zalecić
zamierzenie	zamierzyć
zamieszanie	zamieszać
zamówienie	zamówić
zamówienie	zamówić
zamyślenie	zamyślić się
zanieczyszczenie	zanieczyścić
zapał	zapalić
zapewnienie	zapewnić
zapis	zapisać
zapis	zapisać
zaprzeczenie	zaprzeczyć
zapłata	zapłacić
zarobek	zarobić
zaskoczenie	zaskoczyć
zatłoczenie	zatłoczyć
zażenowanie	zażenować
załamanie	załamać się
zbiór	zbierać
zbiór	zbierać
zdjęcie	zdjąć
zdumienie	zdumieć się
zdumienie	zdumieć
zdziwienie	zdziwić
zdziwienie	zdziwić się
zestaw	zestawić
zestawienie	zestawić
zestawienie	zestawić
zeznanie	zeznać
zjednoczenie	zjednoczyć
zmęczenie	męczyć
zmiana	zmieniać
zmiana	zmieniać
zmyślenie	zmyślić
znaczenie	znaczyć
zniecierpliwienie	zniecierpliwić się
zniewaga	znieważyć
znużenie	znużyć
zwątpienie	zwątpić
związek	związać
związek	związać
związek	związać
związek	związać
zwój	zwijać
zwrot	zwrócić
zwycięstwo	zwyciężyć
ładunek	ładować
łgarstwo	łgać
wyrwa	wyrwać
wykop	wykopać
zamieć	zamieść
spaliny	spalić
grzmot	grzmieć
zakażenie	zakażać
rzeźba	rzeźbić
stłoczenie	stłoczyć
stłoczenie	stłoczyć się
uzależnienie	uzależnić
wykaz	wykazywać
inicjacja	inicjować
połączenie	połączyć
gra	grać
zwycięstwo	zwyciężyć
narodziny	narodzić się
zaślubiny	zaślubić
zbiory	zbierać
grupa	grupować
oburzenie	oburzać
obrzydzenie	obrzydzić
cierpienie	cierpieć
znudzenie	znudzić
rozleniwienie	rozleniwić
zobojętnienie	zobojętnieć
uspokojenie	uspokoić
przejście	przejść
zniechęcenie	zniechęcić
przekłamanie	przekłamać
oszustwo	oszukać
powiedzenie	powiedzieć
podpowiedź	podpowiedzieć
podpowiedź	podpowiedzieć
przepis	przepisywać
podpis	podpisywać
znaczenie	znaczyć
znaczenie	znaczyć
przestroga	przestrzec
manipulacja	manipulować
parafa	parafować
wyrzekanie	wyrzekać
napomknięcie	napomknąć
dedykacja	dedykować
produkt	produkować
oszczędności	oszczędzać
obniżka	obniżyć
wzrost	wzrastać
oprocentowanie	oprocentować
zalesienie	zalesić
rozmieszczenie	rozmieścić
wiązanka	wiązać
podziałka	podzielić
ustalenie	ustalić
wnioskowanie	wnioskować
zgoda	zgodzić się
dekoncentracja	dekoncentrować
uczenie się	uczyć się
przepowiednia	przepowiadać
wydawnictwo	wydawać
pokrycie	pokryć
obmurowanie	obmurowywać
pozostałość	pozostać
korespondencja	korespondować
obramowanie	obramować
obramowanie	obramowywać
połączenie	połączyć
odkrycie	odkryć
animacja	animować
dośrodkowanie	dośrodkować
dowód	dowodzić
dym	dymić
ekscytacja	ekscytować
kategoryzacja	kategoryzować
klasa	klasyfikować
klasyfikacja	klasyfikować
komunikat	komunikować
mowa	mówić
odbicie	odbić
organizacja	organizować
podejrzenie	podejrzewać
polecenie	polecić
pomysł	pomyśleć
pozwolenie	pozwolić
pytanie	pytać
rozwiązanie	rozwiązać
rysunek	rysować się
sąd	sądzić
sformułowanie	sformułować
skrót	skrócić
składka	składać się
spadek	spadać
splot	splatać
splot	spleść
uczucie	uczuć
udręka	udręczyć
układ	układać
upadek	upaść
usposobienie	usposobić
wezwanie	wezwać
wskazówka	wskazywać
wymówka	wymawiać
zarobek	zarobić
zgoda	godzić
zgoda	zgodzić się
zgromadzenie	zgromadzić
znajomość	znać
organizacja	organizować
uzależnienie	uzależnić
agregat	agregować
blokada	blokować
blokada	blokować
bunt	buntować się
czyn	czynić
deformacja	deformować
gwałt	gwałcić
związek	związać
powiązanie	powiązać
kpina	kpić
lekceważenie	lekceważyć
możność	można
pieszczota	pieścić
ograniczenie	ograniczyć
pokrywa	pokryć
reakcja	reagować
reakcja	reagować
ujęcie	ująć
uniesienie	unieść
usiłowanie	usiłować
zamach	zamachnąć się
zamiana	zamieniać
zniekształcenie	zniekształcać
zniszczenie	zniszczyć
przetwór	przetwarzać
susz	suszyć
fortyfikacja	fortyfikować
nacięcie	naciąć
plątanina	plątać
uskok	uskoczyć
wybrzuszenie	wybrzuszyć się
zabudowanie	zabudować
nadużycie	nadużyć
ogłada	ogładzić
paraliż	paraliżować
pomówienie	pomówić
serw	serwować
usprawnienie	usprawnić
utylizacja	utylizować
kurcz	kurczyć się
oparzenie	oparzyć
omdlenie	omdleć
skurcz	skurczyć się
wylew	wylewać się
zwichnięcie	zwichnąć
uszkodzenie	uszkodzić się
bandaż	bandażować
tapicerka	tapicerować
zawój	zawijać
bluźnierstwo	bluźnić
bluźnierstwo	bluźnić
defraudacja	defraudować
deportacja	deportować
eksterminacja	eksterminować
grabież	grabić
atak	atakować
najazd	najechać
napad	napadać
podbój	podbić
przemyt	przemycać
bunt	buntować się
wyłudzenie	wyłudzić
włamanie	włamać się
włamanie	włamać się
zabór	zabrać
zastraszenie	zastraszyć
zemsta	zemścić się
zmowa	zmawiać się
przyłącze	przyłączać
przyłącze	przyłączyć
prowokacja	prowokować
mrożonka	mrozić
akompaniament	akompaniować
bełkot	bełkotać
buczenie	buczeć
śmiech	śmiać się
cykanie	cykać
dudnienie	dudnić
śmiech	śmiać się
krzątanina	krzątać się
pisk	piszczeć
ryk	ryczeć
ryk	ryczeć
stukot	stukać
świergot	świergotać
zawodzenie	zawodzić
przysposobienie	przysposobić
adaptacja	adaptować
adaptacja	adaptować się
modernizacja	modernizować
instalacja	instalować
odbudowa	odbudować
opatrunek	opatrywać
wypiek	wypiekać
dzianina	dziać
zawiniątko	zawinąć
zwitek	zwinąć
masaż	masować
składak	składać
składak	składać
składak	składać
pokwitowanie	pokwitować
meldunek	meldować
odbitka	odbić
wydruk	wydrukować
spływ	spływać
wystawa	wystawiać
odlew	odlewać
docinek	docinać
drwina	drwić
konsternacja	konsternować
otępienie	otępić
wzgarda	wzgardzić
pogarda	pogardzić
rozczarowanie	rozczarować
rozproszenie	rozproszyć
szyderstwo	szydzić
zaduma	zadumać się
żałoba	żałować
adopcja	adoptować
kapitulacja	kapitulować
powrót	powrócić
przyjazd	przyjechać
reklamacja	reklamować
rozwód	rozwieść się
abdykacja	abdykować
naleganie	nalegać
nawrócenie	nawrócić się
pomsta	pomścić
spoczynek	spoczywać
usprawiedliwienie	usprawiedliwić
zaręczyny	zaręczyć się
ekstrakt	ekstrahować
odłamek	odłamać
nagromadzenie	nagromadzić
promieniowanie	promieniować
wchłanianie	wchłaniać
wyciek	wyciekać
błyskawica	błyskać
zadrapanie	zadrapać
dystrybucja	dystrybuować
użycie	użyć
mobilizacja	mobilizować
napływ	napływać
przeróbka	przerobić
transfer	transferować
wypływ	wypływać
wypływ	wypływać
padlina	paść
wymiociny	wymiotować
marsz	maszerować
zgrupowanie	zgrupować
skupisko	skupić
gadanina	gadać
krzyżówka	krzyżować
zagrywka	zagrywać
inspiracja	inspirować
poświęcenie	poświęcić
wyrzeczenie	wyrzekać się
gra	grać
inscenizacja	inscenizować
kreacja	kreować
parodia	parodiować
podróbka	podrabiać
składanka	składać
transkrypcja	transkrybować
rzut	rzucić
postrzał	postrzelić
urywek	urywać
zwarcie	zewrzeć się
mutant	mutować
personifikacja	personifikować
rozszczepienie	rozszczepić się
korozja	korodować
ruch drgający	drgać
grymas	grymasić
klaśnięcie	klasnąć
klepnięcie	klepnąć
kopniak	kopnąć
kopnięcie	kopnąć
odrzut	odrzucić
podskok	podskoczyć
poryw	porwać
skrzyp	skrzypieć
szczebiot	szczebiotać
ukąszenie	ukąsić
ukłon	ukłonić się
wtargnięcie	wtargnąć
wytrysk	wytryskać
wyładowanie	wyładować się
zmarszczka	marszczyć
poprawka	poprawić
dociekanie	dociekać
domniemanie	domniemać
dziedziczenie	dziedziczyć
nowelizacja	nowelizować
oznaczenie	oznaczyć
rozplanowanie	rozplanować
specyfikacja	specyfikować
spostrzeżenie	spostrzegać
powtórzenie	powtórzyć się
rękojmia	ręczyć
rozbicie	rozbić
podział	podzielić
podział	dzielić
rozbudzenie	rozbudzić
streszczenie	streścić
transmisja	transmitować
osad	osadzać się
formalizacja	formalizować
komplikacja	komplikować
kooperacja	kooperować
odniesienie	odnieść
posądzenie	posądzić
przeciek	przeciekać
przeciek	przeciekać
przeciek	przeciekać
równouprawnienie	równouprawniać
spekulacja	spekulować
uogólnienie	uogólnić
utrudnienie	utrudniać
zaangażowanie	zaangażować
współżycie	współżyć
współistnienie	współistnieć
wpadka	wpaść
bankructwo	bankrutować
komputeryzacja	komputeryzować
konsolidacja	konsolidować
pogorszenie	pogarszać się
prywatyzacja	prywatyzować
przekształcanie	przekształcać
reorganizacja	reorganizować
udoskonalenie	udoskonalić
przebudowa	przebudować
przebudowa	przebudowywać
przeprowadzka	przeprowadzić się
rewaloryzacja	rewaloryzować
rozbudowa	rozbudować
wykończenie	wykończać
podłączenie	podłączyć
implementacja	implementować
idealizacja	idealizować
trawestacja	trawestować
nalewka	nalewać
demobilizacja	demobilizować
demobilizacja	demobilizować
mobilizacja	mobilizować
upojenie	upoić
zadurzenie	zadurzyć się
sraczka	srać
obszycie	obszywać
mrugnięcie	mrugnąć
bazgranina	bazgrać
obrzezanie	obrzezać
szczyny	szczać
liźnięcie	liznąć
zsyp	zsypać
zgięcie	zgiąć
obierka	obierać
dobudówka	dobudować
porażenie	porażać
zszywka	zszywać
fundacja	fundować
sprzymierzenie	sprzymierzyć
rozbłysk	rozbłyskać
rozbłysk	rozbłyskiwać
zwał	zwalić
ofiara	ofiarować
toczek	toczyć
identyfikacja	identyfikować się
wgląd	wglądnąć
wycena	wyceniać
wyliczenie	wyliczyć
nasłuch	nasłuchiwać
migotanie	migotać
spalenizna	spalić
zgnilizna	zgnić
refundacja	refundować
weryfikacja	weryfikować
aktywizacja	aktywizować
promocja	promować
zmniejszenie	zmniejszyć
ułatwienie	ułatwić
uproszczenie	uprościć
nawiązanie	nawiązać
zgłoszenie	zgłosić
złożenie	złożyć
akredytacja	akredytować
informatyzacja	informatyzować
konfiskata	konfiskować
namiar	namierzać
normalizacja	normalizować
odwodnienie	odwodnić się
reprywatyzacja	reprywatyzować
wykonawstwo	wykonywać
wymuszenie	wymusić
spalenizna	spalić
automatyzacja	automatyzować
destabilizacja	destabilizować
dodruk	dodrukować
kompromitacja	kompromitować
nadpłata	nadpłacić
powikłanie	powikłać
przecena	przecenić
przeoczenie	przeoczyć
przerób	przerobić
przerób	przerobić
przerzut	przerzucać
przyrost	przyrosnąć
przyrost	przyrastać
utożsamienie	utożsamić się
wyludnienie	wyludnić
wypaczenie	wypaczyć
zaabsorbowanie	zaabsorbować
zdyscyplinowanie	zdyscyplinować
zlecenie	zlecić
brednia	bredzić
dygnięcie	dygnąć
dźgnięcie	dźgnąć
hart	hartować
kiwnięcie	kiwnąć
muśnięcie	musnąć
pomieszanie	mieszać
przechył	przechylić
przeczucie	przeczuwać
przeprosiny	przeprosić
sapanie	sapać
stukanie	stukać
stłuczenie	stłuc
tupot	tupać
ukojenie	ukoić
warczenie	warczeć
wróżba	wróżyć
wyimek	wyjmować
wywijas	wywijać
zgrzyt	zgrzytać
łaskotki	łaskotać
donos	donosić
potknięcie	potknąć się
potknięcie	potknąć się
przelot	przelecieć
przepychanka	przepychać się
rozłąka	rozłączyć
zapisek	zapisać
zawirowanie	zawirować
motoryzacja	motoryzować
protekcja	protegować
rewanż	rewanżować się
liczba	liczyć
ruch	ruszać
meldunek	meldować
preparat	preparować
papier kredowy	kredować
kompozycja	komponować
przeszklenie	przeszklić
chrystianizacja	chrystianizować się
chrystianizacja	chrystianizować
dehumanizacja	dehumanizować
wydanie	wydać
industrializacja	industrializować
laicyzacja	laicyzować się
laicyzacja	laicyzować
zeświecczenie	zeświecczać
zeświecczenie	zeświecczać się
demonopolizacja	demonopolizować
sekularyzacja	sekularyzować się
sekularyzacja	sekularyzować
elektryfikacja	elektryfikować
tułaczka	tułać się
poniewierka	poniewierać się
wypędzenie	wypędzić
wysiedlenie	wysiedlić
wywózka	wywozić
artykulacja	artykułować
klerykalizacja	klerykalizować
klerykalizacja	klerykalizować się
zapatrywanie	zapatrywać się
skład	składać
napływ	napływać
kolonizacja	kolonizować
wyznanie	wyznawać
nadruk	nadrukować
świadectwo	świadczyć
stylizacja	stylizować
dialektyzacja	dialektyzować
archaizacja	archaizować
dramatyzacja	dramatyzować
stylizacja	stylizować
egzaltacja	egzaltować się
przesada	przesadzić
wycinanka	wycinać
wycinanka	wycinać
wyliczanka	wyliczać
