debiut	debiutować
doświadczenie	doświadczyć
drzemka	drzemać
dyskusja	dyskutować
eksplozja	eksplodować
inauguracja	inaugurować
obrady	obradować
próba	próbować
przygotowanie	przygotowywać
rada	radzić
rozmowa	rozmawiać
rozwój	rozwijać
rozwój	rozwijać
sąd	sądzić
tańce	tańczyć
wędrówka	wędrować
widzenie	widzieć
wyjazd	wyjechać
zebranie	zebrać
zjazd	zjechać się
pogrzeb	pogrzebać
przemowa	przemawiać
odpoczynek	odpoczywać
koniec	kończyć
namysł	namyślać się
konstrukcja	konstruować
wschody	wschodzić
zbiórka	zbierać
przesłuchanie	przesłuchiwać
eliminacje	eliminować
rozgrzewka	rozgrzać
biegunka	biegać
zaraza	zarażać
napad	napadać
porwanie	porwać
rozbój	rozbić
rozród	rozrodzić się
odbudowa	odbudowywać
pokaz	pokazać
spływ	spływać
ekspozycja	eksponować
żałoba	żałować
rozstanie	rozstawać się
flirt	flirtować
hołd	hołdować
koronacja	koronować
oświadczyny	oświadczać się
spalanie	spalać
wyprzedaż	wyprzedawać
deklamacja	deklamować
kremacja	kremować
odjazd	odjechać
odjazd	odjechać
czkawka	czkać
rozbiórka	rozbierać
rozbudowa	rozbudować
bierzmowanie	bierzmować
immatrykulacja	immatrykulować
konfirmacja	konfirmować
szmugiel	szmuglować
dochodzenie	dochodzić
demontaż	demontować
siew	siać
lament	lamentować
dyktando	dyktować
odsiadka	odsiadywać
siejba	siać
chowany	chować się
panowanie	panować
szturm	szturmować
zbiór	zbierać
studia	studiować
rozpoznanie	rozpoznawać
interwencja	interweniować
studia	studiować
celebra	celebrować
beatyfikacja	beatyfikować
kanonizacja	kanonizować
celebracja	celebrować
rewizyta	rewizytować
spiekota	spiekać
magiel	maglować
wykopki	wykopywać
hospitacja	hospitować
dobieg	dobiegać
trzebież	trzebić
ciąg	ciągnąć
siąpawica	siąpić
demonstracja	demonstrować
budowa	budować
pielgrzymka	pielgrzymować
objazd	objeżdżać
napad	napadać
start	startować
delegacja	delegować
koncelebracja	koncelebrować
przytulanka	przytulać się
stanówka	stanowić
chowaniec	chować się
polowanie	polować
konwersatorium	konwersować
powitanie	powitać
pożegnanie	pożegnać
powtórka	powtórzyć
naświetlenie	naświetlać
odwyk	odwykać
prezentacja	prezentować
tańcówka	tańczyć
podszywka	podszywać
rzucanka	rzucać
chapanka	chapać
dychawka	dychać
wybijanka	wybijać
bukowanie	bukować
bukowisko	bukować
odbijanka	odbijać
podchody	podchodzić
podchody	podchodzić
podchody	podchodzić
ubierka	urabiać
wybierka	wybierać
chowanka	chować się
badanie	badać
głosowanie	głosować
promocja	promować
przekwitanie	przekwitać
przejście	przejść
linienie	linieć
linka	linieć
pływanka	pływać
wab	wabić
ochlaj	chlać
spocznienie	spoczywać
wybudowa	wybudować
wiązanie	wiązać się
zakwaterowanie	zakwaterować
wejście	wchodzić
prezentacja	prezentować
zbiórka	zbierać
dożywocie	dożywać
sprawdzian	sprawdzać
