bolączka	boleć
brzmienie	brzmieć
brzmienie	brzmieć
deklaracja	deklarować
dojście	dojść
ekwipunek	ekwipować
hodowla	hodować
komunikacja	komunikować się
odmowa	odmówić
odrost	odrosnąć
operacja	operować
pochodzenie	pochodzić
przekaz	przekazać
sąd	sądzić
sędzia	sądzić
sprawdzian	sprawdzać
sprzeciw	sprzeciwiać się
studium	studiować
studium	studiować
stłuczka	stłuc
twórczość	tworzyć
uprawa	uprawiać
wykład	wykładać
wymowa	wymawiać
wyobraźnia	wyobrazić sobie
występ	występować
zapowiedź	zapowiedzieć
ulewa	lać
niepokój	niepokoić
nuda	nudzić się
dążność	dążyć
przełyk	przełykać
imitacja	imitować
nawyk	nawyknąć
deklaracja	deklarować
myślenie	myśleć
protest	protestować
ingerencja	ingerować
działalność	działać
łączność	łączyć
podszewka	podszyć
agitacja	agitować
cenzura	cenzurować
napad	napadać
przewóz	przewozić
płacz	płakać
doradztwo	doradzać
rehabilitacja	rehabilitować
demonstracja	demonstrować
manifestacja	manifestować
dezorientacja	dezorientować
przewodnictwo	przewodzić
przewodnictwo	przewodzić
separacja	separować
ewakuacja	ewakuować
kuracja	kurować
przepustka	przepuszczać
układanka	układać
dziedziczność	dziedziczyć
praca	pracować
wytrysk	wytryskiwać
przełożenie	przełożyć
zdzierstwo	zdzierać
konserwacja	konserwować
posłaniec	posłać
utrzymanie	utrzymać
certyfikacja	certyfikować
naprawa	naprawiać
poradnictwo	poradzić
wyburzenie	wyburzyć
przeciąg	przeciągać
wejrzenie	wejrzeć
kondensacja	kondensować
kondensacja	kondensować
szlif	szlifować
przejazd	przejeżdżać
garbarstwo	garbować
tkactwo	tkać
artykulacja	artykułować
wymowa	wymawiać
separacjonizm	separować
śmierdziel	śmierdzieć
rozdzielnictwo	rozdzielać
prenumerata	prenumerować
przekładnia	przekładać
odlewnictwo	odlewać
zbieractwo	zbierać
rozdzielność	rozdzielać
produkcja	produkować
kontrola	kontrolować
dogląd	doglądać
lakiernictwo	lakierować
powiernictwo	powierzać
sterylizacja	sterylizować
dezynfekcja	dezynfekować
czytanka	czytać
chłodziwo	chłodzić
prostytucja	prostytuować się
bałaganiarstwo	bałaganić
służba	służyć
łupiestwo	łupić
negocjacje	negocjować
pertraktacje	pertraktować
zapis	zapisać
topnik	topnieć
trawers	trawersować
wylewka	wylewać
podejście	podchodzić
kultywacja	kultywować
wytwórstwo	wytwarzać
wyrób	wyrabiać
konstatacja	konstatować
parkomat	parkować
uzurpatorstwo	uzurpować
wyliczenie	wyliczyć
dojnica	doić
niszczycielstwo	niszczyć
dziedzictwo	dziedziczyć
objazdówka	objeżdżać
blok	blokować
przedkuwka	kuć
orientacja	orientować
śmierdziuch	śmierdzieć
farbownik	farbować
wszczep	wszczepić
maskownica	maskować
maskownica	maskować
obsada	obsadzić
obsada	obsadzać
tester	testować
kontakt	kontaktować się
łączność	łączyć
zgrupowanie	zgrupować
spieka	spiekać
opalacz	opalać się
spływak	spływać
wyparownik	wyparowywać
łaziwo	łazić
sadzak	sadzić
gniazdówka	gniazdować
kiełkownik	kiełkować
ziębiwo	ziębić
ziębnik	ziębić
wsiadany	wsiadać
maskowanie	maskować
sadnik	sadzić
ekspozycja	eksponować
wsuwanka	wsuwać
dążenie	dążyć
zjazd	zjechać
zjazd	zjechać
powtórzenie	powtórzyć
transkrypcja	transkrybować
artykulacja	artykułować
przesył	przesyłać
wykluczenie	wykluczyć
polowiec	polować
maszer	maszerować
odniesienie	odnieść
czytanka	czytać
