kablować	kabel
katować	kat
panoszyć się	pan
panować	pan
sędziować	sędzia
szpiegować	szpieg
szpiegować	szpieg
pilotować	pilot
furmanić	furman
łobuzować	łobuz
chuliganić	chuligan
mędrkować	mędrek
filozofować	filozof
łazęgować	łazęga
kwokać	kwoka
kwoczyć	kwoka
adwokatować	adwokat
śnieżyć	śnieg
zachwaszczać	chwast
stróżować	stróż
bacować	baca
juhasować	juhas
lizusować	lizus
dziadować	dziad
dokumentować	dokument
dokumentować	dokument
dokumentować	dokument
dokumentować	dokument
dyrektorować	dyrektor
prezesować	prezes
gospodarować	gospodarz
gospodarzyć	gospodarz
gazdować	gazda
matkować	matka
ojcować	ojciec
patronować	patron
pilotować	pilot
ciceronować	cicerone
leserować	leser
cyganić	cygan
sędziować	sędzia
ambasadorować	ambasador
kucharzyć	kucharz
mecenasować	mecenas
mentorować	mentor
mentorować	mentor
kolegować się	kolega
kumplować się	kumpel
sługiwać	sługa
kibicować	kibic
leczyć	lek
tyranizować	tyran
pajacować	pajac
leniuchować	leniuch
mrozić	mróz
błaźnić się	błazen
świnić	świnia
rozgaszczać się	gość
szefować	szef
kurzyć się	kurz
sponsorować	sponsor
sponsorować	sponsor
łożyskować	łożysko
frajerować się	frajer
świntuszyć	świntuch
świntuszyć	świntuch
odwarstwiać	warstwa
