bagatelizować	bagatela
cechować	cecha
charakteryzować	charakter
gościć	gość
karmić	karma
nagrodzić	nagroda
prosić	prośba
świętować	święto
ustosunkować się	stosunek
wynaleźć	wynalazek
znamionować	znamię
żywić	żywność
dekorować	dekoracja
migotać	migotka
odrobaczać	robak
cielić się	cielę
kocić się	kocię
szczenić się	szczenię
źrebić się	źrebię
formować	forma
praktykować	praktyka religijna
pościć	post
imprezować	impreza
odparować	para
lukrować	lukier
smarować	smar
skwitować	kwit
flagować	flaga
kanalizować	kanalizacja
okablowywać	kabel
flancować	flanca
aromatyzować	aromat
sylabizować	sylaba
minować	mina
urlopować	urlop
narkotyzować się	narkotyk
kokainizować się	kokaina
morfinizować się	morfina
opiumować się	opium
awizować	awizo
awizować	awizo
wieczerzać	wieczerza
odczarowywać	czar
pokutować	pokuta
obrzeżać	brzeg
odśnieżać	śnieg
odśnieżyć	śnieg
odkorkowywać	korek
odkorkować	korek
doktoryzować	doktor
waloryzować	walor
wykorzeniać	korzeń
wzorować się	wzór
dokumentować	dokument
dokumentować	dokument
kosmopolityzować	kosmopolityzm
odgrzybiać	grzyb
odgruzowywać	gruz
odmulać	muł
odrdzewiać	rdza
odsiarczać	siarka
żyłować	żyła
rozpętywać	pęta
literować	litera
łatać	łata
brakować	brak
butelkować	butelka
paczkować	paczka
beczkować	beczka
kopertować	koperta
puszkować	puszka
plakatować	plakat
rozwłókniać	włókno
kolędować	kolęda
grypsować	gryps
przeładowywać	ładunek
darować	dar
radykalizować	radykalizm
faszyzować	faszyzm
taklować	takla
korować	kora
anarchizować	anarchizm
stylizować	styl
dialektyzować	dialekt
całkować	całka
chronologizować	chronologia
gatunkować	gatunek
złomować	złom
hazardować się	hazard
hazardować się	hazard
belkować	belka
akcentować	akcent
odszyfrowywać	szyfr
rozszyfrowywać	szyfr
rekrutować	rekrut
honorować	honorarium
uhonorować	honorarium
mydlić się	mydło
infekować	infekcja
dekodować	kod
klimatyzować	klimatyzacja
okablować	kabel
szklić	szkło
przeszklić	szkło
zagracić	grat
licencjonować	licencja
posilić	posiłek
kartkować	kartka
przemianowywać	miano
łupić się	łupina
policzkować	policzek
obłupać	łupina
odrobaczyć	robak
dziwować się	dziwo
osiować	oś
watować	wata
watować	wata
bieżnikować	bieżnik
słodować	słód
spoinować	spoina
metkować	metka
skalować	skala
skalować	skalar
odwarstwić	warstwa
sadzonkować	sadzonka
podminować	mina
śniadać	śniadanie
