magazynować	magazyn
składować	skład
spływać	spływ
ubierać	ubieralnia
zasadzić się	zasadzka
leżakować	leżak
gnieździć się	gniazdo
ściekać	ściek
plażować	plaża
melinować	melina
gospodarować	gospodarstwo
gruntować	grunt
okrętować	okręt
okrętować	okręt
okrętować	okręt
maglować	magiel
koszarować	koszary
koszarować	koszary
koszarzyć	koszara
obozować	obóz
campingować	camping
kempingować	kemping
gawrować	gawra
mentorować	mentor
sądzić się	sąd
dokować	dok
kserować	ksero
wodować	woda
orbitować	orbita
odłogować	odłóg
bazować	baza
dołować	dół
