argumentować	argument
dotować	dotacja
głosować	głos
główkować	główka
imitować	imitator
informować	informacja
komenderować	komenda
leczyć	lek
reklamować	reklama
rozumieć	rozum
subsydiować	subsydium
subwencjonować	subwencja
telefonować	telefon
ważyć	waga
wyrażać	wyraz
nazwać	nazwa
proponować	propozycja
przedłużać	przedłużacz
przekładać	przekładka
faszerować	farsz
żuć	żuwka
drukować	druk
biczować	bicz
betonować	beton
wytłaczać	wytłaczarka
wykreślać	kreska
błocić	błoto
paćkać	paćka
frezować	frez
praktykować	praktyka
harcować	harce
szpanować	szpan
ogrzewać	ogrzewacz
parować	para
marynować	marynata
przyprawiać	przyprawa
pieprzyć	pieprz
paprykować	papryka
zatrąbić	trąba
rozwadniać	woda
prasować	prasa
bombardować	bomba
żądlić	żądło
torpedować	torpeda
alkoholizować	alkohol
apreturować	apretura
napowietrzać	powietrze
batożyć	batog
wydziobywać	dziób
wydziobać	dziób
wydzióbywać	dziób
ilustrować	ilustracja
inkrustować	inkrustacja
intarsjować	intarsja
wieńczyć	wieniec
szminkować	szminka
pudrować	puder
różować	róż
zakrwawiać	krew
okrwawiać	krew
dziobać	dziób
dzióbać	dziób
dziobnąć	dziób
dzióbnąć	dziób
ujarzmić	jarzmo
spieniać	piana
farbować	farba
farbować	farba
zawoalować	woal
posrebrzać	srebro
srebrzyć	srebro
szabrować	szaber
kamerować	kamera
gipsować	gips
doklejać	klej
przyklejać	klej
dokleić	klej
przykleić	klej
wybrukować	bruk
przytraczać	trok
przytroczyć	trok
zadrzewiać	drzewo
korkować	korek
zatykać	zatyczka
zatkać	zatyczka
żwirować	żwir
zamulać	muł
kneblować	knebel
zakneblować	knebel
szpuntować	szpunt
czopować	czop
zaczopowywać	czop
zaczopować	czop
zaszpuntować	szpunt
śmiecić	śmieć
zaśmiecać	śmieć
metalizować	metal
woskować	wosk
brązować	brąz
chromować	chrom
cynkować	cynk
cynować	cyna
miedziować	miedź
mosiądzować	mosiądz
niklować	nikiel
platerować	plater
platynować	platyna
emaliować	emalia
glazurować	glazura
emaliować	emalia
lakować	lak
parafinować	parafina
parafinować	parafina
patynować	patyna
pokostować	pokost
politurować	politura
werniksować	werniks
deskować	deska
foliować	folia
laminować	laminat
fornirować	fornir
lastrykować	lastryko
