funkcjonować	funkcja
jeździć	jazda
kosztować	koszt
replikować	replika
wiedzieć	wiedza
zalecać	zaleta
drukować	druk
chrzcić	chrzest
przyjaźnić się	przyjaźń
ukierunkowywać	kierunek
dachować	dach
terminować	termin
lampartować się	lampart
defilować	defilada
uczulać	uczulenie
klękać	klęk
przyklękać	przyklęk
kucać	kucki
emocjonować	emocja
szmacić	szmata
zeszmacać	szmata
gnoić	gnój
beletryzować	beletrystyka
automatyzować	automat
komputeryzować	komputer
swingować	swing
kropić	kropla
apoteozować	apoteoza
triumfować	triumf
tryumfować	tryumf
wściec się	wścieklizna
obladzać	lód
obmurowywać	mur
fermentować	ferment
kapitalizować	kapitał
biedować	bieda
głodować	głód
wtajemniczać	tajemnica
korzenić się	korzeń
kropić	kropla
czulić się	czułość
politykować	polityka
narkotyzować	narkoza
boksować	boks
wczasować	wczasy
magnesować	magnes trwały
namagnesowywać	magnes trwały
rakowacieć	rak
głosować	głos
akcentować	akcent
homogenizować	homogenizacja
litować się	litość
historyzować	historia
odwadniać się	woda
zazdrościć	zazdrość
dziesiątkować	dziesiątka
dziesiątkować	dziesiątka
metabolizować	metabolizm
importować	import
rykoszetować	rykoszet
palikować	palik
pasjonować się	pasja
aspirować	aspiracja
legitymować	legityma
truchtać	trucht
lewicować	lewica
chrystianizować	chrystianizm
łykać	łyk
łykać	łyk
komunizować	komunizm
kłusować	kłus
cwałować	cwał
kłusować	kłus
zamglić się	mgła
dołować	dół
instytucjonalizować	instytucja
ukrwić	krew
walcować	walc
lotować	lot
psychologizować	psychologia
odwarstwić się	warstwa
odwarstwiać się	warstwa
