akcjonariusz	akcja
ambasador	ambasada
analityk	analiza
architekt	architektura
baron	baronat
bękart	bękarctwo
biolog	biologia
biznesmen	biznes
bliźniak	bliźniaczość
bombowiec	bomba
botanik	botanika
bramkarz	bramka
budowniczy	budowa
celebrans	celebra
cenzor	cenzura
chemik	chemia
darczyńca	dar
demaskator	demaskacja
depeszowiec	depesza
dobroczyńca	dobroczynność
doktor	doktorat
dostawca	dostawa
drobiarz	drób
drobiarz	drobiarstwo
drwal	drwa
dyletant	dyletanctwo
dyplomant	dyplom
dyplomata	dyplomacja
dyrektor	dyrektura
dziedzic	dziedzictwo
dziennikarz	dziennikarstwo
dłużnik	dług
egzorcysta	egzorcyzm
ekspert	ekspertyza
emeryt	emerytura
epizodysta	epizod
filantrop	filantropia
filozof	filozofia
finansista	finanse
genealog	genealogia
gestor	gestia
gołębiarz	gołąb
grafficiarz	graffiti
handlarz	handel
handlowiec	handel
hazardzista	hazard
heraldyk	heraldyka
heteroseksualista	heteroseksualizm
historiograf	historiografia
historyk	historia
historyk	historia
homoseksualista	homoseksualność
homoseksualista	homoseksualizm
hutnik	huta
hutnik	hutnictwo
ikonograf	ikona
indywidualista	indywidualizm
inspektor	inspekcja
instruktor	instruktaż
inwestor	inwestycja
językoznawca	językoznawstwo
karciarz	karty
kardynał	purpura
kaznodzieja	kazanie
kelner	kelnerstwo
kolejarz	kolej
kolekcjoner	kolekcja
kolporter	kolportaż
kombajnista	kombajn
komentator	komentarz
komunista	komunizm
koniarz	koń
konsument	konsumpcja
kontroler	kontrola
konwertyta	konwersja
koszykarz	koszykarstwo
koszykarz	koszykówka
kowal	kowalstwo
kręglarz	kręgle
kurator	kuratorium
lalkarz	lalka
laureat	laur
lewicowiec	lewica
licencjat	licencjat
licencjat	licencjat
lokator	lokal
mechanik	mechanika
mediewista	mediewistyka
miłośnik	miłośnictwo
motocyklista	motocykl
motorniczy	motor
motorowerzysta	motorower
muzealnik	muzealnictwo
muzealnik	muzeum
muzyk	muzyka
nadzorca	nadzór
naftowiec	naftownictwo
naftowiec	nafta
napastnik	napaść
narkoman	narkotyk
naukowiec	nauka
nałogowiec	nałóg
obrazoburca	obrazoburstwo
obywatel	obywatelstwo
ofiarodawca	ofiara
opiekun	opieka
optymista	optymizm
owczarz	owca
panna	panieństwo
pedagog	pedagogika
pensjonariusz	pensjonat
pełnomocnik	pełnomocnictwo
pieczarkarz	pieczarka
pielgrzym	pielgrzymka
pieśniarz	pieśń
piosenkarz	piosenka
piłkarz	piłka
planista	plan
plastyk	plastyka
plenerzysta	plener
podatnik	podatek
podróżnik	podróż
poeta	poezja
pokerzysta	poker
policjant	policja
pomocnik	pomoc
pomysłodawca	pomysł
pożyczkobiorca	pożyczka
pracodawca	praca
pracownik	praca
prawnik	prawo
producent	produkcja
prognosta	prognoza
projektant	projekt
prorok	proroctwo
prostytutka	prostytucja
przedsiębiorca	przedsiębiorstwo
przestępca	przestępstwo
psycholog	psychologia
ranczer	ranczo
realista	realizm
recenzent	recenzja
redaktor	redaktorstwo
rencista	renta
renowator	renowacja
restaurator	restauracja
robotnik	robota
rolnik	rola
rolnik	rolnictwo
rowerzysta	rower
rzeczoznawca	rzeczoznawstwo
rzemieślnik	rzemiosło
scenograf	scenografia
sekretarz	sekretariat
skoczek	skok
skrzydłowy	skrzydło
smakosz	smak
sojusznik	sojusz
solista	solo
spadkobierca	spadek
spirytysta	spirytyzm
sportowiec	sport
społecznik	społecznikostwo
sprawozdawca	sprawozdanie
sprzedawca	sprzedaż
strażnik	straż
szachista	szachy
szybowy	szyb
tancerz	taniec
tchórz	tchórzostwo
technik	technika
technik	technika
tragik	tragedia
transportowiec	transport
turysta	turystyka
udziałowiec	udział
urzędnik	urząd
warcabista	warcaby
weselnik	wesele
wierzyciel	wierzytelność
wnioskodawca	wniosek
wozak	wózek
wyborca	wybory
właściciel	własność
zabójca	zabójstwo
zaopatrzeniowiec	zaopatrzenie
żołnierz	żołnierstwo
żurnalista	żurnalistyka
żurnalista	żurnal
zwrotniczy	zwrotnica
zwycięzca	zwycięstwo
farmaceuta	farmacja
wykładowca	wykład
celnik	cło
pogranicznik	pogranicze
gimnazjalista	gimnazjum
podróżny	podróż
wolontariusz	wolontariat
fabrykant	fabryka
kościelny	kościół
bankier	bank
brodacz	broda
bezrobotny	bezrobocie
marynarz	marynarka
pracownik oświaty	oświata
najeźdźca	najazd
chirurg	chirurgia
kamerzysta	kamera
pracownik służby zdrowia	służba zdrowia
filmowiec	film
flisak	flis
flisak	flisactwo
gondolier	gondola
telewidz	telewizja
inicjator	inicjatywa
zbywca	zbyt
kredytodawca	kredyt
pesymista	pesymizm
rozwodnik	rozwód
chrześcijanin	chrześcijaństwo
protestant	protestantyzm
prawosławny	prawosławie
doktorant	doktorat
hobbysta	hobby
socjalista	socjalizm
alkoholik	alkohol
alkoholik	alkoholizm
lustrzanka	lustro
ogrodnik	ogród
ogrodnik	ogrodnictwo
listonosz	list
romantyk	romantyzm
racjonalista	racjonalizm
szczęściarz	szczęście
liberał	liberalizm
konserwatysta	konserwatyzm
futbolista	futbol
cenzor	cenzura
góral	góral
gość	gościna
gospodarz	gospodarka
kapłan	kapłaństwo
krytyk	krytyka
lokator	lokacja
lokator	lokacja
mecenas	mecenat
pedagog	pedagogika
protektor	protekcja
szkoleniowiec	szkolenie
twórca	twórczość
zawodnik	zawody
padlinożerca	padlina
ateista	ateizm
buddysta	buddyzm
autostopowicz	autostop
banita	banicja
barman	bar
bileter	bilet
biurokrata	biurokracja
biurokrata	biurokratyzm
buntownik	bunt
buntownik	bunt
czarownik	czary
czarnoksiężnik	czarnoksięstwo
czarodziej	czary
desperat	desperacja
dezerter	dezercja
diakon	diakonat
domownik	dom
dozorca	dozór
dziewica	dziewictwo
egoista	egoizm
farmer	farma
grabieżca	grabież
gwałciciel	gwałt
heretyk	herezja
heretyk	herezja
hochsztapler	hochsztaplerstwo
jasnowidz	jasnowidzenie
kpiarz	kpina
marzyciel	marzycielstwo
metodysta	metodyzm
młynarz	młyn
nawigator	nawigacja
nędzarz	nędza
nowicjusz	nowicjat
pochlebca	pochlebstwo
pokojówka	pokój
rabuś	rabunek
recepcjonista	recepcja
rozbójnik	rozbój
rozpustnik	rozpusta
samobójca	samobójstwo
sklepikarz	sklep
snob	snobizm
szantażysta	szantaż
szermierz	szermierka
szubrawiec	szubrawstwo
taksówkarz	taksówka
terrorysta	terror
wartownik	warta
wąsacz	wąsy
winowajca	wina
zbrodniarz	zbrodnia
zdrajca	zdrada
zwiadowca	zwiad
łucznik	łuk
łucznik	łucznictwo
łucznik	łuk
druh	drużyna
elektryk	elektryczność
geograf	geografia
imperialista	imperializm
piekarz	piekarnia
tasiemiec	tasiemczyca
agresor	agresja
akrobata	akrobatyka
alpinista	Alpy
anarchista	anarchia
anestezjolog	anestezjologia
antropolog	antropologia
aptekarz	apteka
archeolog	archeologia
artylerzysta	artyleria
astrolog	astrologia
astronom	astronomia
bankowiec	bankowość
bibliotekarz	biblioteka
bojownik	bój
bokser	boks
brązowy medalista	brązowy medal
budowlaniec	budowla
ciężarowiec	ciężar
debiutant	debiut
dekorator	dekoracja
dramaturg	dramat
dramaturg	dramaturgia
drogowiec	droga
duszpasterz	duszpasterstwo
duszpasterz	dusza
dzierżawca	dzierżawa
egzaminator	egzamin
egzekutor	egzekucja
egzekutor	egzekucja
egzekutor	egzekucja
ekolog	ekologia
ekolog	ekologia
elektronik	elektronika
emigrant	emigracja
eseista	esej
faszysta	faszyzm
felietonista	felieton
finalista	finał
fizyk	fizyka
fotograf	fotografia
garbarz	garbnik
genetyk	genetyka
geodeta	geodezja
geolog	geologia
gimnastyk	gimnastyka
ginekolog	ginekologia
grafik	grafika
hokeista	hokej
iluzjonista	iluzjonizm
imigrant	imigracja
informatyk	informatyka
informatyk	informacja
internista	interna
jubiler	jubilerstwo
kamieniarz	kamieniarstwo
kanclerz	kanclerstwo
kapitalista	kapitał
kasjer	kasa
kaskader	kaskaderstwo
klasyk	klasycyzm
kolarz	kolarstwo
kolonista	kolonia
kominiarz	komin
egzekutor	egzekucja
krwiodawca	krwiodawstwo
księgarz	książka
księgarz	księgarnia
lekkoatleta	lekkoatletyka
logik	logika
matematyk	matematyka
medalista	medal
mleczarz	mleko
montażysta	montaż
murarz	murarstwo
nacjonalista	nacjonalizm
narciarz	narta
narciarz	narciarstwo
negocjator	negocjacje
odkrywca	odkrycie
oferent	oferta
okulista	okulistyka
olimpijczyk	olimpiada
organista	organy
partyzant	partyzantka
pasjonat	pasja
pasjonat	pasja
patriota	patriotyzm
pediatra	pediatria
perkusista	perkusja
pianista	pianistyka
pianista	pianino
polonista	polski
polonista	polonistyka
powstaniec	powstanie
praktyk	praktyka
projektodawca	projekt
projektodawca	projekt
psychiatra	psychiatria
płetwonurek	płetwonurkowanie
rachmistrz	rachmistrzostwo
rebeliant	rebelia
referent	referat
reformator	reforma
rekordzista	rekord
repatriant	repatriacja
rewolucjonista	rewolucja
rewolwerowiec	rewolwer
rybak	ryba
rzeźbiarz	rzeźba
scenarzysta	scenariusz
sceptyk	sceptycyzm
sceptyk	sceptycyzm
selekcjoner	selekcja
siatkarz	siatkarstwo
siatkarz	siatkówka
skaut	skauting
ślusarz	ślusarstwo
socjolog	socjologia
spadochroniarz	spadochron
srebrny medalista	srebrny medal
stoczniowiec	stocznia
stolarz	stolarstwo
strateg	strategia
taktyk	taktyka
taktyk	taktyka
tenisista	tenis
tenor	tenor
terapeuta	terapia
trębacz	trąbka
treser	tresura
ustawodawca	ustawodawstwo
ustawodawca	ustawa
wędkarz	wędka
wędkarz	wędkarstwo
weterynarz	weterynaria
wioślarz	wiosło
wioślarz	wioślarstwo
wokalista	wokal
wspinacz	wspinaczka
wynalazca	wynalazek
wystawca	wystawa
zapaśnik	zapasy
żeglarz	żegluga
żużlowiec	żużel
złoty medalista	złoty medal
łyżwiarz	łyżwiarstwo
łyżwiarz	łyżwa
energetyk	energetyka
energetyk	energia
etyk	etyka
psychoterapeuta	psychoterapia
statystyk	statystyka
spadochroniarz	spadochron
organista	organy
moralista	moralizm
matematyk	matematyka
sprężarka	sprężanie
alt	alt
bas	bas
baryton	baryton
sopran	sopran
diagnostyk	diagnoza
diagnostyk	diagnostyka
docent	docentura
informator	informacja
abonent	abonament
abonent	abonament
detalista	detal
dystrybutor	dystrybucja
konkurent	konkury
kontrahent	kontrakt
korespondent	korespondencja
plantator	plantacja
świadczeniodawca	świadczenie
abstynent	abstynencja
agitator	agitacja
aliant	alians
dowcipniś	dowcip
dowcipniś	dowcip
ewangelista	Ewangelia
legat	legacja
monarchista	monarchizm
rasista	rasizm
regent	regencja
śmieciarz	śmieć
śmieciarz	śmieć
szowinista	szowinizm
szowinista	szowinizm
torys	toryzm
wczasowicz	wczasy
żałobnik	żałoba
szelma	szelmostwo
fechmistrz	fechty
inkasent	inkaso
metodyk	metodyka
przedszkolak	przedszkole
skarbnik	skarb
ministrant	ministrantura
bankrut	bankructwo
biograf	biografia
liryk	liryka
cieśla	ciesielka
cieśla	ciesiołka
garncarz	garncarstwo
instalator	instalacja
instalator	instalacja
krawiec	krawiectwo
kotlarz	kocioł
optyk	optyka
optyk	optyka
rzeźnik	rzeźnia
rzeźnik	rzeźnia
spawacz	spawalnictwo
szewc	szewstwo
szklarz	szkło
asceta	asceza
asceta	asceza
bukmacher	bukmacherstwo
bukmacher	bukmacherka
dokumentalista	dokument
dokumentalista	dokument
dokumentalista	dokumentalistyka
dokumentalista	dokumentalistyka
dokumentalista	dokument
kołodziej	kołodziejstwo
kołodziej	koło
mańkut	mańka
skrzypek	skrzypce
zegarmistrz	zegarmistrzostwo
zegarmistrz	zegar
tokarz	tokarka
beneficjent	beneficjum
beneficjent	beneficjum
gwarant	gwarancja
katalizator	kataliza
fryzjer	fryzura
szatniarz	szatnia
korepetytor	korepetycja
kreślarz	kreślarstwo
sędzia przysięgły	sąd przysięgłych
doktryner	doktryna
kobieciarz	kobieta
konformista	konformizm
perfekcjonista	perfekcja
piwosz	piwo
plotkarz	plotkarstwo
wyzyskiwacz	wyzysk
żniwiarz	żniwa
wagarowicz	wagary
kobziarz	kobza
spowiednik	spowiedź
ceramik	ceramika
ceramik	ceramika
kioskarz	kiosk
urlopowicz	urlop
transwestyta	transwestytyzm
dowcipas	dowcip
dowcipas	dowcip
akompaniator	akompaniament
brzuchomówca	brzuchomówstwo
dudziarz	dudy
gramatyk	gramatyka
gramatyk	gramatyka
humorysta	humor
humorysta	humoreska
kwiaciarz	kwiat
masochista	masochizm
metafizyk	metafizyka
szmugler	szmugiel
włókniarz	włókno
panikarz	panikarstwo
panikarz	panika
awanturnik	awantura
islamista	islamizm
islamista	islam
kryminalista	kryminał
nazista	nazizm
opozycjonista	opozycja
