amatorski	amator
ambitny	ambiciuch
amerykański	amerykańszczyzna
arogancki	arogant
autentyczny	autentyk
bezczelny	bezczel
bezdomny	bezdomny
bezrobotny	bezrobotny
biały	białko
biedny	biedny
biedny	biedniak
biedny	biedak
biegły	biegły
blady	bladziuch
blady	bledziuch
bogaty	bogacz
brudny	brudas
brutalny	brutal
brzydki	brzydota
brzydki	brzydactwo
brzydki	brzydal
budowlany	budowlanka
bury	burasek
bystry	bystrzak
chciwy	chciwiec
chętny	chętny
chory	chory
chytry	chytrus
cnotliwy	cnotliwiec
czerwony	czerwoniak
czerwony	czerwoniak
czerwony	czerwone
czysty	czyścioch
delikatny	delikatniś
dostojny	dostojnik
drobny	drobnostka
drobny	drobiazg
dyskretny	dyskretka
ekscentryczny	ekscentryk
elegancki	elegant
fachowy	fachowiec
fałszywy	fałszywka
genialny	geniusz
gorliwy	gorliwiec
gruby	gruby
gruby	grubas
grzeszny	grzesznik
głuchy	głuchy
głupi	głup
głupi	głuptak
głupi	głupol
głupi	głupi
głupi	głupiec
głupi	głupek
idealny	ideał
jedyny	jedyne
jedyny	jedynak
kaleki	kaleka
kochany	kochanie
kochany	kochany
kochany	kochanek
konieczny	konieczność
krzywy	krzywulec
krzywy	krzywizna
laicki	laik
lekkoduszny	lekkoduch
lekkomyślny	lekkomyślnik
leniwy	leniwiec
leniwy	leń
letni	letnisko
letni	letnisko
letni	letniak
lichy	lichota
lokalny	lokalizm
mądry	mędrzec
mądry	mędrek
mądry	mądrala
maleńki	maleństwo
martwy	martwy
martwy	martwiak
małoletni	małolat
melancholijny	melancholik
milczący	milczek
miły	miły
modry	modraszek
możliwy	możliwość
możny	możny
młody	młodzi
młody	młódka
młody	młódka
młody	młodziak
młody	młodzik
młody	młode
młody	młodzieniec
młody	młodzieniaszek
młody	młodziak
młody	młodzik
młodzieżowy	młodzieżówka
nabożny	nabożniś
naczelny	naczelnik
naczelny	naczelny
naczelny	naczelnik
nadprogramowy	nadprogram
nadrzędny	nadrzędnik
naiwny	naiwniak
najdroższy	najdroższy
należny	należność
niegodziwy	niegodziwiec
nienormalny	nienormalny
niepełnosprawny	niepełnosprawny
nieprawdopodobny	nieprawdopodobieństwo
nieruchomy	nieruchomość
niesprawiedliwy	niesprawiedliwość
niestosowny	niestosowność
nieszczęśliwy	nieszczęśliwiec
niesłyszący	niesłyszący
niewidomy	niewidomy
nieznajomy	nieznajomy
niezręczny	niezręczność
nikczemny	nikczemnik
nudny	nudziarstwo
obłąkany	obłąkany
obłąkany	obłąkaniec
obłudny	obłudnik
oczywisty	oczywistość
odludny	odludzie
odważny	odważniak
okrutny	okrutnik
olbrzymi	olbrzym
opieszały	opieszalec
pełnoletni	pełnoletni
piękny	piękniś
piękny	pięknostka
piękny	piękność
piękny	piękność
pijany	pijanica
pijany	pijany
pobożny	pobożniś
poczciwy	poczciwiec
poczciwy	poczciwina
poprzeczny	poprzeczka
potoczny	potocyzm
pozostały	pozostałość
profesjonalny	profesjonalista
profesjonalny	profesjonalista
prymitywny	prymityw
prymitywny	prymityw
prywatny	prywatniak
prywatny	prywatka
przeciwny	przeciwnik
przeszły	przeszłość
przystojny	przystojniak
pyszałkowaty	pyszałek
pyszny	pyszałek
płowy	płowizna
radykalny	radykał
równy	równiak
równy	równiacha
rudy	rudzielec
rzeczywisty	rzeczywistość
samochodowy	samochodówka
samochodowy	samochodowiec
samotny	samotnik
sceptyczny	sceptyk
sentymentalny	sentymentalista
ślepy	ślepak
ślepy	ślepy
ślepy	ślepiec
śliczny	ślicznotka
śmiały	śmiałek
specjalny	specjał
sprytny	spryciarz
średni	średniak
stromy	stromość
stromy	stromizna
suwerenny	suweren
świecki	świecki
szary	szarak
szklany	szklanka
tępy	tępak
trzeźwy	trzeźwy
tłusty	tłuścioch
ubogi	ubogi
uczciwy	uczciwość
uczony	uczony
ukochany	ukochanie
ulubiony	ulubieniec
umarły	umarły
umarły	umarlak
uparty	uparciuch
uparty	uparciuch
ustronny	ustroń
wiarołomny	wiarołomca
wielmożny	wielmoża
wrogi	wróg
wrogi	wróg
wulgarny	wulgaryzm
wybrany	wybranek
wypukły	wypuklina
wypukły	wypukłość
wytworny	wytworniś
zagraniczny	zagranicznik
zagraniczny	zagraniczniak
zapalony	zapaleniec
zarozumiały	zarozumialec
zasłużony	zasłużony
zawodowy	zawodowiec
zawodowy	zawodowiec
zazdrosny	zazdrośnik
zdrowy	zdrowy
zielony	zielone
zielony	zielenina
zmarły	zmarły
żółty	żółcień
żółty	żółcień
zuchwały	zuchwalec
złoty	złotości
łaskawy	łaskawca
łasy	łasuch
łysy	łysek
łysy	łysol
łysy	łysielec
łysy	łysy
kary	kary
kary	karosz
gniady	gniadosz
gniady	gniady
niecierpliwy	niecierpliwiec
tchórzliwy	tchórz
rozrzutny	rozrzutnik
kwaśny	kwaśnica
kwaśny	kwas
niedbały	niedbaluch
niewdzięczny	niewdzięcznik
ciekawski	ciekawski
zgryźliwy	zgryźliwiec
akademicki	akademickość
biedny	biedak
ciekawy	ciekawiec
ciekawy	ciekawy
ciemny	ciemnota
ciemny	ciemnogród
cienki	cienkusz
czarny	czarny
czarnoskóry	czarnoskóry
czerwony	czerwony
doskonały	doskonałość
drobny	drobne
drobny	drobniak
drobny	drobnica
drobny	drobnica
drogi	drogi
dziki	dzicz
dziki	dzikus
dziki	dziki
dziki	dzikus
ślamazarny	ślamazara
niefachowy	niefachowiec
fałszywy	fałszywiec
gładki	gładysz
hałaśliwy	hałaśnik
goły	golec
goły	golas
jałowy	jałownik
jałowy	jałowizna
jałowy	jałoszka
jałowy	jałówka
kolorowy	kolorówka
lewy	lewus
mały	mały
mały	malec
mały	maluch
absolutny	absolutność
chudy	chudzina
chudy	chudziak
chudy	chudeusz
chudy	chudy
chudy	chudzielec
chytry	chytrus
chłodny	chłodnik
ciemny	ciemnik
ciemny	ciemnia
czarny	czarnuch
czarny	czarny
dorosły	dorosły
dziwny	dziwak
dziwny	dziw
dziwny	dziwadło
dziwny	dziwoląg
gęsty	gęste
gnuśny	gnuśnik
gwałtowny	gwałtownik
jedyny	jedyny
konserwatywny	konserwatysta
kosztowny	kosztowności
lewicowy	lewicowiec
miejscowy	miejscowy
miękki	mięczak
miękki	mięczak
możliwy	możliwość
nagi	nagus
nędzny	nędznik
nieprofesjonalny	nieprofesjonalista
nieszczęśliwy	nieszczęście
niezmienny	niezmiennik
niezmienny	niezmiennik
obiektywny	obiektywista
ohydny	ohydztwo
okropny	okropność
okropny	okropieństwo
osobliwy	osobliwość
podejrzany	podejrzany
podły	podłota
podły	podlec
poprzedni	poprzednik
porządny	porządnicki
porządny	porządniś
pospolity	pospolitak
prosty	prosta
pyszny	pyszności
pyszny	pychota
sam	samotnik
silny	siłacz
skąpy	skąpiarz
skąpy	skąpiec
skąpy	skąpiradło
smaczny	smaczności
smakowity	smakowitość
straszny	straszność
surowy	surówka
światowy	światowiec
święty	święty
szalony	szaleniec
sławny	sława
tani	tanizna
tani	taniocha
