agentka	agent
aktorka	aktor
artystka	artysta
arystokratka	arystokrata
bliźniaczka	bliźniak
chrześniaczka	chrześniak
gospodyni	gospodarz
jedynaczka	jedynak
kapłanka	kapłan
koleżanka	kolega
kompozytorka	kompozytor
kotka	kot
krewna	krewny
królowa	król
księżna	książę
kumpela	kumpel
malarka	malarz
monarchini	monarcha
nauczycielka	nauczyciel
pani	pan
pasierbica	pasierb
pielęgniarka	pielęgniarz
piosenkarka	piosenkarz
pisarka	pisarz
pomysłodawczyni	pomysłodawca
posłanka	poseł
projektantka	projektant
przyjaciółka	przyjaciel
reprezentantka	reprezentant
robotnica	robotnik
scenografka	scenograf
śpiewaczka	śpiewak
starucha	staruch
statystka	statysta
służąca	służący
twórczyni	twórca
uczestniczka	uczestnik
wykonawczyni	wykonawca
władczyni	władca
zawodniczka	zawodnik
znajoma	znajomy
kocica	kot
blondynka	blondyn
plastyczka	plastyk
staruszka	staruszek
emerytka	emeryt
rozwódka	rozwodnik
wdowa	wdowiec
partnerka	partner
kochanka	kochanek
partnerka	partner
zakonnica	zakonnik
dyrektorka	dyrektor
koszykarka	koszykarz
sąsiadka	sąsiad
sekretarka	sekretarz
autorka	autor
modelka	model
pani	pan
zawodniczka	zawodnik
Angielka	Anglik
bogini	bóg
bohaterka	bohater
bohaterka	bohater
bratanica	brataniec
bratanica	bratanek
brunetka	brunet
czarownica	czarownik
dziedziczka	dziedzic
dziedziczka	dziedzic
guwernantka	guwerner
kelnerka	kelner
kucharka	kucharz
lwica	lew
mieszkanka	mieszkaniec
nastolatka	nastolatek
opiekunka	opiekun
pacjentka	pacjent
pasażerka	pasażer
pomocnica	pomocnik
siostrzenica	siostrzeniec
sprzątaczka	sprzątacz
sprzedawczyni	sprzedawca
stewardesa	steward
szwagierka	szwagier
wnuczka	wnuk
wnuczka	wnuczek
kwiaciarka	kwiaciarz
absolwentka	absolwent
Amerykanka	Amerykanin
barmanka	barman
juniorka	junior
kandydatka	kandydat
krakowianka	krakowianin
laureatka	laureat
mistrzyni	mistrz
młodziczka	młodzik
poetka	poeta
pracownica	pracownik
przedstawicielka	przedstawiciel
redaktor naczelny	redaktor naczelna
rywalka	rywal
starosądeczanka	starosądeczanin
siatkarka	siatkarz
studentka	student
szefowa	szef
tancerka	tancerz
tenisistka	tenisista
uczennica	uczeń
właścicielka	właściciel
markiza	markiz
seniorka	senior
seniorka	senior
wychowanka	wychowanek
