babcia	babka
bajeczka	bajka
bożek	bóg
braciszek	brat
bramka	brama
buźka	buzia
chętka	chęć
chorągiewka	chorągiew
chwileczka	chwila
chwilka	chwila
ciocia	ciotka
cioteczka	ciotka
ciotuchna	ciotka
ciotunia	ciotka
córcia	córka
córeczka	córka
córeńka	córeczka
córuchna	córka
domek	dom
dróżka	droga
druczek	druk
dworek	dwór
dziadek	dziad
dziadunio	dziadek
dziadzio	dziadziuś
dzieciątko	dziecię
dziecina	dziecko
dziecinka	dziecina
dziewczynka	dziewczyna
garstka	garść
główka	głowa
kanalik	kanał
kanałek	kanał
kapelutek	kapelusz
karteluszek	kartka
kawiarenka	kawiarnia
kieliszek	kielich
klatka	klatka
kmiotek	kmiot
kolejka	kolej
koleżka	kolega
komórka	komora
kosteczka	kostka
kostka	kość
kółko	koło
kółko	koło
kruszynka	kruszyna
książeczka	książka
kulka	kula
magazynek	magazyn
maluszek	maluch
mamusia	mama
mateczka	matka
matula	matka
miasteczko	miasto
mikrusek	mikrus
minutka	minuta
młodzieniaszek	młodzieniec
obrazek	obraz
odrobinka	odrobina
ogródek	ogród
okienko	okno
paciorek	pacierz
palik	pal
pasek	pas
pałka	pała
pioseneczka	piosenka
piosenka	pieśń
plamka	plama
poletko	pole
porcięta	portki
próbka	próba
pyszczek	pysk
płytka	płyta
ścianka	ściana
ścieżynka	ścieżyna
sekundka	sekunda
siatka	sieć
składzik	skład
stryjenka	stryjna
sumka	suma
supełek	supeł
słabostka	słabość
uliczka	ulica
walizka	waliza
węzełek	węzeł
wózek	wóz
wstążka	wstęga
wujenka	wujna
alejka	aleja
dołek	dół
domek	dom
kościółek	kościół
szafka	szafa
obłoczek	obłok
skierka	skra
płomyk	płomień
wietrzyk	wiatr
zefirek	zefir
konik	koń
kucyk	kuc
kociątko	kocię
cielaczek	cielak
schodki	schody
chmurka	chmura
deszczyk	deszcz
bródka	broda
brzuszek	brzuch
ciałko	ciało
czółko	czoło
łapka	łapa
rączka	ręka
gardziołko	gardło
szyjka	szyja
kolanko	kolano
języczek	język
kupka	kupa
gówienko	gówno
nóżka	noga
nóżka	noga
nożyna	noga
łepek	łeb
dzióbek	dziób
liczko	lico
ząbek	ząb
brzusio	brzuch
serduszko	serce
papierek	papier
powiedzonko	powiedzenie
opowiadanko	opowiadanie
pogaduszka	pogaducha
piłka	piła
kołnierzyk	kołnierz
nóżka	noga
młotek	młot
widelczyk	widelec
kółko	koło
bryłka	bryła
grudka	gruda
cząsteczka	cząstka
kawałeczek	kawałek
kawalątek	kawałek
lufka	lufa
kropelka	kropla
numerek	numer
pęczek	pęk
pętelka	pętla
miniaturka	miniatura
koszyk	kosz
odpadek	odpad
beczułka	beczka
karteczka	kartka
sznurek	sznur
kozaczek	kozak
dziurka	dziura
otworek	otwór
kosteczka	kostka
kostka	kość
kółko	koło
książka	księga
okienko	okno
opowiastka	opowieść
panienka	panna
płytka	płyta
siatka	sieć
słupek	słup
autko	auto
grzybek	grzyb
mączka	mąka
marchewka	marchew
marchewka	marchew
drzewko	drzewo
gałązka	gałąź
kwiatek	kwiat
kwiatek	kwiat
babka	baba
babka	baba
blondynek	blondyn
krasnoludek	krasnal
dziwka	dziwa
grupka	grupa
tatuś	tata
tatuś	tato
wnuczek	wnuk
chatka	chata
hotelik	hotel
kącik	kąt
kapliczka	kaplica
lasek	las
mieszkanko	mieszkanie
mostek	most
polanka	polana
skałka	skała
strumyk	strumień
wieżyczka	wieża
gwiazdka	gwiazda
gwiazdka	gwiazda
papużka	papuga
rybka	ryba
świnka	świnia
chusteczka	chustka
chustka	chusta
tasiemka	taśma
torebka	torba
płaszczyk	płaszcz
serwetka	serweta
cebulka	cebula
kamyk	kamień
gołąbek	gołąb
haczyk	hak
klocek	kloc
nożyczki	nożyce
paczuszka	paczka
poduszeczka	poduszka
woreczek	worek
łóżeczko	łóżko
kołowrotek	kołowrót
bransoletka	bransoleta
drucik	drut
pierścionek	pierścień
rurka	rura
kalendarzyk	kalendarz
