bochenek	bochen
piesek|piesio	pies
kabłączek	kabłąk|pałąk
pięterko	piętro
bagienko	bagno|bajoro|bagnisko|trzęsawisko|grzęzawisko|moczary|mokradło|błoto|rojst|błotnisko|topiel|topielisko
bajorko	bagno|bajoro|bagnisko|trzęsawisko|grzęzawisko|moczary|mokradło|błoto|rojst|błotnisko|topiel|topielisko
dolinka	dolina
kotlinka	kotlina
kątek|kącik	kąt|róg
anegdotka|dykteryjka	anegdota|opowiastka
broszurka	broszura
broszurka	broszura
bilecik	bilet
filmik	film|obraz
kotlecik	kotlet
ozorek	ozór|jęzor
placuszek	ciasto
placuszek	placek
mapka	mapa
muzyczka	muzyka
nowelka	nowela
pisemko	czasopismo|periodyk|pismo
torcik	tort
ziemniaczek|kartofelek|pyrka	ziemniak|psianka ziemniak|kartofel
zupka	zupa
ramka	rama
pudelek	pudel
brzeżek	krawędź|brzeg
maseczka	maska
psinka	psina
psiaczek	psiak
maseczka	maska
olszynka	ols|oles|olszyna
rabatka	rabata
budyneczek	budynek
knajpka	bar
kraik	teren|krajobraz|okolica|strony
kramik	kram|stragan
pelerynka|narzutka	peleryna
firaneczka	firanka|firana
garnirunek|garnirowanie	garnitur
kocyk|pledzik	koc|pled
kołderka	kołdra
krawacik	krawat|krawatka
krawacik	krawat
kubraczek	kaftan
mufka	mufa
onucka	onuca
pończoszka	pończocha
sandałek	sandał
serdaczek	serdak
sukieneczka	sukienka
skórka	skóra
