wieśniak|wsiowy	wieś|wioska
góral	góry
proboszcz|pleban	plebania|probostwo|proboszczówka
stróż	stróżówka
Afrykańczyk|Afrykanin	Afryka|Czarny Ląd
Azjata	Azja
Chińczyk	Chiny|Chińska Republika Ludowa
Egipcjanin	Egipt|Arabska Republika Egiptu
Europejczyk	Europa|stary kontynent|kontynent
Amerykanin|Jankes|jankes	USA|Ameryka|Stany Zjednoczone|Stany
Anglik	Anglia
Irlandczyk	Irlandia|Republika Irlandii
Szkot	Szkocja
dozorca	dozorcówka
kanonik	kanonia
miastowy	miasto|gród
pastor	pastorówka
Rosjanin	Rosja|Federacja Rosyjska
Włoch	Włochy|Italia|Republika Włoska
Rzymianin|starożytny Rzymianin	Rzym|Cesarstwo Rzymskie
wikary|wikariusz	wikariat|wikarówka
Brytyjczyk|wyspiarz	Wielka Brytania|Anglia|Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej|Korona Brytyjska
Hiszpan	Hiszpania|Iberia|Królestwo Hiszpanii
krakowianin|krakowiak	Kraków
Rumun	Rumunia
starosądeczanin	Stary Sącz
Szwajcar	Szwajcaria|Konfederacja Szwajcarska
Ukrainiec	Ukraina
wadowiczanin	Wadowice
Wietnamczyk	Wietnam|Socjalistyczna Republika Wietnamu
organista|dławiduda	organistówka
Libijczyk	Libia|Wielka Arabska Libijska Dżamahirijja Ludowo-Socjalistyczna|Państwo Libia
wyspiarz	wyspa
Austriak|Rakuszanin	Austria|Republika Austrii
Belg	Belgia|Królestwo Belgii
Czech|Pepik|Pepiczek|pepik|pepiczek	Czechy|Bohemia|Republika Czeska
Fin	Finlandia|Republika Finlandii
Francuz	Francja|Republika Francuska
Irakijczyk	Irak|Republika Iraku
Litwin|Budrys	Litwa|Republika Litewska
Niemiec|Niemiaszek|niemiaszek	Niemcy|Republika Federalna Niemiec|RFN
Polak	Polska|kraj nad Wisłą|Polonia|Rzeczpospolita
Szwed	Szwecja|Królestwo Szwecji
Słowak	Słowacja|Republika Słowacka
Bask	Baskonia
Ziemianin	Ziemia|kula ziemska|niebieska planeta|świat|trzecia planeta od Słońca|glob|padół|błękitna planeta
niebianin	raj|niebo|niebiosy|niebiosa
leśnik|leśniczy	leśniczówka
Australijczyk	Australia
blokers|blockers	blokowisko
Marsjanin	Mars
Wenusjanin	Wenus
południowiec	południe
Dalmatyńczyk	Dalmacja
Chorwat	Chorwacja|Republika Chorwacji
