desperacja	desperować
dodawanie	dodawać
eksperyment	eksperymentować
gust	gustować
mutacja	mutować
nienawiść	nienawidzić
osiedlenie się	osiedlić się
osłuchiwanie	osłuchiwać
ożenek	ożenić się
przegląd	przeglądać
rozdzielenie	rozdzielić
rozpacz	rozpaczać
rywalizacja	rywalizować
segregacja	segregować
umieszczanie	umieszczać
współzawodnictwo	współzawodniczyć
wzrost	wzrastać
zamążpójście	pójść za mąż
zgromadzenie	zgromadzić
zróżnicowanie	zróżnicować
błysk	błyszczeć
poczęstunek	poczęstować
rozdrażnienie	rozdrażniać
romans	romansować
zakończenie	zakończyć
diagnoza	diagnozować
dezinformowanie	dezinformować
rekomendacja	rekomendować
argumentacja	argumentować
słuchanie	słuchać
badanie	badać
konstrukcja	konstruować
mowa	mówić
mowa	mówić
eksmisja	eksmitować
eksport	eksportować
formułowanie	formułować
konsultacja	konsultować
konsumpcja	konsumować
odrzucenie	odrzucić
oglądanie	oglądać
palenie	palić
amortyzacja	amortyzować
ocieplenie	ocieplić
racjonalizacja	racjonalizować
racjonalizacja	racjonalizować
zatrucie	zatruć
rozstrój	rozstroić
rozstrój	rozstroić
amputacja	amputować
wylew	wylewać
dewastacja	dewastować
dyskryminacja	dyskryminować
spowodowanie śmierci	spowodować śmierć
napaść	napaść
granie	grać
paplanina	paplać
rehabilitacja	rehabilitować
dokończenie	dokończyć
mus	musieć
kwesta	kwestować
kapitulacja	kapitulować
adoracja	adorować
chrzest	chrzcić
zaloty	zalecać się
pochówek	pochować
użytkowanie	użytkować
magazynowanie	magazynować
najem	nająć
odbiór	odbierać
odbiór	odbierać
odpływ	odpływać
przejmowanie	przejmować
znakowanie	znakować
ubój	ubić
czuwanie	czuwać
mediacja	mediować
reanimacja	reanimować
blef	blefować
konspiracja	konspirować
naśladownictwo	naśladować
posłuch	słuchać
egzorcyzm	egzorcyzmować
centra	centrować
kontratak	kontratakować
nokaut	nokautować
przeszczep	przeszczepiać
doping	dopingować
mruczenie	mruczeć
odrzut	odrzucić
pchnięcie	pchnąć
dedukcja	dedukować
ułaskawienie	ułaskawić
transmisja	transmitować
rozróżnienie	rozróżnić
zespolenie	zespolić
współżycie	współżyć
centralizacja	centralizować
oddzielenie	oddzielić
podporządkowanie	podporządkować
restrukturyzacja	restrukturyzować
rozgraniczenie	rozgraniczyć
unifikacja	unifikować
rekultywacja	rekultywować
rewaloryzacja	rewaloryzować
wynajem	wynająć
egzekwowanie	egzekwować
implementacja	implementować
chałtura	chałturzyć
trawestacja	trawestować
irygacja	irygować
mobilizacja	mobilizować
upojenie	upoić
biadanie	biadać
konfirmacja	konfirmować
dyszenie	dyszeć
lob	lobować
orka	orać
realizacja	realizować
uzyskiwanie	uzyskiwać
popieranie	popierać
zatrzymanie	zatrzymać się
ratyfikacja	ratyfikować
ukończenie	ukończyć
umorzenie	umorzyć
uzyskanie	uzyskać
zawarcie	zawrzeć
homologacja	homologować
legalizacja	legalizować
obserwowanie	obserwować
obserwowanie	obserwować
resocjalizacja	resocjalizować
stawianie	stawiać
utrudnianie	utrudniać
emisja	emitować
pożarcie	pożreć
przekupstwo	przekupić
upolitycznienie	upolitycznić
miauk	miauczeć
przebudzenie	przebudzać
przebłysk	przebłyskiwać
przechył	przechylić się
szarża	szarżować
szturchnięcie	szturchnąć
żonglerka	żonglować
desant	desantować się
desant	desantować
dializa	dializować
pacyfikacja	pacyfikować
zaczyn	zaczynać
legitymacja	legitymować
germanizacja	germanizować
hellenizacja	hellenizować
instytucjonalizacja	instytucjonalizować
parcelacja	parcelować
polonizacja	polonizować
absolutyzacja	absolutyzować
rusyfikacja	rusyfikować
zeświecczenie	zeświecczać się
charakteryzacja	charakteryzować
gestykulacja	gestykulować
fundacja	fundować
ujednolicanie	ujednolicać
sprzysiężenie	sprzysięgać się
wytłumianie	wytłumiać
przytłumianie	przytłumiać
wytłumianie	wytłumiać
wytłumianie	wytłumiać
poskramianie	poskramiać
przedruk	przedrukować
dezintegracja	dezintegrować
autoryzacja	autoryzować
afirmacja	afirmować
alokacja	alokować
kolporterstwo	kolportować
restauracja	restaurować
legalizacja	legalizować
akredytacja	akredytować
limita	limitować
limitacja	limitować
podnajem	podnająć
świdrowanie	świdrować
trwożliwość	trwożyć się
kolczykowanie	kolczykować
skraplanie się	skraplać się
rysowanie	rysować
gościna	gościć
gościna	gościć
deliberacja	deliberować
pobłażanie	pobłażać
przekomarzanie	przekomarzać się
preparacja	preparować
korespondencja	korespondować
taksacja	taksować
zrujnowanie	zrujnować
rewalidacja	rewalidować
produkowanie	produkować
intonacja	intonować
afiliacja	afiliować
atestacja	atestować
przekład	przekładać
indoktrynacja	indoktrynować
fluoryzacja	fluoryzować
galwanizacja	galwanizować
transplantacja	transplantować
trepanacja	trepanować
wszczepienie	wszczepiać
implantacja	implantować
asenizacja	asenizować
deratyzacja	deratyzować
odszczurzanie	odszczurzać
dezynsekcja	dezynsekować
lewitacja	lewitować
ablaktacja	ablaktować
praktyka	praktykować
aplikacja	aplikować
skrobaczka	skrobać
dezaktywizacja	dezaktywizować
detronizacja	detronizować
podryw	podrywać
asekuracja	asekurować
zespolenie	zespolić
urobek	urobić
szacowanie	szacować
ściągnięcie	ściągnąć
podpałka	podpalić
rozpałka	rozpalać
latynizacja	latynizować
ubóstwienie	ubóstwiać
indukcja	indukować
nobilitacja	nobilitować
chłosta	chłostać
docisk	dociskać
regulacja	regulować
regulacja	regulować
szabrownictwo	szabrować
cenzura	cenzurować
rejestracja	rejestrować
transkrypcja	transkrybować
immatrykulacja	immatrykulować
konsekracja	konsekrować
konsekracja	konsekrować
krystalizacja	krystalizować się
materializacja	materializować się
konkretyzacja	konkretyzować się
feminizacja	feminizować
żeniaczka	żenić się
pląs	pląsać
wygięcie	wygiąć się
zubożenie	zubożeć
łysienie	łysieć
implozja	implodować
aklimatyzacja	aklimatyzować
demokratyzacja	demokratyzować się
dobudowa	dobudowywać
ekshumacja	ekshumować
harmonizacja	harmonizować
neutralizacja	neutralizować
odsprzedaż	odsprzedać
optymalizacja	optymalizować
przeładunek	przeładowywać
rozesłanie	rozesłać
kwitnienie	kwitnąć
kroczenie	kroczyć
rozporządzanie	rozporządzać
dźwiganie	dźwigać
spowolnienie	spowolnić
opadnięcie	opaść
otaczanie	otaczać
ożywianie	ożywiać
obstalunek	obstalować
opalizacja	opalizować
przepierka	przepierać
reprodukcja	reprodukować
reprodukowanie	reprodukować
aprowizacja	aprowidować
arabizacja	arabizować
ukrainizacja	ukrainizować
wulgaryzacja	wulgaryzować
nostryfikacja	nostryfikować
paginacja	paginować
demaskacja	demaskować
podjęcie decyzji	podjąć decyzję
postrzeżenie	postrzegać
rozdwojenie	rozdwoić
regeneracja	regenerować
regeneracja	regenerować
seplenienie	seplenić
komutacja	komutować
dywersyfikacja	dywersyfikować
romanizacja	romanizować
apercepcja	apercypować
ponoszenie	ponosić
windykacja	windykować
internacjonalizacja	internacjonalizować
bluff	bluffować
sekwestracja	sekwestrować
areszt	aresztować
hermetyzacja	hermetyzować
reaktywacja	reaktywować
kandyzacja	kandyzować
ekstyrpacja	ekstyrpować
sprostowanie	sprostować
imitatorstwo	imitować
zimowanie	zimować
kaloryzacja	kaloryzować
prząśnica	prząść
fraternizacja	fraternizować się
zapylenie	zapylić
ankieta	ankietować
polerka	polerować
odpuszczanie	odpuszczać
wysiadka	wysiadać
adiustacja	adiustować
dubbing	dubbingować
skład	składać
kolacja	kolacjonować
tłuczenie się	tłuc się
relegacja	relegować
ekranizacja	ekranizować
kolonizacja	kolonizować
legitymizacja	legitymizować
usankcjonowanie	usankcjonować
obciąganie	obciągać
blok	blokować
blokada	blokować
blokada	blokować
bloking	blokować
wymarznięcie	wymarznąć
kanalizacja	kanalizować
ciąg	ciągnąć
rozkwit	rozkwitać
zmiękczenie	zmiękczać
konsultacja	konsultować
napływ	napływać
transkrypcja	transkrybować
redukcja	redukować
wznios kapilarny	wznieść się
archiwizacja	archiwizować
emisja	emitować
zapominalstwo	zapominać
federalizacja	federować
spis	spisywać
klekot	klekotać
cmok	cmoknąć
kąpiel	kąpać
generacja	generować
akceptacja	akceptować
demonstracja	demonstrować
manifestacja	manifestować
ideologizacja	ideologizować
umizgi	umizgiwać się
gruchot	gruchotać
wcisk	wciskać
wcisk	wciskać kit
dosiad	dosiadać
dosiad	dosiadać
infantylizacja	infantylizować
druk	drukować
dodruk	dodrukować
wyprawa	wyprawić
mazgajstwo	mazgaić się
macanka	macać
macanko	macać
macanka	macać
współredakcja	współredagować
spęd	spędzać
wytop	wytopić
zrost	zrastać się
zrost	zrastać się
różnienie	różnić
pełnienie jakiejś funkcji	pełnić jakąś funkcję
przedzielanie	przedzielać
bronienie	bronić
reprezentowanie	reprezentować
rozpoczynanie	rozpoczynać
przegradzanie	przegradzać
mentorowanie	mentorować
odgradzanie	odgradzać
dzielenie	dzielić
odgrywanie roli	odgrywać rolę
pełnienie roli	pełnić rolę
granie roli	grać rolę
znaczenie	znaczyć
liczenie się	liczyć się
stykanie się	stykać się
spotykanie się	spotykać się
kojarzenie się	kojarzyć się
łączenie się	łączyć się
wiązanie się	wiązać się
towarzyszenie	towarzyszyć
podleganie	podlegać
wtórowanie	wtórować
zagrażanie	zagrażać
grożenie	grozić
wiszenie nad głową	wisieć nad głową
prześciganie	prześcigać
przeganianie	przeganiać
współwystępowanie	współwystępować
uzupełnianie	uzupełniać
dopełnianie	dopełniać
przysługiwanie	przysługiwać
należenie się	należeć się
przywodzenie	przywodzić
podpadanie	podpadać
wpisywanie się	wpisywać się
granie	grać
ścieranie się	ścierać się
wykraczanie	wykraczać
wybieganie	wybiegać
zależenie	zależeć
zakrawanie na ...	zakrawać
dopowiadanie	dopowiadać
pokrywanie się	pokrywać się
zaprzeczanie	zaprzeczać
pozostawanie w sprzeczności	pozostawać w sprzeczności
przewyższanie	przewyższać
przerastanie	przerastać
czyhanie	czyhać
wykluczanie się	wykluczać się
odbijanie	odbijać
