agresywność	agresywny
anemiczność	anemiczny
atrakcyjność	atrakcyjny
autonomia	autonomiczny
bezdomność	bezdomny
bezdomność	bezdomny
bezkrwistość	bezkrwisty
bezpieczeństwo	bezpieczny
bezpośredniość	bezpośredni
bezstronność	bezstronny
biegłość	biegły
biel	biały
niezawodność	niezawodny
bladość	blady
bystrość	bystry
ciasnota	ciasny
ciekawość	ciekawy
cierpliwość	cierpliwy
cudowność	cudowny
czelność	czelny
czelność	czelny
czerń	czarny
delikatność	delikatny
demaskator	demaskatorski
dobro	dobry
doniosłość	doniosły
dowolność	dowolny
dźwięczność	dźwięczny
ekonomiczność	ekonomiczny
faktyczność	faktyczny
gęstość	gęsty
gibkość	gibki
gibkość	gibki
godność	godny
godność	godny
głębokość	głęboki
humanitarność	humanitarny
humanitaryzm	humanitarny
indywidualność	indywidualny
istotność	istotny
jednakowość	jednakowy
jednolitość	jednolity
jednomyślność	jednomyślny
karność	karny
koleżeństwo	koleżeński
kolizja	kolizyjny
konsekwentność	konsekwentny
lekkość	lekki
logiczność	logiczny
mądrość	mądry
mądrość	mądry
metodyczność	metodyczny
możliwość	możliwy
młodość	młody
młodość	młody
nadmiar	nadmierny
nagość	nagi
nakaz	nakazowy
napastliwość	napastliwy
naturalność	naturalny
niebezpieczeństwo	niebezpieczny
niedojrzałość	niedojrzały
niedojrzałość	niedojrzały
niegodziwość	niegodziwy
niemota	niemy
nienormalność	nienormalny
nieobecność	nieobecny
nieodzowność	nieodzowny
niepewność	niepewny
nieprawość	nieprawy
nieprzejrzystość	nieprzejrzysty
nieprzystępność	nieprzystępny
nieprzyzwoitość	nieprzyzwoity
nierealność	nierealny
nieregularność	nieregularny
niesprawiedliwość	niesprawiedliwy
nietypowość	nietypowy
niewinność	niewinny
niezależność	niezależny
niezależność	niezależny
niezbędność	niezbędny
niezwykłość	niezwykły
nikczemność	nikczemny
niskość	niski
nowość	nowy
obiektywizm	obiektywny
obiektywność	obiektywny
obrotność	obrotny
odporność	odporny
opanowanie	opanowany
oświata	oświatowy
oszczędność	oszczędny
pełność	pełny
pieczołowitość	pieczołowity
piękno	piękny
piękność	piękny
pierwszeństwo	pierwszy
pochwała	pochwalny
podatność	podatny
podniecenie	podniecony
podłość	podły
pomyślność	pomyślny
pomysłowość	pomysłowy
popularność	popularny
posłuszeństwo	posłuszny
potęga	potężny
potęga	potężny
potęga	potężny
powściągliwość	powściągliwy
prawdziwość	prawdziwy
prawdziwość	prawdziwy
prędkość	prędki
prędkość	prędki
prostota	prosty
przeciętność	przeciętny
przeciwieństwo	przeciwny
przedsiębiorczość	przedsiębiorczy
przynależność	przynależny
przyszłość	przyszły
realność	realny
roztropność	roztropny
rzutkość	rzutki
serdeczność	serdeczny
skuteczność	skuteczny
skłonność	skłonny
śmieszność	śmieszny
solidarność	solidarny
spoistość	spoisty
sprawiedliwość	sprawiedliwy
sprawność	sprawny
sprzeczność	sprzeczny
stanowczość	stanowczy
subtelność	subtelny
suchość	suchy
suwerenność	suwerenny
suwerenność	suwerenny
swary	swarliwy
systematyczność	systematyczny
szczęśliwość	szczęśliwy
szybkość	szybki
słuszność	słuszny
tężyzna	tęgi
troskliwość	troskliwy
trudność	trudny
tydzień	tygodniowy
ubóstwo	ubogi
uczuciowość	uczuciowy
ufność	ufny
ufność	ufny
uległość	uległy
uległość	uległy
ułomność	ułomny
waga	ważny
wątpliwość	wątpliwy
ważkość	ważki
wesołość	wesoły
wielkość	wielki
wilgotność	wilgotny
wilgotność	wilgotny
wolność	wolny
wolność	wolny
wrażliwość	wrażliwy
wrogość	wrogi
wrogość	wrogi
wrogość	wrogi
wściekłość	wściekły
wściekłość	wściekły
wyjątkowość	wyjątkowy
wyniosłość	wyniosły
wyniosłość	wyniosły
wytrwałość	wytrwały
zadumanie	zadumany
zamożność	zamożny
zaradność	zaradny
zdolność	zdolny
zepsucie	zepsuty
zgodność	zgodny
zgranie	zgrany
zieleń	zielony
znaczenie	znaczący
zręczność	zręczny
zwinność	zwinny
złość	zły
łaskawość	łaskawy
łaskawość	łaskawy
łatwość	łatwy
obojętność	obojętny
podejrzliwość	podejrzliwy
zimno	zimny
wonność	wonny
bezpieczeństwo	bezpieczny
ochota	ochoczy
wygoda	wygodny
nierzeczywistość	nierzeczywisty
czystość	czysty
macierzyństwo	macierzyński
ciepło	ciepły
starość	stary
niecierpliwość	niecierpliwy
nieposłuszeństwo	nieposłuszny
płytkość	płytki
niekonsekwencja	niekonsekwentny
głupota	głupi
rozrzutność	rozrzutny
zawodność	zawodny
nieumiejętność	nieumiejętny
powolność	powolny
obecność	obecny
równość	równy
wylewność	wylewny
świetność	świetny
niesprawność	niesprawny
kategoryczność	kategoryczny
kategoryczność	kategoryczny
nieatrakcyjność	nieatrakcyjny
niepopularność	niepopularny
rumianość	rumiany
rumianość	rumiany
neutralność	neutralny
stronniczość	niestronniczy
stronniczość	stronniczy
bezawaryjność	bezawaryjny
przydatność	przydatny
bezcelowość	bezcelowy
niewrażliwość	niewrażliwy
bezdźwięczność	bezdźwięczny
krótkość	krótki
krótkość	krótki
dziarskość	dziarski
nierzeczywistość	nierzeczywisty
treściwość	treściwy
zawiesistość	zawiesisty
zabieganie	zabiegany
otyłość	otyły
cienkość	cienki
starość	stary
dojrzałość	dojrzały
przejrzystość	przejrzysty
przystępność	przystępny
przyzwoitość	przyzwoity
regularność	regularny
kalectwo	kaleki
wrażliwość	wrażliwy
zależność	zależny
zwięzłość	zwięzły
grubość	gruby
bezmyślność	bezmyślny
bezradność	bezradny
bierność	bierny
brąz	brązowy
brutalność	brutalny
bujność	bujny
bujność	bujny
bujność	bujny
błyskotliwość	błyskotliwy
celność	celny
chytrość	chytry
ciągłość	ciągły
czerwień	czerwony
częstość	częsty
czułość	czuły
dogodność	dogodny
dokładność	dokładny
doskonałość	doskonały
drastyczność	drastyczny
dzielność	dzielny
dzikość	dziki
elastyczność	elastyczny
elastyczność	elastyczny
formalność	formalny
gościnność	gościnny
grzeczność	grzeczny
gwałtowność	gwałtowny
gwałtowność	gwałtowny
gwałtowność	gwałtowny
głośność	głośny
hojność	hojny
inność	inny
integralność	integralny
intymność	intymny
jawność	jawny
jednoczesność	jednoczesny
jednostajność	jednostajny
kameralność	kameralny
klarowność	klarowny
klasyczność	klasyczny
kompleksowość	kompleksowy
konserwatywność	konserwatywny
kontrowersyjność	kontrowersyjny
kruchość	kruchy
legalność	legalny
lepkość	lepki
liberalność	liberalny
malowniczość	malowniczy
marność	marny
masowość	masowy
masywność	masywny
miękkość	miękki
nabożność	nabożny
nadrzędność	nadrzędny
naiwność	naiwny
niejasność	niejasny
niepełnosprawność	niepełnosprawny
nieprecyzyjność	nieprecyzyjny
nieprzytomność	nieprzytomny
nierówność	nierówny
nieskuteczność	nieskuteczny
nieśmiałość	nieśmiały
nieśmiertelność	nieśmiertelny
niewierność	niewierny
niezłomność	niezłomny
niezłomność	niezłomny
nijakość	nijaki
obcość	obcy
obligatoryjność	obligatoryjny
oficjalność	oficjalny
okrucieństwo	okrutny
optymalność	optymalny
oryginalność	oryginalny
oryginalność	oryginalny
ostrożność	ostrożny
pilność	pilny
poczciwość	poczciwy
poprawność	poprawny
pospolitość	pospolity
potoczność	potoczny
poufność	poufny
powszechność	powszechny
prawość	prawy
przedwczesność	przedwczesny
przestronność	przestronny
przewrotność	przewrotny
przytomność	przytomny
przytomność	przytomny
racjonalność	racjonalny
radykalność	radykalny
radykalizm	radykalny
romantyzm	romantyczny
równoległość	równoległy
równorzędność	równorzędny
równoznaczność	równoznaczny
rozmaitość	rozmaity
różnorodność	różnorodny
rzeczowość	rzeczowy
rzetelność	rzetelny
sensowność	sensowny
sentymentalność	sentymentalny
skąpstwo	skąpy
smukłość	smukły
solidność	solidny
spektakularność	spektakularny
spontaniczność	spontaniczny
srogość	srogi
stabilność	stabilny
surowość	surowy
swoistość	swoisty
szczegółowość	szczegółowy
szczelność	szczelny
szczerość	szczery
szlachetność	szlachetny
szorstkość	szorstki
sztuczność	sztuczny
sztywność	sztywny
tęgość	tęgi
tępota	tępy
tępota	tępy
toksyczność	toksyczny
trwałość	trwały
trzeźwość	trzeźwy
uczciwość	uczciwy
uniwersalność	uniwersalny
uniwersalizm	uniwersalny
uprzejmość	uprzejmy
uprzejmość	uprzejmy
użyteczność	użyteczny
nieczułość	nieczuły
niedbałość	niedbały
niedbałość	niedbały
niedbałość	niedbały
staranność	staranny
zarozumiałość	zarozumiały
uniżoność	uniżony
uniżoność	uniżony
lenistwo	leniwy
beznamiętność	beznamiętny
bierność	bierny
niepoprawność	niepoprawny
wierność	wierny
wnikliwość	wnikliwy
współczesność	współczesny
wulgarność	wulgarny
wyrafinowanie	wyrafinowany
wytworność	wytworny
wytworność	wytworny
wytworność	wytworny
wyłączność	wyłączny
wyłączność	wyłączny
wzajemność	wzajemny
względność	względny
zawiłość	zawiły
zmienność	zmienny
zuchwałość	zuchwały
żywiołowość	żywiołowy
złośliwość	złośliwy
złośliwość	złośliwy
liczność	liczny
nieprawidłowość	nieprawidłowy
różność	różny
prawdopodobieństwo	prawdopodobny
nieprawdopodobieństwo	nieprawdopodobny
niemożliwość	niemożliwy
czujność	czujny
doraźność	doraźny
elementarność	elementarny
głuchota	głuchy
golizna	goły
gorycz	gorzki
jaskrawość	jaskrawy
konstruktywność	konstruktywny
martwość	martwy
mizerność	mizerny
monotonność	monotonny
nagłość	nagły
negatywność	negatywny
negatywność	negatywny
niedostateczność	niedostateczny
niefortunność	niefortunny
niejawność	niejawny
nielegalność	nielegalny
nieograniczoność	nieograniczony
niepełność	niepełny
niepokalaność	niepokalany
nieprawdziwość	nieprawdziwy
niesamowitość	niesamowity
ognistość	ognisty
ognistość	ognisty
okazałość	okazały
osobność	osobny
pokaźność	pokaźny
przezroczystość	przezroczysty
przezroczystość	przezroczysty
przystojność	przystojny
reprezentacyjność	reprezentacyjny
rodzimość	rodzimy
rudość	rudy
rzewność	rzewny
potworność	potworny
precyzyjność	precyzyjny
precyzyjność	precyzyjny
przeróżność	przeróżny
sędziwość	sędziwy
siność	siny
siwizna	siwy
skrajność	skrajny
skrajność	skrajny
słoność	słony
specyficzność	specyficzny
staroświeckość	staroświecki
stopniowość	stopniowy
typowość	typowy
umyślność	umyślny
uprzedniość	uprzedni
ustawiczność	ustawiczny
wąskość	wąski
wąskość	wąski
wątłość	wątły
widowiskowość	widowiskowy
wybitność	wybitny
wyborność	wyborny
wykwintność	wykwintny
wyrazistość	wyrazisty
zacność	zacny
zbędność	zbędny
zgrabność	zgrabny
zieloność	zielony
złocistość	złocisty
znakomitość	znakomity
znikomość	znikomy
zuchwalstwo	zuchwały
