cisnąć	ciskać
cofnąć	cofać
cofnąć	cofać
cofnąć się	cofać się
czmychnąć	czmychać
dać	dawać
dać do myślenia	dawać do myślenia
darować	darowywać
dodać	dodawać
dodać	dodawać
dodać	dodawać
dodać gazu	dodawać gazu
dofinansować	dofinansowywać
dogadać się	dogadywać się
dogodzić	dogadzać
doinwestować	doinwestowywać
dojechać	dojeżdżać
dojrzeć	dojrzewać
dojść	dochodzić
dojść	dochodzić
dokończyć	dokończać
dokończyć	dokańczać
donieść	donosić
doprowadzić	doprowadzać
dopuścić	dopuszczać
doradzić	doradzać
doręczyć	doręczać
dorobić się	dorabiać się
dorzucić	dorzucać
dostarczyć	dostarczać
dostrzec	dostrzegać
dostrzec	dostrzegać
doświadczyć	doświadczać
dotknąć	dotykać
dotknąć	dotykać
dotknąć	dotykać
dotrzeć	docierać
dotrzymać kroku	dotrzymywać kroku
dowiedzieć się	dowiadywać się
dowieść	dowodzić
dowieść	dowodzić
dowieźć	dowozić
dołączyć	dołączać
dołączyć	dołączać
dołączyć się	dołączać się
dołożyć	dokładać
kupić	kupować
minąć	mijać
minąć	mijać
nabrać	nabierać
nabyć	nabywać
nadać	nadawać
nadać się	nadawać się
nadążyć	nadążać
nadciągnąć	nadciągać
nadejść	nadchodzić
nadepnąć	nadeptywać
nadesłać	nadsyłać
nadmienić	nadmieniać
nadwątlić	nadwątlać
nadwyrężyć	nadwyrężać
nagrodzić	nagradzać
nająć	najmować
najechać	najeżdżać
nakazać	nakazywać
nakłonić	nakłaniać
namówić	namawiać
nanieść	nanosić
napaść	napadać
napełnić	napełniać
napełnić się	napełniać się
napisać	pisać
napotkać	napotykać
narodzić się	rodzić się
naruszyć	naruszać
naruszyć	naruszać
nasadzić	nasadzać
nastać	nastawać
nastąpić	następować
nastąpić	następować
nastawić	nastawiać
nasunąć	nasuwać
nasycić	nasycać
natrzeć	nacierać
nawiązać	nawiązywać
nawrócić	nawracać
nazwać	nazywać
nałożyć	nakładać
nałożyć obowiązek	nakładać obowiązek
normować	normalizować
obarczyć	obarczać
obciążyć	obciążać
obdarować	obdarowywać
obejrzeć	oglądać
obejść się	obchodzić się
objąć	obejmować
objąć	obejmować
objąć	obejmować
objąć	obejmować
objuczyć	objuczać
oblać	oblewać
obliczyć	obliczać
obmyślić	obmyślać
obniżyć	obniżać
obrać	obierać
obrócić	obracać
obronić się	bronić się
obstąpić	obstępować
obudzić	budzić
obwieścić	obwieszczać
obwiesić	obwieszać
obwinić	obwiniać
obwołać	obwoływać
obładować	obładowywać
oczarować	oczarowywać
odbić	odbijać
odbić się	odbijać się
odbyć	odbywać
odchować	odchowywać
odchylić	odchylać
odcyfrować	odcyfrowywać
odczytać	odczytywać
odczytać	odczytywać
oddalić	oddalać
odebrać	odbierać
odejść	odchodzić
odemknąć	odmykać
odepchnąć	odpychać
odeprzeć	odpierać
oderwać	odrywać
odesłać	odsyłać
odezwać się	odzywać się
odkręcić	odkręcać
odkryć	odkrywać
odkryć	odkrywać
odkupić	odkupywać
odmienić	odmieniać
odmówić	odmawiać
odnająć	odnajmować
odnaleźć	odnajdywać
odnaleźć	odnajdować
odnieść	odnosić
odnowić	odnawiać
odpowiedzieć	odpowiadać
odpowiedzieć	odpowiadać
odprawić	odprawiać
odpuścić	odpuszczać
odpytać	pytać
odpytać	odpytywać
odrestaurować	restaurować
