akceptować	zaakceptować
akumulować	zakumulować
angażować	zaangażować
apelować	zaapelować
aprobować	zaaprobować
aranżować	zaaranżować
artykułować	wyartykułować
bagatelizować	zbagatelizować
blokować	zablokować
brać	wziąć
brać	wziąć
brać do serca	wziąć do serca
brać do siebie	wziąć do siebie
brać górę	wziąć górę
brać nogi za pas	wziąć nogi za pas
brać udział	wziąć udział
brzmieć	zabrzmieć
budzić	obudzić
budzić	obudzić
budzić	wzbudzić
chwalić	pochwalić
ciskać	cisnąć
ćmić	zaćmić
cofać	cofnąć
cofać się	cofnąć się
cytować	zacytować
częstować się	poczęstować się
czmychać	czmychnąć
czynić coś złego	uczynić coś złego
czytać	przeczytać
dawać	dać
dawać	dać
dawać	dać
dawać do myślenia	dać do myślenia
dawać do zrozumienia	dać do zrozumienia
decydować	zadecydować
decydować	zdecydować
degustować	zdegustować
dematerializować się	zdematerializować się
demonstrować	zademonstrować
dezelować	zdezelować
dochodzić	dojść
docierać	dotrzeć
docierać	dotrzeć
dodawać	dodać
dogadzać	dogodzić
doglądać	doglądnąć
dojeżdżać	dojechać
dokuczać	dokuczyć
domniemywać	domniemać
donosić	donieść
dopełniać	dopełnić
dopowiedzieć	dopowiadać
doprowadzać	doprowadzić
dopuszczać	dopuścić
dopytywać się	dopytać się
doradzać	doradzić
doręczać	doręczyć
dosięgać	dosięgnąć
dostarczać	dostarczyć
dostawać	dostać
dostawać się	dostać się
dostrzegać	dostrzec
dostrzegać	dostrzec
doświadczać	doświadczyć
dotykać	dotknąć
dowiadywać się	dowiedzieć się
dowodzić	dowieść
dowodzić	dowieść
działać	podziałać
działać	zadziałać
dziwić	zdziwić
edukować się	wyedukować się
egzaminować	przeegzaminować
formułować	sformułować
gasnąć	zgasnąć
ginąć	zginąć
ginąć	zginąć
gnieść	pognieść
godzić	pogodzić
gromadzić	zgromadzić
gromadzić	zgromadzić
gromadzić	zgromadzić
gromadzić się	zgromadzić się
grozić	zagrozić
grupować	zgrupować
grupować się	zgrupować się
gwarantować	zagwarantować
głosować	zagłosować
identyfikować	zidentyfikować
ignorować	zignorować
inkasować	zainkasować
interpretować	zinterpretować
jarać	zajarać
jeść	zjeść
kapować	zakapować
kasować	skasować
katować	zakatować
kicać	kicnąć
klasyfikować	sklasyfikować
kochać	pokochać
kojarzyć	skojarzyć
komentować	skomentować
komplementować	skomplementować
kompletować	skompletować
koncentrować się	skoncentrować się
konfrontować	skonfrontować
konkludować	zakonkludować
konsumować	skonsumować
kopać	kopnąć
kosztować	skosztować
kraść	skraść
kraść	ukraść
kształcić się	wykształcić się
kumulować	skumulować
kupować	kupić
kurować	wykurować
kurzyć	zakurzyć
kusić	skusić
kwestionować	zakwestionować
kłaść	położyć
kłaść się	położyć się
kłaść trupem	położyć trupem
leczyć	wyleczyć
lekceważyć	zlekceważyć
lokować	ulokować
magazynować	zmagazynować
marnotrawić	zmarnotrawić
marnować	zmarnować
maszerować	przemaszerować
miąć	pomiąć
miąć	zmiąć
mieścić	zmieścić
mijać	minąć
montować	zmontować
mordować	zamordować
motywować	umotywować
mówić na ucho	powiedzieć na ucho
mylić	pomylić
nabierać	nabrać
nabywać	nabyć
nacierać	natrzeć
nadawać imię	nadać imię
nadawać	nadać
nadawać się	nadać się
nadchodzić	nadejść
nadciągać	nadciągnąć
nadeptywać	nadepnąć
nagabywać	nagabnąć
najeżdżać	najechać
nakazywać	nakazać
nakreślać	nakreślić
nakładać	nałożyć
nakładać obowiązek	nałożyć obowiązek
nakłaniać	nakłonić
namawiać	namówić
nanosić	nanieść
napadać	napaść
napełniać	napełnić
napełniać się	napełnić się
napotykać	napotkać
narastać	narosnąć
naruszać	naruszyć
narzucić	narzucać
nasadzać	nasadzić
następować	nastąpić
nasuwać	nasunąć
nawiązywać	nawiązać
nawracać	nawrócić
nazywać	nazwać
niszczyć	zniszczyć
normować	unormować
obchodzić	obejść
obdarowywać	obdarować
obdzielać	obdzielić
obejmować	objąć
obejmować	objąć
obgadywać	obgadać
obgadywać	obgadać
obliczać	obliczyć
obmyślać	obmyślić
obracać	obrócić
obserwować	zaobserwować
obstępować	obstąpić
obwieszczać	obwieścić
obwiniać	obwinić
obwoływać	obwołać
oceniać	ocenić
ochraniać	ochronić
odbierać	odebrać
odbijać	odbić
odchodzić	odejść
odchylać	odchylić
odczytywać	odczytać
oddziaływać	oddziałać
odkręcać	odkręcić
odkrywać	odkryć
odkładać	odłożyć
odkładać	odłożyć
odmawiać	odmówić
odmieniać	odmienić
odmykać	odemknąć
odnajdować	odnaleźć
odnosić	odnieść
odpierać	odeprzeć
odpisywać	odpisać
odpowiadać	odpowiedzieć
odprawiać	odprawić
odpytywać	odpytać
odrywać	oderwać
odśpiewywać	odśpiewać
odsuwać	odsunąć
odsyłać	odesłać
odszukiwać	odszukać
odwijać	odwinąć
odwoływać	odwołać
odzyskiwać	odzyskać
odzywać się	odezwać się
ogarniać	ogarnąć
ogarniać	ogarnąć
ogłaszać	ogłosić
okalać	okolić
okradać	okraść
określać	określić
określać	określić
okrywać	okryć
omijać	ominąć
opanowywać	opanować
opanowywać	opanować
opasywać	opasać
opiekować się	zaopiekować się
opierać się	oprzeć się
oplatać	opleść
opowiadać	opowiedzieć
opowiadać się	opowiedzieć się
opracowywać	opracować
opuścić	opuszczać
opuszczać	opuścić
opuszczać	opuścić
opłacać się	opłacić się
organizować	zorganizować
orzekać	orzec
osadzać	osadzić
osiągać	osiągnąć
osiedlać się	osiedlić się
ostrzegać	ostrzec
oszczędzać	oszczędzić
otaczać	otoczyć
otaczać	otoczyć
