skupiać się|koncentrować się	skupiony
umierać|konać|dogorywać|gasnąć|odchodzić|mrzeć|żegnać się ze światem	martwy|nieżywy|zimny
wypełniać się|napełniać się|zapełniać się	pełny|pełen
napełnić się|wypełnić się|zapełnić się	pełny|pełen
pojawiać się|występować	widoczny
zwiększać się|rosnąć|powiększać się|rozrastać się	większy
znikać|niknąć|przepadać	niewidoczny|niewidzialny
ubożeć|biednieć|popadać w niedostatek	biedny|ubogi|bidny
bogacić się|dorabiać się|zbijać majątek|wzbogacać się|zbijać	bogaty|zamożny|majętny|możny
wywyższać się|wynosić się|pysznić się|zadzierać nosa|puszyć się	pyszny|zadufany|zadufały
bieleć|zabielać się	bielszy
bieleć|zabielać się	biały
czerwienić się|czerwienieć|pąsowieć|płonić się|purpurowieć|kraśnieć|zaczerwieniać się	czerwony
czerwienieć|czerwienić się|kraśnieć|zaczerwieniać się	czerwony
odłączać się	odłączony
odczepiać się	odczepiony
odkręcać się	odkręcony
odmarzać	odmarznięty
przedzierać się	przedarty
grubieć	gruby|spasły
sztywnieć	twardy|niegiętki|sztywny|nieelastyczny|niesprężysty
pocić się|potnieć	spocony
barwić się|zabarwiać się|farbować się	barwny|kolorowy
sinieć	siny|posiniały|zsiniały
mięknąć|zmiękczać się	miękki|niesztywny
wiotczeć|flaczeć|flakowacieć	wiotki
twardnieć|utwardzać się	wytrzymały
jędrnieć	jędrny
czerstwieć	czerstwy|suchy|wyschnięty
kostnieć	skostniały
rogowacieć|chropowacieć	rogowaty|zrogowaciały
marznąć	zmarznięty|zmarzły
kostnieć	skostniały
zielenieć	zielony|szary
blednąć|bladnąć|bieleć	bielszy
blednąć|bladnąć|bieleć	blady
rdzewieć|korodować	zardzewiały|skorodowany|pordzewiały
nieruchomieć|zamierać|martwieć|zastygać|tężeć	nieruchomy
męczyć się|forsować się	zmęczony
pleśnieć|zakwitać	spleśniały|zapleśniały
psuć się	zepsuty|popsuty
pochylać się|chylić się|schylać się|giąć się	pochyły
krzywić się|koślawić się|koślawieć|skrzywiać się|wykoślawiać się|wykrzywiać się|zakrzywiać się	krzywy
prostować się|wyprężać się|odginać się|rozginać się|rozprostowywać się|wyprostowywać się	prosty
chłodzić się|schładzać się|chłodnąć|ochładzać się	chłodny
moknąć|moczyć się|zamakać	mokry
dorośleć|dojrzewać|dorastać|podrastać	dorosły
dziecinnieć|infantylnieć|infantylizować się	dziecinny|infantylny
zmniejszać się|maleć|pomniejszać się	mniejszy
upijać się|spijać się|opijać się|upajać się|zaprawiać się|zakrapiać się|zapijać|doprawiać się	pijany
przerastać	przerośnięty
niebieszczeć	niebieski|niebny
błękitnieć	błękitny
brunatnieć	brunatny|brunatnobrązowy|brązowobrunatny
brązowieć	brązowy
ciemnieć|czernić się	ciemniejszy
ciemnieć|czernić się	czarny
granatowieć	granatowy
różowieć|różowić się	różowy
szarzeć	szary
siwieć|bieleć|posrebrzać się	bielszy
siwieć|bieleć|posrebrzać się	siwy|posiwiały
żółcieć|żółknąć	żółty
szarzeć	nijaki|bezbarwny|blady|szary|nieciekawy|nudny|bezlicy
cichnąć|uciszać się|ucichać|uspokajać się	cichszy
cichnąć|uciszać się|ucichać|uspokajać się	cichszy
łagodnieć	łagodniejszy
słabnąć|wątleć	słabszy
ciemnieć|ściemniać się|mrocznieć	ciemniejszy
ciemnieć|ściemniać się|mrocznieć	ciemny
ciemnieć|zaciemniać się	ciemniejszy
ciemnieć|zaciemniać się	ciemny
jaśnieć	jasny
ściemniać się|przygasać|mrocznieć|przyćmiewać się	ciemniejszy
pogarszać się	gorszy
bankrutować|plajtować	biedny|ubogi|bidny
bankrutować|plajtować	bankrut
słabnąć|wątleć	słabszy
rozwijać się	pełny|pełen
usamodzielniać się|uniezależniać się	niezależny
zdrowieć|dochodzić do zdrowia|dochodzić do siebie|stawać na nogi|wracać do zdrowia|dobrzeć	zdrowy
uspokajać się|wyciszać się	spokojny
popuszczać pasa	rozrzutny
opalać się|prażyć się|smażyć się	opalony
przyrumieniać się	rumiany|krwisty|zaróżowiony
uwypuklać się|wypuczać się|wysklepiać się	wypukły
gęstnieć|gęstnąć	gęsty
zastygać	zastygły|zakrzepły
brudzić się	brudny|nieczysty|zabrudzony
chudnąć|szczupleć|tracić na wadze	chudszy
chudnąć	chudszy
chudnąć	chudszy
chudnąć	mniejszy
spowinowacać|koligacić	powinowata|spowinowacona
spowinowacać|koligacić	powinowaty|spowinowacony
repatriować się	repatriant|reemigrant
mizernieć|niknąć	mizerny
rosnąć|urastać	wyższy
rosnąć|urastać	większy
gnić	zgniły
pracować nad sobą	doskonalszy
solidaryzować się	solidarny
przemarzać|zamarzać|marznąć	zamarznięty|zamarzły
starzeć się	stary|niemłody
upodabniać się|upodobniać się	podobny
korzenić się|ukorzeniać się|zakorzeniać się	ukorzeniony
drożeć	droższy
uczynniać	czynny|aktywny
wychodzić na jaw|ujawniać się|wychodzić na światło dzienne|wydawać się	jawny
spłycać się	płytki|niegłęboki
pogłębiać się	wnikliwy|dogłębny
umacniać się	trwały
tanieć	tańszy
ukonkretniać się|konkretyzować się|krystalizować się|wykrystalizowywać się	konkretny
rozpowszechniać się|szerzyć się	powszechny|rozpowszechniony
powszednieć|pospolicieć	pospolity
banalnieć	banalny
ustalać się	trwały
ustalać się	trwały
klarować się	przezroczysty|klarowny|przejrzysty|czysty|przeźroczysty
wyjaśniać się|klarować się	zrozumiały|przystępny|jasny|klarowny|przejrzysty
rozweselać się|rozchmurzać się|rozpogadzać się|wypogadzać się|pogodnieć|weseleć	wesoły
