id;quantity;type;reverse;name;description;posstr;display;shortcut;autoreverse;pwn;tests
10;180663;"relacja pomiędzy synsetami";"11";"hiponimia";"Hipo-/hiperonimia to podstawowa relacja kształtujaca hierarchiczną strukturę słownictwa. Jest to relacja, którą można określić jako implikację jednostronną. Hiperonimia jest relacją między jednostkami należącymi do tej samej klasy fleksyjnej. Warunek: Jednostki leksykalne synsetu X stanowią rodzaj jednostek synsetu Y, istnieje jeszcze co najmniej jeden synset Z, którego jednostki są rodzajem jednostek leksykalnych synsetu Y.";"czasownik,rzeczownik,przysłówek,przymiotnik";"&lt;x#> jest hiponimem &lt;y#>";"hipo";"true";"p_~";"(TAK: Jeśli ktoś/coś jest &lt;x#subst:sg:inst:%>, to musi być &lt;y#subst:sg:inst:%>,rzeczownik) (TAK: jeśli ktoś/coś jest &lt;y#subst:sg:inst:%>, to niekoniecznie jest &lt;x#subst:sg:inst:%>,rzeczownik) (TAK: jeśli ktoś/coś nie jest &lt;y#subst:sg:inst:%>, to nie może być &lt;x#subst:sg:inst:%>,rzeczownik) (&lt;x#> i &lt;y#> mają ten sam aspekt,czasownik) (Jeśli &lt;x#fin:sg:ter:%>, to &lt;y#fin:sg:ter:%>,czasownik) (Jeśli &lt;y#fin:sg:ter:%>, to niekoniecznie &lt;x#fin:sg:ter:%>,czasownik) (&lt;x#> to &lt;y#> w specjalny sposób, jakoś (okolicznik sposobu),czasownik) (&lt;x#> i &lt;y#> to przymiotniki, N - to rzeczownik,przymiotnik) ([PRZYMIOTNIKI JAKOŚCIOWE],przymiotnik) (Jeżeli ktoś|coś jest &lt;x#>(-e, -a), to jest &lt;y#>(-e, -a).,przymiotnik) (Jeżeli ktoś|coś jest &lt;y#>(-e, -a), to niekoniecznie jest &lt;x#>(-e, -a).,przymiotnik) ([PRZYMIOTNIKI RELACYJNE],przymiotnik) (Jeżeli mówimy o jakimś N, że jest N &lt;x#>(-e, -a), to możemy również powiedzieć, że jest N &lt;y#>(-e, -a).,przymiotnik) (Niekoniecznie o każdym N, o którym możemy powiedzieć N &lt;y#>(-e, -a), powiemy N &lt;x#>(-e, -a).,przymiotnik) ([a] Jeżeli ktoś / coś robi coś &lt;x#>, to robi to &lt;y#>.,przysłówek) ([a] Jeżeli ktoś / coś robi coś &lt;y#>, to niekoniecznie robi to &lt;x#>.,przysłówek) ([b] Jeżeli coś dzieje się &lt;x#>, to dzieje się &lt;y#>.,przysłówek) ([b] Jeżeli coś dzieje się &lt;y#>, to niekoniecznie dzieje się &lt;x#>.,przysłówek) ([c] Jeżeli ktoś / coś jest &lt;x#> jakiś (-eś, -aś), to jest też &lt;y#> jakiś (-eś, -aś).,przysłówek) ([c] Jeżeli ktoś / coś jest &lt;y#> jakiś (-eś, -aś), to niekoniecznie jest &lt;x#> jakiś (-eś, -aś)..,przysłówek) ([d] Jeżeli jest &lt;x#>, to jest też &lt;y#>.,przysłówek) ([d] Jeżeli jest &lt;y#>, to niekoniecznie jest &lt;x#>.,przysłówek)"
11;180663;"relacja pomiędzy synsetami";"10";"hiperonimia";"Hipo-/hiperonimia to podstawowa relacja kształtująca hierarchiczną strukturę słownictwa.&#xa;Jest to relacja, którą można określić jako implikację jednostronną. Hiperonimia jest relacją między jednostkami należącymi do tej samej klasy fleksyjnej.";"czasownik,rzeczownik,przysłówek,przymiotnik";"&lt;x#> jest hiperonimem &lt;y#>";"hiper";"true";"p_@";"(TAK: Jeśli ktoś/coś jest &lt;y#subst:sg:inst:%>, to musi być &lt;x#subst:sg:inst:%>,rzeczownik) (TAK: jeśli ktoś/coś jest &lt;x#subst:sg:inst:%>, to niekoniecznie jest &lt;y#subst:sg:inst:%>,rzeczownik) (TAK: jeśli ktoś/coś nie jest &lt;x#subst:sg:inst:%>, to nie może być &lt;y#subst:sg:inst:%>,rzeczownik) (Jeśli &lt;y#fin:sg:ter:%>, to &lt;x#fin:sg:ter:%>,czasownik) (Jeśli &lt;x#fin:sg:ter:%>, to niekoniecznie &lt;y#fin:sg:ter:%>,czasownik) (&lt;x#> i &lt;y#> mają ten sam aspekt,czasownik) (&lt;y#> to &lt;x#> w specjalny sposób, jakoś (okolicznik sposobu),czasownik) (&lt;x#> i &lt;y#> to przymiotniki, N - to rzeczownik,przymiotnik) ([PRZYMIOTNIKI JAKOŚCIOWE],przymiotnik) (Jeżeli ktoś|coś jest &lt;y#>(-e, -a), to jest &lt;x#>(-e, -a).,przymiotnik) (Jeżeli ktoś|coś jest &lt;x#>(-e, -a), to niekoniecznie jest &lt;y#>(-e, -a).,przymiotnik) ([PRZYMIOTNIKI RELACYJNE],przymiotnik) (Jeżeli mówimy o jakimś N, że jest N &lt;y#>(-e, -a), to możemy również powiedzieć, że jest N &lt;x#>(-e, -a).,przymiotnik) (Niekoniecznie o każdym N, o którym możemy powiedzieć N &lt;x#>(-e, -a), powiemy N &lt;y#>(-e, -a).,przymiotnik)"
13;472;"relacja leksykalna";"13";"konwersja";"Konwersja to relacja odwrotności łącząca jednostki leksykalne. Relacja ta przedstawia to samo zjawisko z dwóch różnych stron. Konwersja jest częsta między leksemami należącymi do słownictwa opisującego role społeczne, stopnie pokrewieństwa, stosunki czasowe i przestrzenne. Mówiąc ściślej, konwersami są takie predykaty o co najmniej dwóch walencjach semantycznych, które mają ten sam zbiór walencji, ale różny układ aktantów dla tych samych walencji.";"czasownik,rzeczownik,przysłówek,przymiotnik";"&lt;x#> i &lt;y#> to konwersy";"konw";"true";"p_-";"(&lt;x#> i &lt;y#> to kohiponimy lub komeronimy albo hiponimy antonimów lub konwersów,rzeczownik) (JEŻELI a jest dla b &lt;x#subst:sg:inst:%>,rzeczownik) (TO b jest dla a &lt;y#subst:sg:inst:%>,rzeczownik) (Nieprawda, że jeśli nie &lt;x#fin:sg:ter:%>, to &lt;y#fin:sg:ter:%>,czasownik) (Jeśli &lt;x#fin:sg:ter:%>, to nie &lt;y#fin:sg:ter:%>,czasownik) (&lt;x#> i &lt;y#> mają ten sam aspekt,czasownik) (&lt;x#> i &lt;y#> to albo kohiponimy/komeronimy, albo hiponimy/meronimy jednostek antonimicznych lub konwersów,czasownik) (Jeżeli a &lt;x#fin:sg:ter:%> (Prep) b, to b &lt;y#fin:sg:ter:%> (Prep) a,czasownik) (&lt;x#> i &lt;y#> otwierają co najmniej dwa miejsca dla argumentów,czasownik) (Nie jest możliwe, że &lt;x#fin:sg:ter:%> i &lt;y#fin:sg:ter:%> jednocześnie,czasownik) (&lt;x#> i &lt;y#> to przymiotniki w stopniu wyższym lub najwyższym,przymiotnik) (&lt;x#> i &lt;y#> są antonimami,przymiotnik) (Jeżeli a jest &lt;x#>(e) (prep) b, to b jest &lt;y#>(e) (prep) a,przymiotnik) (&lt;x#> i &lt;y#> to przysłówki w stopniu wyższym.,przysłówek) ([a] Jeżeli a robi coś &lt;x#> niż b, to b robi to &lt;y#> niż a.,przysłówek) ([b] Jeżeli a dzieje się &lt;x#> niż b, to b dzieje się &lt;y#> niż a.,przysłówek) ([c] Jeżeli a jest &lt;x#> jakieś (-aś, -iś) niż b, to b jest &lt;y#> jakieś (-aś, -iś) niż a.,przysłówek) ([d] Jeżeli w pierwszej sytuacji jest &lt;x#> niż w drugiej, to w drugiej jest &lt;y#> niż w pierwszej.,przysłówek)"
19;28679;"relacja leksykalna";"19";"fuzzynimia";"Korzystamy z relacji fuzzynimii w przypadku, gdy bez niej jednostka leksykalna miałaby pozostać poza siecią z braku zdefiniowania odpowiedniej relacji. Fuzzynimia pojawi się więc, gdy wszystkie pozostałe testy zawiodą, a wciąż można będzie powiedzieć, że &quot;X łączy z Y jakaś silna relacja&quot;. Fuzzynimia w Słowosieci łączy jednostki tej samej klasy gramatycznej.";"czasownik,rzeczownik,przysłówek,przymiotnik";"&lt;x#> i &lt;y#> to fuzzynimy";"fuzz";"true";"p_?";"(rzeczownik &lt;x#> jest w jakiejś relacji semantycznej z leksemem &lt;y#> ,rzeczownik) (czasownik &lt;x#> jest w jakiejś relacji semantycznej z leksemem &lt;y#> ,czasownik) (przymiotnik &lt;x#> jest w jakiejś relacji semantycznej z leksemem &lt;y#> ,przymiotnik)"
20;8331;"relacja leksykalna";"25";"część";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest meronimem (typu część) dla &lt;y#>";"mero:cz";"false";"p_%p";"(TAK: &lt;x#> jest częścią &lt;y#subst:sg:gen:%>,rzeczownik) (TAK: &lt;y#> nie jest częścią &lt;x#subst:sg:gen:%>,rzeczownik) (TAK: &lt;y#> jest całością, której częścią jest &lt;x#>,rzeczownik)"
21;123;"relacja leksykalna";"26";"porcja";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest meronimem (typu porcja) dla &lt;y#>";"mero:porc";"false";"p_%c";"(TAK: &lt;x#> jest porcją &lt;y#subst:sg:gen:%>,rzeczownik) (TAK: &lt;y#> jest całością, której porcją jest &lt;x#>,rzeczownik) (TAK: &lt;y#> nie jest porcją &lt;x#subst:sg:gen:%>,rzeczownik)"
22;1749;"relacja leksykalna";"27";"miejsce";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest meronimem (typu miejsce) dla &lt;y#>";"mero:msc";"false";"p_%w";"(TAK: &lt;x#> jest miejscem w (na) &lt;y#subst:sg:gen:%>,rzeczownik) (TAK: &lt;y#> jest całością, której pewnym miejscem jest &lt;x#>,rzeczownik) (TAK: &lt;y#> nie jest miejscem w/na &lt;x#subst:sg:loc:%>,rzeczownik)"
23;5541;"relacja leksykalna";"28";"element kolekcji";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest meronimem (typu element) dla &lt;y#>";"mero:el";"false";"p_%m";"(TAK: &lt;x#> jest elementem &lt;y#subst:sg:gen:%>,rzeczownik) (TAK: &lt;y#> jest grupą/zbiorem, której elementem jest &lt;x#>,rzeczownik) (TAK: &lt;y#> nie jest elementem &lt;x#subst:sg:gen:%>,rzeczownik)"
24;630;"relacja leksykalna";"29";"materiał";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest meronimem (typu materiał) dla &lt;y#>";"mero:mat";"false";"p_%s";"(TAK: &lt;x#> jest materiałem, z którego jest zrobione &lt;y#>,rzeczownik) (TAK: &lt;y#> jest całością, która została wykonana (w całości lub części) z &lt;x#subst:sg:gen:%>,rzeczownik) (TAK: &lt;y#> nie jest materiałem, z którego zrobione jest &lt;x#>,rzeczownik)"
25;10044;"relacja leksykalna";"20";"część";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest holonimem (typu część) dla &lt;y#>";"holo:cz";"false";"p_#p";"(TAK: &lt;y#> jest częścią &lt;x#subst:sg:gen:%>,rzeczownik) (TAK: &lt;x#> jest całością, której częścią jest &lt;y#>,rzeczownik) (TAK: &lt;x#> nie jest częścią &lt;y#subst:sg:gen:%>,rzeczownik)"
