zezwalać|zgadzać się|pozwalać|akceptować|godzić się|przystawać|przyzwalać|wyrażać zgodę	odwieszać
analizować|badać	krytykować|recenzować
analizować|badać	omawiać|mieć na tapecie
atakować|nacierać|iść|najeżdżać|napierać|szturmować|uderzać	grasować|hulać|panoszyć się
awansować	habilitować się
wyśmiewać się|śmiać się|naśmiewać się|natrząsać się|nabijać się|prześmiewać się	parodiować
wyśmiewać się|śmiać się|naśmiewać się|natrząsać się|nabijać się|prześmiewać się	sparodiować
bawić się|zabawiać się	nabawić się|wybawić się
bawić się|zabawiać się	pobawić się
bawić się|zabawiać się	rozbawić się|rozochocić się
bawić	rozśmieszyć|rozbawić
bawić	śmieszyć|rozśmieszać|rozbawiać
bić|dawać|lać|okładać|młócić|prać	ciąć
biec|gonić|gnać|biegnąć	rozbiegać się
biec|gonić|gnać|biegnąć	rozbiec się
biec|gonić|gnać|biegnąć	odbiegnąć|odbiec
biec|gonić|gnać|biegnąć	przybiec
biec|gonić|gnać|biegnąć	wyprzedzić|poprzedzić|przegonić|prześcignąć
biec|gonić|gnać|biegnąć	dobiec|dolecieć|zalecieć|dopędzić|dobiegnąć
biec|gonić|gnać|biegnąć	podbiec|podbiegnąć
biec|gonić|gnać|biegnąć	obiec
biec|gonić|gnać|biegnąć	zbiec
biec|gonić|gnać|biegnąć	przebiec
biec|gonić|gnać|biegnąć	wyprzedzać|przeganiać|prześcigać
biegać|ganiać|uganiać się	pobiegać|polatać|przebiec się|przebiegnąć się
biegać|ganiać|uganiać się	biec|gonić|gnać|biegnąć
brać	brać
całować|cmokać|składać pocałunek	pieścić
charakteryzować|cechować|znamionować	błyszczeć|świecić się|świecić|lśnić|połyskiwać|jaśnieć|lśnić się|błyszczeć się|jarzyć się|promienieć|szklić się|żarzyć się
pragnąć|łaknąć|pożądać|łakomić się	wyciągać rękę
pragnąć|łaknąć|pożądać|łakomić się	reflektować
chronić|bronić|ochraniać	zabezpieczyć
chwalić|reklamować	przechwalać
chwycić|ująć	podnieść
chwytać|łapać	ciągnąć|pociągać|ciągać
wlec	dowlec
wlec	przywlekać
wlec	przywlec
wlec	zawlec
wlec	odwlekać
wlec	odwlec
wlec	rozwlekać
wlec	rozwlec
cieszyć się|radować się|weselić się	wiwatować
cieszyć się|radować się|weselić się	rozpromieniać się|rozjaśniać się|rozświetlać się|opromieniać się
cofać się	ustępować
czerpać|nabierać|zaczerpywać	wyczerpywać
czerpać|nabierać|zaczerpywać	wyczerpać
czytać|oddawać się lekturze	zaczytywać się
czytać|oddawać się lekturze	zaczytać się
czytać|oddawać się lekturze	wczytywać się
czytać|oddawać się lekturze	doczytywać
czytać|oddawać się lekturze	wyczytywać
czytać|oddawać się lekturze	oczytywać się
czytać|oddawać się lekturze	poczytać
decydować|rozstrzygać|stanowić|przesądzać	rządzić
denerwować się	nadenerwować się
denerwować|działać na nerwy|psuć krew|wyprowadzać z równowagi|wnerwiać|wytrącać z równowagi	podenerwować
powiedzieć|wypowiedzieć	przepowiedzieć
dofinansować|doinwestować|dać dotację	oddłużyć
doprowadzić|przyprowadzić|sprowadzić|zaprowadzić|przywieść	spędzić|zagonić|zapędzić|zegnać|zgonić
dostarczyć	nawodnić
dostarczyć	oddać|dać
dostarczyć	przesłać|wysłać|posłać
dotykać|tykać|dotykać się	sfaulować
dotykać|tykać|dotykać się	faulować
dotykać|tykać|dotykać się	dosięgać|dostawać
dotykać|tykać|dotykać się	pieścić
dotykać|tykać|dotykać się	przesuwać
dotykać|tykać|dotykać się	zamiatać
dotykać|tykać|dotykać się	ruszać|poruszać|wprawiać w ruch
dowiedzieć się	podsłuchać
dowiedzieć się	stwierdzić|skonstatować
dyskutować|debatować|radzić|dysputować	podyskutować
dyskutować|debatować|radzić|dysputować	uradzić
dysponować|gospodarować|rozporządzać|mieć do dyspozycji|gospodarzyć się|rządzić się|gospodarzyć	rozdysponowywać
dysponować|gospodarować|rozporządzać|mieć do dyspozycji|gospodarzyć się|rządzić się|gospodarzyć	mieć|być w posiadaniu|posiadać
działać|operować	podziałać
dziwić|zadziwiać|zdumiewać|zaskakiwać	podchodzić|zachodzić
telefonować|dzwonić|przedzwaniać	wydzwonić
telefonować|dzwonić|przedzwaniać	wydzwaniać
telefonować|dzwonić|przedzwaniać	dodzwonić się
telefonować|dzwonić|przedzwaniać	dodzwaniać się
dofinansowywać|dawać dotację|doinwestowywać	oddłużać
formułować|wyrażać|ujmować|artykułować	rozwlekać
formułować|wyrażać|ujmować|artykułować	rzucać
formułować|wyrażać|ujmować|artykułować	zauważać
gadać|gawędzić	zagadać się
gadać|gawędzić	ugadać się|nagadać się
gadać|gawędzić	pogadać|pogawędzić|pogwarzyć
gadać|gawędzić	zagadywać
grać	pograć
grać	wybijać
grać	wybić
grać	występować
grać	dogrywać
grać	dograć
grać	odgrywać się
grać	wyrównywać
grać	wyrównać
grać	pograć
grać	nagrać się
grać	rozegrać się
grać	odegrać się|powetować sobie
gromadzić się|grupować się	wylegać|wysypywać się
gromadzić|zbierać	kwestować|chodzić po kweście
gromadzić|zbierać	kolędować
gromadzić|zbierać	pozbierać|zebrać do kupy
głosować	wybrać|obrać
głosować	wybierać|obierać
głosować	przegłosowywać
głosować	przegłosować
interpretować|rozumieć	wnioskować|konkludować|dochodzić do wniosku|wnosić|wyciągać wniosek|wyrozumowywać|wysnuwać wniosek
kroczyć	wkroczyć
kroczyć	wkraczać
jechać	rozjeżdżać się
jechać	rozjechać się
jechać	ujechać się|najechać się
jechać	przemierzyć
jechać	wjechać
jechać	wjeżdżać
jechać	wjechać
jechać	wjeżdżać
jechać	wjechać
jechać	wjeżdżać
jechać	przejeżdżać
jechać	przejechać|rozjechać
jechać	podjechać
jechać	podjeżdżać
jechać	nadjechać
jechać	nadjeżdżać
jechać	zjeżdżać
jechać	wyprzedzić|poprzedzić|przegonić|prześcignąć
jechać	pilotować
jechać	przejechać
jechać	przejeżdżać
jechać	odjechać
jechać	odjeżdżać
jechać	odskoczyć
jechać	przemierzać
jechać	wyprzedzać|przeganiać|prześcigać
jechać	ujechać|przejechać
jeździć	ujeździć
jeździć	ujeżdżać
jeździć	ujeździć
jeździć	rozjeżdżać
jeździć	rozjeździć
jeździć	pojeździć
jeździć	pojeździć|przejechać się
jeździć	rozjeżdżać
jeździć	objeżdżać
jeździć	ujeżdżać
kontaktować się|komunikować się|porozumiewać się	utrzymywać
kontaktować się|komunikować się|porozumiewać się	utrzymać
kontaktować się|komunikować się|porozumiewać się	przestawać|obcować|zadawać się
kopać	pokopać
kopać	skopać|pokopać|wkopać
kopać	wkopywać
kopać	rozkopać się
kopać	rozkopywać się
kopać	rozkopać
kopać	rozkopywać
kopać	skopywać
kopać	skopać
wykopywać|kopać	odkopać się
wykopywać|kopać	odkopywać się
wykopywać|kopać	wkopać się
wykopywać|kopać	wkopywać się
wykopywać|kopać	wkopać
wykopywać|kopać	wkopywać
wykopywać|kopać	rozkopać
wykopywać|kopać	rozkopywać
wykopywać|kopać	wykopywać
wykopywać|kopać	odkopać
wykopywać|kopać	odkopywać
wykopywać|kopać	podkopać się
wykopywać|kopać	podkopywać się
wykopywać|kopać	podkopać
wykopywać|kopać	podkopywać
wykopywać|kopać	wykopać
używać	przejaskrawiać
krążyć|kręcić się|kluczyć	pokręcić się|pokrążyć
wiercić się|kręcić się	powiercić się|pokręcić się
kłamać|łgać|bujać|rozmijać się z prawdą|mijać się z prawdą	wyłgiwać się
kłamać|łgać|bujać|rozmijać się z prawdą|mijać się z prawdą	wyłgać się
kręcić|obracać|okręcać	rozkręcać
kręcić|obracać|okręcać	rozkręcić
kręcić|obracać|okręcać	nakręcić
kręcić|obracać|okręcać	nakręcać
kręcić|obracać|okręcać	nakręcić
kręcić|obracać|okręcać	nakręcać
