uspokoić się|wyciszyć się	spokojny
skupić się|skoncentrować się	skupiony
umrzeć|skonać|zemrzeć|odejść|zgasnąć|wyzionąć ducha|dokonać żywota|dokonać życia|rozstać się z życiem|pożegnać się z życiem|pożegnać się ze światem|przenieść się na tamten świat|przenieść się do wieczności|przenieść się do lepszego świata|przenieść się na łono Abrahama|zakończyć życie|zasnąć na wieki|zasnąć snem wiecznym	martwy|nieżywy|zimny
uzależnić się	zależny
wzbogacić się|dorobić się|zbić majątek	bogaty|zamożny|majętny|możny
zbiednieć|zubożeć|popaść w niedostatek	biedny|ubogi|bidny
upodobnić się	podobny
uprawomocnić się	obowiązujący
zarysować się|zaznaczyć się	widoczny
oprzytomnieć|ocknąć się|ocucić się	świadomy|przytomny
rozrywać się|rozdzierać się|drzeć się	rozerwany
zsinieć|posinieć	siny|posiniały|zsiniały
zaczerwienić się|spąsowieć|spurpurowieć|poczerwienieć|zapłonić się	czerwony
sczerwienieć	czerwony
sczerwienieć	czerwony
zblednąć|zbladnąć|pobieleć	bielszy
zblednąć|zbladnąć|pobieleć	blady
przyjść do równowagi|dojść do siebie|przyjść do siebie	chłodniejszy
wyzdrowieć|wydobrzeć|dojść do siebie|dojść do zdrowia|stanąć na nogi|wrócić do zdrowia|ozdrowieć	zdrowy
zachorować|rozchorować się|zapaść|pochorować się|zaniemóc	chory
osłabnąć|zasłabnąć|zaniemóc|zwątleć	słabszy
obumrzeć|zamrzeć|zmartwieć	martwy|nieżywy|zimny
ucichnąć|zamrzeć|zamilknąć|umilknąć	cichszy
ucichnąć|zamrzeć|zamilknąć|umilknąć	cichy
znieruchomieć|zamrzeć|zmartwieć|zastygnąć|zakrzepnąć	nieruchomy
zepsuć się	zepsuty|popsuty
zdystansować się	niepochlebny
zmęczyć się|sforsować się|umęczyć się|znużyć się	zmęczony
wysuszyć się|wyschnąć|zeschnąć	suchy
wyprostować się|rozprostować się	prosty
spleśnieć|zakwitnąć|zapleśnieć	spleśniały|zapleśniały
skrzywić się|wykoślawić się|wykrzywić się|zakrzywić się	krzywy
zmoknąć|zmoczyć się|zamoknąć	mokry
wydorośleć|dojrzeć|dorosnąć|podrosnąć	dorosły
zdziecinnieć|zinfantylnieć|zinfantylizować się	dziecinny|infantylny
zmniejszyć się|zmaleć|pomniejszyć się	mniejszy
powiększyć się|rozrosnąć się|zwiększyć się	większy
upić się|opić się|spić się|upoić się|zaprawić się|zakropić się|zapić|doprawić się|popić	pijany
przewyższyć|przerosnąć	wyższy
przewyższyć|przerosnąć	większy
przerosnąć	przerośnięty
osłabnąć|zelżeć|zwątleć	słaby
ucichnąć|uspokoić się|uciszyć się	cichszy
ucichnąć|uspokoić się|uciszyć się	cichszy
ściemnić się|przygasnąć|przyćmić się	ciemniejszy
wywyższyć się|zadrzeć nosa	pyszny|zadufany|zadufały
pogorszyć się	gorszy
przewyższyć|przebić	lepszy
rozwinąć się	pełny|pełen
popuścić pasa	rozrzutny
zgrubieć|pogrubieć	gruby|spasły
opalić się	opalony
przyrumienić się	rumiany|krwisty|zaróżowiony
uwypuklić się|wypuczyć się|wysklepić się	wypukły
nasilić się|wzmóc się|narosnąć|spotęgować się|stężeć|wzrosnąć|rozrosnąć się	nasilony|narosły
zapaść się|wpaść	zapadły
zgęstnieć	gęsty
stwardnieć|utwardzić się	twardszy
zastygnąć	zastygły|zakrzepły
schudnąć|wyszczupleć|stracić na wadze	chudszy
zmizernieć	mizerny
zgnić	zgniły
popracować nad sobą	doskonalszy
zziębnąć|przemarznąć	zziębły|zziębnięty|wyziębły
postarzeć się|zestarzeć się|postarzeć	zestarzały
sformułować się	sformułowany
zdrożeć|podrożeć	droższy
uczynnić	czynny|aktywny
wyleczyć się|wykurować się	zdrowy
wygłupić się	śmieszny
wyjść na jaw|ujawnić się|wyjść na światło dzienne|wydać się	jawny
spłycić się	płytki|niegłęboki
pogłębić się	wnikliwy|dogłębny
umocnić się	trwały
urosnąć	większy
urosnąć	wyższy
utrwalić się	trwały
stanieć|potanieć	tańszy
rozpowszechnić się|rozprzestrzenić się	powszechny|rozpowszechniony
spowszednieć|spospolicieć	pospolity
zbanalizować się	banalny
zajść w ciążę	ciężarny
ustalić się	trwały
ustalić się	trwały
wyklarować się	przezroczysty|klarowny|przejrzysty|czysty|przeźroczysty
wyjaśnić się|wyklarować się	zrozumiały|przystępny|jasny|klarowny|przejrzysty
rozweselić się|rozchmurzyć się|rozpogodzić się|wypogodzić się|poweseleć	wesoły
posmutnieć|zesmutnieć|nachmurzyć się|osowieć|zasępić się|sposępnieć|zamroczyć się|zasmucić się|zmarkotnieć	smutny
zagrać	widoczny
przeminąć	miniony
przedłużyć się|wydłużyć się	dłuższy
odblokować się	dostępny
oślepnąć|ociemnieć|poślepnąć	ociemniały|oślepły|poślepły
oślepnąć|ociemnieć|poślepnąć	niewidomy|niewidzący|ślepy
ogłuchnąć	głuchy|niesłyszący
spoważnieć	poważny
zjaśnieć	jasny
zblaknąć|zblednąć|zbladnąć|spłowieć|spełzać|spełznąć|wypełzać|wypełznąć|wypłowieć|zmatowieć|wyblaknąć	wyblakły|poblakły|spłowiały|wypłowiały|przyblakły|spełzły|wypełzły|wyszarzały|zblakły|zmatowiały|bezbarwny
zesztywnieć	twardy|niegiętki|sztywny|nieelastyczny|niesprężysty
skapcanieć|zdziadzieć	zdziadziały
zramoleć|zgrzybieć	zramolały|zgrzybiały
zgorzknieć	gorzki
zgorzknieć|skwaśnieć	kwaśny
zgorzknieć|skwaśnieć	zgorzkniały
skwaśnieć	skisły|zakisły
wyodrębnić się|odciąć się|wydzielić się	osobny|odrębny|oddzielny
ujednolicić się	jednolity|niezróżnicowany|jednorodny|homogeniczny|jeden
przydać się|zdać się	użyteczny
złagodnieć	łagodniejszy
spokornieć|spotulnieć	pokorny|korny
schamieć|zordynarnieć|zgburowacieć	gburowaty|gburny
zgarbacieć	garbaty
stracić|źle wyjść	stratny
zyskać	lepszy
zawierzyć|zaufać|uwierzyć	przekonany|pewny|pewien
obrazić się|zapamiętać się|urazić się	obrażony
stępić się	nieostry|tępy
roztopić się|stopić się	ciekły|płynny
narosnąć	narosły
upewnić się	przekonany|pewny|pewien
pochylić się|skłonić się|zniżyć się	niższy
dobiec|nadpłynąć	słyszalny
przekwitnąć	przekwitły
zwiędnąć	zwiędły|uwiędły|zwiędnięty|powiędły
zestarzeć się	stary
zestarzeć się	stary|nienowy
unieważnić się	nieważny
zdezaktualizować się|przedawnić się	nieaktualny
zdezaktualizować się|przedawnić się	niewspółczesny
zestarzeć się	zestarzały
zestarzeć się	przestarzały|wczorajszy|przedwczorajszy
zzielenieć|zazielenić się	zielony
zabarwić się	barwny|kolorowy
dojrzeć	dojrzały
