urodzić	matka|mama|rodzicielka
zbankrutować|splajtować	bankrut
doktoryzować się	doktor
spaść się|upaść się|rozeżreć się	spaślak
zwęglić się	węgiel
spopielić się|spopieleć	popiół
spowinowacić się|skoligacić się	powinowaty|spowinowacony
spowinowacić się|skoligacić się	powinowata|spowinowacona
skrystalizować się|wykrystalizować się	kryształ|ciało krystaliczne|kryształek
ukończyć|skończyć	absolwent|wychowanek
otrzymać	odbiorca
podzielić	przeszkoda
oślepnąć|ociemnieć|poślepnąć	ociemniały
ogłuchnąć	głuchy|niesłyszący
spienić się|zapienić się	piana|pianka
zgalaretowacieć	galareta
zawrzeć znajomość|zapoznać|poznać się|zaznajomić się|zapoznać się|zawrzeć	znajomy
zramoleć|zgrzybieć	ramol|stary piernik|grzyb|pierdziel|piernikarz
zgorzknieć|skwaśnieć	zgorzknialec
schamieć|zordynarnieć|zgburowacieć	prostak
odezwać się|przemówić	mówiący
zrolować się	rulon
wyparować	para|opar
wyłysieć	łysy
skurwić się	kurwa
upodlić się|spodlić się	łajdak|łotr|podlec|szuja|drań|kanalia|niegodziwiec|nikczemnik|nędznik|szubrawiec|bezecnik|dziecko Beliala
zeszmacić się	szmaciarz|szmata|ludzka szmata
skurwić się	kurwa|kurwiszcze|kurwiszon|małpa|ścierka|wycieruch|wyciruch|lafirynda|dziwa|wycierus
zbratać się	brat
wyemigrować	emigrant|ekspatriant|tułacz
przesiedlić się	przesiedleniec
zgłupieć	głupek|ćwok|idiota|dureń|kretyn|baran|głupi|przygłup|bałwan|bezmózgowiec|półgłówek|pustak|półgłupek|pustogłów|kurzy móżdżek|ptasi móżdżek|głąb kapuściany|bezmózg|barania łąka
obstawić	ochrona
uzależnić się	nałogowiec|uzależniony
zidiocieć	idiota
stracić rozum|zwariować|oszaleć|dostać pomieszania zmysłów	nienormalny|obłąkaniec|pomyleniec|pomylony|szaleniec|wariat|chory na głowę
złożyć się	przyczyna|powód|źródło
zaklasyfikować się|zakwalifikować się|zaliczyć się	kwalifikant
zatonąć|zapaść	nierozdzielność|nierozerwalność|jednolitość|spoistość|nierozłączność|jedność|spójność|jednia|zwartość|koherencja|koherentność
zdezerterować	dezerter
zdezerterować	dezerter
skamienieć	kamień
wejść	członek
zlodowacieć|zamarznąć	lód
skostnieć	tkanka kostna
skarłowacieć|skarleć	karzeł
wyginąć	zwierzę kopalne
wyspecjalizować się	specjalista|profesjonalista|zawodowiec|profesjonał
owdowieć	wdowa
wykupić	właściciel|posiadacz
skołtunić się|skołtunieć	drobnomieszczanin|mieszczanin|kołtun|filister|małomieszczanin
uprzemysłowić się|zindustrializować się	przemysł
zmonopolizować	monopol|monopolista
zeszklić się	szkło
sfrancuzieć	Francuz
