uświęcić	świętość
zdemoralizować|zepsuć|zdeprawować|popsuć	demoralizacja|zgnilizna|zgorszenie|wykolejenie
zdezorganizować	chaos|bezład|dezorganizacja|galimatias|mętlik|entropia
zdegradować	degradacja
oślepić	ociemniały
odstręczyć|zniechęcić|odstraszyć|zrazić	uraz
okaleczyć	kalectwo|inwalidztwo|ułomność
zdeklasować	deklasacja|degradacja społeczna
zdegradować	degradacja|degresja|deprecjacja|dewaluacja
znokautować	nokaut|knock-out
utwardzić	ciało stałe
wydeptać	przejście|komunikacja
wykląć	klątwa|anatema
przekląć	klątwa|przekleństwo
skrystalizować|wykrystalizować	kryształ|ciało krystaliczne|kryształek
rozwieść	rozwodnik
położyć|rozłożyć	niepowodzenie|klapa|fiasko|klęska|katastrofa|koniec|obsuwa
namaścić	pomazaniec
zapoznać|poznać|zaznajomić|spiknąć	znajomy
świsnąć	świst
osierocić	sierota
wpaść|wleźć|wdepnąć	wpadka|wtopa
przesiedlić	przesiedleniec
utłuc	mięso
spopielić	popiół
zaprószyć	pożar|ogień
zapchać|zawalić	moc|zatrzęsienie|nawał|natłok|mnóstwo|mnogość|nawała|wielość
uzależnić	nałogowiec|uzależniony
złożyć się	zrzutka|ściepa|składka|zrzuta
nakręcić	korba|faza|zajob|job
kanonizować	święty
zachcieć się	chęć|ochota|wola|chcenie|apetyt|melodia
usynowić	syn|chłopiec|chłopak
uprzemysłowić|zindustrializować	przemysł
zmonopolizować	monopol|monopolista
