gromadzić|zbierać|grupować|zgromadzać	zgromadzenie|spęd
wnioskować|konkludować|dochodzić do wniosku|wnosić|wyciągać wniosek|wyrozumowywać|wysnuwać wniosek	konkluzja
wałkować	wałek
cywilizować	cywilizacja
rujnować	bankructwo|krach|niewypłacalność|plajta|upadłość
oślepiać	ociemniały
okaleczać	kalectwo|inwalidztwo|ułomność
degradować	degradacja
degradować	degradacja|degresja|deprecjacja|dewaluacja
nokautować	nokaut|knock-out
uświęcać|sakralizować	świętość
utwardzać	ciało stałe
repatriować	repatriant|reemigrant
przesiedlać	przesiedleniec
wydeptywać	przejście|komunikacja
zastraszać	lęk|strach|bojaźń
tłoczyć się|kitłasić się|cisnąć się|gnieść się	tłum|rzesza
krystalizować	kryształ|ciało krystaliczne|kryształek
rozwodzić	rozwodnik
móc|być w stanie|być w mocy	zdolność|potencjał|możliwość
tłuc|zarzynać|bić|rżnąć	mięso
tkać	tkanina
świstać	świst
osierocać	sierota
detonować	wybuch|eksplozja|detonacja
dochodzić	dopłata|dodatek
dochodzić	dodatek|uzupełnienie|dopełnienie
wpadać|włazić|wdeptywać	wpadka|wtopa
zapoznawać|poznawać|zaznajamiać	znajomy
kłaść|rozkładać	niepowodzenie|klapa|fiasko|klęska|katastrofa|koniec|obsuwa
popielić|spopielać	popiół
zapychać|zawalać	moc|zatrzęsienie|nawał|natłok|mnóstwo|mnogość|nawała|wielość
uzależniać	nałogowiec|uzależniony
elektryzować	prąd
dziać	dzianina
składać się	zrzutka|ściepa|składka|zrzuta
beatyfikować	błogosławiony
kanonizować	święty
zachciewać się	chęć|ochota|wola|chcenie|apetyt|melodia
wykrystalizowywać	kryształ|ciało krystaliczne|kryształek
usynawiać|usynowiać	syn|chłopiec|chłopak
buforować	roztwór buforowy|bufor
uprzemysławiać|industrializować	przemysł
zeszklić	szkło
monopolizować	monopol|monopolista
móc	ewentualność|możliwość
koagulować	koagulat
