chwytać|łapać	trzymać
kłaść się	leżeć
przyjmować	dysponować|gospodarować|rozporządzać|mieć do dyspozycji|gospodarzyć się|rządzić się|gospodarzyć
siadać	siedzieć
ruszać	przemieszczać się|poruszać się|przenosić się
wylatywać|startować	lecieć
stawać się|zmieniać się|robić się|zostawać	być|to
stawać się|zmieniać się|robić się|zostawać	być
izolować się|odizolowywać się|odosabniać się	unikać|stronić
wprowadzać się|sprowadzać się	mieszkać|rezydować|zamieszkiwać
pojawiać się|występować	być|znajdować się
zatrzymywać się|stawać	stać
zapalać się	palić się|płonąć
zasypiać|usypiać	spać
czerwienić się|czerwienieć|pąsowieć|płonić się|purpurowieć|kraśnieć|zaczerwieniać się	wyrażać|okazywać|uzewnętrzniać|objawiać
startować	ścigać się
klękać	klęczeć
stawać	stać
przyłączać się|dołączać|doszlusowywać|szlusować|dochodzić	towarzyszyć|sekundować|asystować|akompaniować
zamykać buzię na kłódkę|zamykać gębę na kłódkę|zamykać mordę na kłódkę|przymykać się|zamykać się|stulać się|przytykać się	trzymać buzię na kłódkę|trzymać mordę na kłódkę|trzymać gębę na kłódkę
rozwijać	atakować|nacierać|iść|najeżdżać|napierać|szturmować|uderzać
rozwijać się	atakować|nacierać|iść|najeżdżać|napierać|szturmować|uderzać
brać w cugle|brać w karby|brać w ryzy	trzymać krótko|trzymać w rygorze|trzymać w posłuszeństwie|trzymać w cuglach|trzymać w karbach|trzymać w ryzach
ruszać	funkcjonować|działać|chodzić|być na chodzie|iść|pracować
napoczynać|naruszać|ruszać	zużywać
brać pod pantofel	trzymać pod pantoflem
iść w ślady|iść śladem|wstępować w ślady	naśladować|wzorować się|brać przykład|brać wzór|iść za przykładem|iść za wzorem|imitować|odtwarzać
upodabniać się|upodobniać się	przypominać
rozpromieniać się|rozjaśniać się|rozświetlać się|opromieniać się	emanować|promieniować|promienieć|jaśnieć
zarażać się	chorować|cierpieć|niedomagać|szwankować|szwankować na zdrowiu
zagadywać|zagabywać	rozmawiać|dialogować|mówić
zaskakiwać|odblokowywać się	funkcjonować|działać|chodzić|być na chodzie|iść|pracować
wyrywać	rwać
zagrywać	grać
gubić się|zawieruszać się|zapodziewać się	błądzić|błąkać się
dostrzegać	widzieć
odpalać	funkcjonować|działać|chodzić|być na chodzie|iść|pracować
przechodzić	działać|operować
przechodzić	robić _DZIAŁANIE_
intonować	śpiewać|odśpiewywać
zapanowywać	panować
pokonywać|przezwyciężać|przemagać|przełamywać|zwyciężać	zapanowywać
powracać|wracać	kontynuować|ciągnąć
powracać|wracać	być|istnieć|egzystować
siadać	siedzieć
przestraszać się|tchórzyć|wystraszać się	bać się|lękać się|obawiać się|drżeć|mieć boja
włączać	gotować|kucharzyć|pitrasić|pichcić|warzyć
zaczynać	pisać
zaczynać	mówić
wybuchać	wyrażać|okazywać|uzewnętrzniać|objawiać
odzywać się|przemawiać	mówić
wchodzić	iść
wchodzić	zaliczać się
rozśpiewywać się	śpiewać|odśpiewywać
rozszczekiwać się	szczekać
nawracać się	wyznawać
wzburzać się	burzyć się
nasuwać się	pokrywać|okrywać
zawisać	wisieć|zwisać|zwieszać się
zawisać	wisieć|zwisać|zwieszać się
przyczepiać się	przywierać|przylegać
rozchorowywać się|zapadać	chorować|cierpieć|niedomagać|szwankować|szwankować na zdrowiu
zaprzyjaźniać się	przyjaźnić się
wtrącać	więzić
spajać się	przywierać|przylegać
rozbłyskać|rozbłyskiwać	błyszczeć|świecić się|świecić|lśnić|połyskiwać|jaśnieć|lśnić się|błyszczeć się|jarzyć się|promienieć|szklić się|żarzyć się
rozbłyskać|rozbłyskiwać	błyszczeć
rozjarzać się|rozżarzać się	żarzyć się
rozjarzać się	wyrażać|okazywać|uzewnętrzniać|objawiać
utożsamiać się	znaczyć|oznaczać
monopolizować	dominować|przeważać|górować
uzależniać się	podlegać
obsiadać|obłazić	pokrywać|okrywać
pojawiać się	być|istnieć|egzystować
skręcać się	kręcić się|skręcać się|wić się
wypływać	wyróżnić się|wyodrębnić się
zaskakiwać|załapywać	kumać|czaić|chwytać|łapać|kapować|jarzyć|kontaktować
rodzić się|przychodzić na świat	żyć
rozdzwaniać się	dzwonić
rozkwilać się	płakać|wylewać łzy|lać łzy|ronić łzy
rozkwilać się	kwilić
zagnieżdżać się|zalęgać się|zakładać legowisko	gnieździć się
osiągać	charakteryzować się|cechować się|posiadać|odznaczać się|nosić|mieć
skłębiać się	kłębić się|kotłować się
chwytać się|łapać się|czepiać się	trzymać się|przytrzymywać się
rozwibrowywać się	wibrować
rozmarzać się	marzyć|fantazjować|roić|śnić
zagotowywać się	wrzeć|gotować się
wykupywać	korzystać|zyskiwać|ciągnąć zyski|czerpać korzyści|dobrze wychodzić
tęchnąć	śmierdzieć|cuchnąć|jechać
nabzdyczać się	dąsać się|mieć muchy w nosie|boczyć się
pokwapić się|zapalić się	palić się|kwapić się
roziskrzać się	iskrzyć się|skrzyć się|skrzyć
zaczerniać się	ciemnieć|czernić się
zaczerniać się|czernieć|zaciemniać się	czernieć|czernić się
przypadać do gustu	podobać się
siadać	siedzieć
stawać	stać
stawać	stać
stawać	stać
stawać	stać
stawać	stać
stawać	stać|stać sztorcem
iść na udry	kłócić się|wadzić się|waśnić się|sprzeczać się
dostawać hopla|dostawać kota|dostawać kręćka|dostawać szmergla|bzikować|świrować	mieć hopla|mieć kota|mieć kręćka|mieć szmergla
