pulsować|bić|tętnić	zabić
ginąć|padać|tracić życie|zabijać się	zginąć|ponieść śmierć|stracić życie|zabić się
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	strzelić|wystrzelić|palnąć|wypalić|kropnąć|łupnąć|przygrzać|rąbnąć|puknąć|walnąć|wygarnąć|dogrzać
trząść|potrząsać|wstrząsać	wstrząsnąć|potrząsnąć
wygrywać|zwyciężać|pokonywać	wygrać|zwyciężyć|pokonać
wypadać|wylatywać	wypaść|wylecieć
radzić się|zasięgać rady	poradzić się|zasięgnąć rady
poczynać sobie|pogrywać|pogrywać sobie	pograć
buchać	buchnąć
migać	mignąć
dostawać|obrywać|dostawać łupnia|zbierać	dostać|oberwać|dostać łupnia|zebrać
uprawiać seks|sypiać|chodzić do łóżka|iść do łóżka|kochać się|grzeszyć	pójść do łóżka|przespać się
konsultować|konsultować się	skonsultować się|skonsultować
cmokać	cmoknąć
ćwierkać|świergotać|świergolić|ciurkać	ćwierknąć
szczekać	szczeknąć
zawodzić|łkać|jęczeć	jęknąć
tłuc|przydzwaniać|przywalać|przygrzewać|dogrzewać|łupać|rypać|rżnąć	przywalić|przydzwonić|przygrzać|wyrżnąć|przyrżnąć|przyładować|łupnąć|rypnąć|gruchnąć|bachnąć|dogrzać
obsypywać|osypywać	obsypać|osypać
zaliczać|przelatywać|pukać|dmuchać|stukać|pykać|bzykać	dmuchnąć|bzyknąć|przelecieć|zaliczyć|pyknąć|puknąć|stuknąć|grzmotnąć
uczulać|alergizować	uczulić
uczulać|uwrażliwiać|wyczulać	uczulić|uwrażliwić|wyczulić
potykać się	potknąć się
szczękać	szczęknąć
zwiewać|nawiewać|pryskać	zwiać|prysnąć|nawiać
bekać	beknąć
mlaskać|ciamkać	mlasnąć
cykać	cyknąć
beczeć	beknąć
derkać	derknąć
gęgać|gęgotać	gęgnąć
gdakać	gdaknąć
kukać	kuknąć
kwiczeć|kwikać	kwiknąć
miauczeć	miauknąć
warczeć	warknąć
skrzypieć	skrzypnąć
zgrzytać	zgrzytnąć
kłapać|plaskać|klapać	kłapnąć|plasnąć|klapnąć
trzepotać|trzepotać się	zatrzepotać
potykać się	potknąć się
uderzać|zadawać cios|zadawać raz|wymierzać|dawać łupnia	uderzyć|zadać cios|zadać raz|dać|wymierzyć|dać łupnia
dziobać|dzióbać	dziobnąć|dzióbnąć
zginać|przyginać|naginać|giąć|uginać	zgiąć|przygiąć|nagiąć|ugiąć
chrzęścić|chrzęszczeć|chrupać	chrząsnąć|chrząstnąć|chrzęsnąć|chrzęstnąć|chrupnąć
chodzić	pójść
potakiwać|przytakiwać	przytaknąć|potaknąć
docinać|przygadywać|przycinać|przymawiać|przygryzać|dogadywać|przytykać	dociąć|przygadać|przyciąć|przymówić|dogadać|przygryźć|przytknąć
wyrywać się|wywijać się	wyrwać się|wywinąć się
zaczepiać|zahaczać	zaczepić|zahaczyć
pociągać	pociągnąć
porozdzielać	przedzielić|rozdzielić
wierzgać|fikać	wierzgnąć|fiknąć
stawiać się|wierzgać|podskakiwać|fikać|szurać	fiknąć|podskoczyć|wierzgnąć|szurnąć
merdać	merdnąć
świstać|świszczeć	zaświstać
brać do buzi	wziąć do buzi
tykać|cykać	tyknąć|cyknąć
rzucać	rzucić
rzucać	rzucić
rzucać	rzucić
rzucać	rzucić
doświadczać|poddawać próbie|wypróbowywać	doświadczyć|poddać próbie|wypróbować
wychodzić	udać się|wyjść
wychodzić	wyjść
dochodzić	dojść
odrzucać	odrzucić
zacinać się|jąkać się|zająkiwać się|stękać	zaciąć się|zająknąć się|stęknąć
zasięgać opinii	zasięgnąć opinii
zdążać	zdążyć
używać|korzystać|posługiwać się|wykorzystywać|stosować	użyć|posłużyć się|zastosować|wykorzystać|skorzystać
spotykać	spotkać
dopadać|spadać|walić się|zwalać się	dopaść|spaść|zwalić się
zapominać	zapomnieć
zapominać|wylatywać z głowy	zapomnieć|wylecieć z głowy
nawiedzać|ogarniać	nawiedzić|ogarnąć
doczekiwać się|doigrywać się	doczekać się|doigrać się
chrobotać	chrobotnąć
hukać	huknąć
stukać	stuknąć
grzmocić	grzmotnąć
mówić	powiedzieć
zakochiwać się	zakochać się|wpaść|rozkochać się
tracić	stracić
obrażać się|pamiętać|zapamiętywać się|urażać się	obrazić się|zapamiętać się|urazić się
podbudowywać	podbudować
fukać|prychać|parskać	fuknąć|prychnąć|parsknąć
kwakać	kwaknąć
chrząkać|chrumkać	chrząknąć|chrumknąć
brzęczeć|brząkać|brzękać	brzęknąć|brząknąć
szczekać	szczeknąć
szczekać	szczeknąć
zataczać się	zatoczyć się
przesypiać	przespać
przełazić	przeleźć
wywijać się|odwijać się	wywinąć się|odwinąć się
unikać	uniknąć
migać|przemykać	mignąć|przemknąć|szurnąć
migać	mignąć
migać	mignąć
odsłaniać się	odsłonić się
zapobiegać	zapobiec|zapobiegnąć
przełamywać się|łamać się	przełamać się
zawisać	zawisnąć
zawisać	zawisnąć
dziedziczyć	odziedziczyć
rozchorowywać się|zapadać	zachorować|rozchorować się|zapaść|pochorować się|zaniemóc
wygrywać	wygrać
emigrować	wyemigrować
zmiękczać	zmiękczyć
zapodawać	zapodać
zapodawać	zapodać
rozjarzać	rozjarzyć
odznaczać	odznaczyć
spalać	spalić
nabierać się	nabrać się|naciąć się|oszukać się|zwieść się|sparzyć się
fikać	fiknąć
tłuc się|pryskać|rozpryskiwać się|rozbryzgiwać się	rozbić się|strzaskać się|zbić się|stłuc się|prysnąć|rozprysnąć się|rozbryznąć się|rozbryzgać się
dogrzewać	dogrzać
zawalać	zawalić
zawalać	zawalić
folgować	pofolgować|sfolgować
podfruwać	podfrunąć
uniewinniać	uniewinnić
uniewinniać	uniewinnić
zbiegać się	zbiec się|zbiegnąć się
popisywać	popisać
bzykać|bzyczeć	bzyknąć
obrażać	obrazić
powoływać	powołać
przepłakiwać	przepłakać
zamyślać się	zamyślić się
zamachiwać się	zamachnąć się
przepływać	przepłynąć
siorbać	siorbnąć
siąkać|siorbać|pociągać	siąknąć|siorbnąć|pociągnąć
upijać|nadpijać	upić|nadpić
przytupywać	przytupnąć
usadzać	usadzić
zasięgać	zasięgnąć
odbijać	odbić
zapominać się	zapomnieć się
mruczeć	mruknąć
wysączać	wysączyć
rzygać	rzygnąć
rzygać	rzygnąć
wkurwiać się|wkurzać się	wkurwić się|wkurzyć się
brać	posiąść|wziąć
wyślizgiwać się	wyślizgnąć się|wyśliznąć się
obsypywać|osypywać	obsypać|osypać
obsypywać|osypywać	obsypać|osypać
obrzucać	obrzucić
obrzucać mięsem	obrzucić mięsem
obrzucać błotem	obrzucić błotem
przepijać	przepić
sponsorować	zasponsorować
sponsorować	zasponsorować
wyuczać się	wyuczyć się
wyuczać	wyuczyć
wyuczać	wyuczyć
dziobać|dzióbać	dzióbnąć|dziobnąć
dziobać|dzióbać|skubać	dziobnąć|dzióbnąć|skubnąć
dziobać|dzióbać	dziobnąć|dzióbnąć
podszeptywać	podszepnąć
przejeżdżać się	przejechać się
dożywiać się	dożywić się
klaskać	klasnąć
przeliczać się	przeliczyć się
wznawiać się	wznowić się
chędożyć|ciupciać|obcować	wychędożyć|wyciupciać
chlupać|chlupotać|pluskać	chlupnąć
szurać	szurnąć
rozbijać się	rozbić się
rozbijać się	rozbić się
rozbijać się	rozbić się
rozbijać się	rozbić się
napotykać	napotkać
ulegać wypadkom	ulec wypadkowi
zadowalać się	zadowolić się|usatysfakcjonować się
pukać	puknąć|stuknąć
bąkać	bąknąć
chrapać	chrapnąć|zachrapać
natykać się|natrafiać|trafiać|wpadać|wchodzić	natknąć się|natrafić|trafić|wpaść|wejść
widywać	zobaczyć|widzieć
łykać	łyknąć
zasłuchiwać się	zasłuchać się
płatać figle	spłatać figla
