pociągający|atrakcyjny|przyciągający	superatrakcyjny
drogocenny	bezcenny
biały	bielutki|bialutki|bieluśki
biedny|ubogi|bidny	niezamożny|niebogaty
blady	bledziutki|bladziutki
bliski|niedaleki|nieodległy	bliziutki
bogaty|zamożny|majętny|możny	przebogaty
brzydki|nieładny|niepiękny	okropny|paskudny
brzydki|nieładny|niepiękny	arcybrzydki
szybki	szybciutki
pełny|pełen	pełniutki
drogi|nietani|wysokopłatny	drogawy
chytry|przebiegły|szczwany	chytreńki
zimny	zimnawy
małomówny|milczący|milkliwy|milczkowaty	cichutki
cichy	cichutki
cichy	cichutki
ciekawy	arcyciekawy
ciemny	ciemniutki
cienki	półgruby
cienki	cieniutki|cieniuśki
zmęczony	skonany|wyczerpany|półżywy|półmartwy|wykończony|zdechły|wpółżywy
czerwony	ultraczerwony
czerwony	czerwoniutki
częsty|nierzadki	ciągły
legalny	półlegalny
czysty	czyściutki
czysty	superczysty
delikatny|subtelny	przesubtelny|delikatniutki
doskonały|idealny	przedoskonały|przeidealny
poważny	arcypoważny
dziwny|osobliwy	przedziwny
długi	długaśny
długi	długaśny
fajny|równy|fajowy	fajniutki
fajny|równy|fajowy	świetny|kapitalny
wielki	ogromny
miły	przemiły
miły	milutki|mileńki
głęboki	głębinny
głuchy|niesłyszący	półgłuchy
ograniczony|ciasny	ciaśniutki
jasny	jaśniutki
jednakowy|taki sam|równy|jednoraki|jednaki	równiutki
przezroczysty|klarowny|przejrzysty|czysty|przeźroczysty	czyściutki
konserwatywny	ultrakonserwatywny
krótki|niedługi	krótkawy
krótki|niedługi	krótkawy
łamliwy|kruchy	kruchutki
krytyczny	hiperkrytyczny|superkrytyczny
krótki	krótkawy
letni|ciepławy	ciepły
mądry	przemądry|wszechmądry
litościwy|miłosierny|miłościwy	wszechmiłosierny
silny	przepotężny
silny	mocarny
silny	silniejszy
mokry	mokrutki|mokrzutki
młody	niestary
nędzny|mizerny	mizerniutki
niebieski|niebny	niebieściutki|niebieściuchny
niesmaczny	smaczny
niski|niewysoki	niziutki|niziuśki
sporadyczny	periodyczny|okresowy
niemiły|nieprzyjemny	arcyniemiły
niemiły|nieprzyjemny	arcyniemiły
pijany	pijaniutki
niewidomy|niewidzący|ślepy	ślepawy
zły|niedobry	nieładny
zdrowy	zdrowiutki|zdrowiuteńki
niezwłoczny|bezzwłoczny|natychmiastowy|błyskawiczny|momentalny	odrzutowy
nudny|niezajmujący|nieinteresujący	arcynudny
przestronny|duży	wielki
ostry	palący|ognisty
oszczędny	skąpy
potężny	przepotężny
ważny|istotny	superważny
prosty	prościutki
średni|przeciętny	niezły|niezgorszy
płytki|niegłęboki	płyciutki
płytki	płyciutki
miarowy|równy	równiutki
równy	równiutki
różowy	różowiutki
siwy|osiwiały|przyprószony siwizną|zsiwiały|posiwiały	siwiutki
chytry	chytreńki
chętny|ochotny	zdecydowany
śmieszny|zabawny|ucieszny|komiczny	prześmieszny|przekomiczny|przezabawny
spory	duży|niemały
zdecydowany	apodyktyczny|arbitralny
straszny|okropny|straszliwy|potworny|okrutny|szatański|piekielny|nieludzki|nieboski|diabelski|nieczłowieczy	przestraszny|przeokropny
zimny	lodowaty
wygodny|komfortowy	superkomfortowy
mdławy	mdły|mdlący
niedrogi|tani	taniutki
gruby|spasły	tłuściuchny
gruby|spasły	grubaśny|grubachny
gruby|spasły	opasły
tłusty	tłuściutki
tłusty	tłuściuchny
dawny|dawniejszy	pradawny
słabowity|wątły	wątlutki
przychylny	przyjazny
wilgotny	mokrawy
wysoki	niebosiężny|niebotyczny|podniebny
zadowolony|rad	zachwycony
zazdrosny	zawistny
zdrowy	zdrowiutki|zdrowiuteńki
zwinny|zgrabny|zręczny|lekki	leciutki
niedojrzały	dojrzały
zielony	zieloniutki|zieloniuchny|zieleniuchny
smaczny	smakowity
słynny|sławny	przesławny
żółty	żółciutki
miły	milutki
miły	przemiły
