akademik	dom akademicki
alergia	krzyżowo
aresztować	zaaresztować
asygnować	wyasygnować
bariera	okluzyjny
baron	baron
baśń	baśniowo
baśń	baśniowo
baśń	baśniowy
bezrobotny	robota
bliźniak	bliźniaki
ból	bolenie
ból	bolenie
bolszewik	bolszewicy
budżet	kredyt budżetowy
chemiczny	chemicznie
chłop	chłopi
czort	czortowski
czoło	naczelny
damski	po damsku
doktor	doktor
dom	domowy
domownicy	domownik
dotykać	dotyk
dowodzić	demonstratywny
dr	doktor
duszny	dusznota
duszny	duchota
duszny	zaduch
dysproporcja	dysproporcjonalność
dziadek	dziadkowie
dziecko	dzieci
dzielnica	dzielnicowy
dziewczę	dziewczyna
dziewczyna	dziewczę
dźwięk	oddźwięk
elementarny	elementarz
emerytura	emerytura
emerytura	emerytura
emitować	wyemitować
era	eratem
facet	facio
facio	facet
furmanka	furmaństwo
garaż	garażowanie
garaż	garażować
garbarnia	garbarz
garnek	garncarstwo
gazda	gazdy
gość	gościu
graf	graf
hotel	hotelowiec
hrabia	hrabia
imię	imionisko
inaugurować	zainaugurować
informacja	news
interreks	interregnum
inżynier	inżynier
jazz	dżez
jegomość	jegomość
kabaret	kabareton
kapitulować	skapitulować
kapral	kapral
karta	gra w karty
kieliszek	kielonek
kielonek	kieliszek
kobieta	kobita
kolej	kolejny
kolejny	kolej
kolekcja	nomokanon
komenda	komendant
komórka	telefon komórkowy
konkurencja	konkurent
kontrola	kontrolowanie
kosz	piłka koszykowa
krewny	krewni
królestwo	królewski
królewski	królestwo
książę	książę
kworum	quorum
las	pracownik leśny
lata	rok
lek	lekarstwo
lekarstwo	lekarz
lekarstwo	lek
lekarz	lekarze
lekarz	lekarstwo
lekki	letki
leźć	łazić
licencjat	licencjat
lico	bezlicy
lider	leader
linia	nieliniowy
linia	nieliniowy
magister	magister
maj	majny
mania	maniactwo
maniactwo	mania
maszyna	maszynoznawstwo
materiał	materiał
mecz	piłka meczowa
męski	po męsku
mit	mitologia
modły	modlitwa
mózg	mózg
możliwość	możliwości
możliwości	możliwość
mysz	myszka
młodzian	młódź
młodzian	młodzieniec
młodzieniec	młodzian
naczelny	czoło
nafta	naftownictwo
nafta	nafciarstwo
nędza	nędza
news	informacja
news	wiadomość
noc	nokturn
noc	nokturn
noc	nokturn
noga	nóżęta
odbiornik	odbiornik radiowy
odczucie	odczucia
ofiarować	ofertorium
ofiarować	ofiarowywać
oko	oczy
oko	oczodół
opera	opereta
optyka	układ optyczny
organizm	skolit
orkiestra	orkiestrion
ożenek	ożenienie
pielgrzym	pielgrzymka
pielgrzymka	pielgrzym
pieniądz	pieniądze
pieniądze	pieniądz
poczynać sobie	poczynania
poród	prenatalny
poród	postnatalny
poród	perinatalny
północ	północ
południe	południe
prawnik	prawnicy
profesor	profesor
prokurator	prokuratura
prokuratura	prokurator
przemysłowy	półprzemysłowy
psychika	neuropsychiczny
punkt widzenia	widzenie
punkt widzenia	widzieć
pytanie	pytajnik
ręka	manualnie
ręka	manualny
robota	bezrobotny
rodzic	rodzice
rodzice	rodzic
rok	tegoroczny
rok	lata
rzec	odrzeczenie
rzeźba	żywa rzeźba
rzymski	po rzymsku
samotny	sam
ścigać	nieścigniony
siarczek	siarka
siarka	siarczek
skapitulować	kapitulować
sołtys	sołtysostwo
sprzeczny	sprzecznia
stal	ocel
stal	hacel
staruszkowie	staruszek
starzy	stary
strażak	straż pożarna
stryj	stryjo
stwór	stwora
światło	fotodynamiczny
sytuacja	humor sytuacyjny
tasiemiec	tasiemcowy
tata	tato
technika	technicznie
tegoroczny	rok
telefon	telefonia
tlen	tlenek
tlenek	tlen
turecki	po turecku
turecki	po turecku
tyran	tyrania
uzdolnienia	uzdolnienie
wapno	wapno
wiadomość	news
wicher	wichr
widownia	widz
widz	widownia
wieczysty	wieczny
wojewoda	województwo
województwo	wojewoda
województwo	wojewoda
wschód	wschód
wskazywać	demonstratywny
wyasygnować	asygnować
wytwór	wytworzenie
wzgórze	góra
zabawka	norymberszczyzna
zadeklarować	deklarować
zbiór	miara niezwartości
zgredy	zgred
zgromadzenie	gromadzenie
ława	trapeza
łazić	leźć
łuk	obłęk
łuk	obłęk
łuk	obłęk
zboże	zboże
ziemniak	ziemniak
pyra	pyry
gałąź	odgałęziacz
garażować	garaż
posesja	posesoryjny
elektryczność	opór elektryczny
okoliczności	okoliczność
klatka schodowa	schodowy
schodowy	klatka schodowa
zaduch	duszny
południe	południe
góra	góry
góra	wzgórze
gwiazda	stelarny
dzielnicowy	dzielnica
biedak	bidak
głębia	dogłębny
zakończenie	zakończanie
zakończenie	zakańczanie
jelito	rektalny
nerka	nefropatia
cyfra	dygitalny
cyfra	digitalny
dezinformowanie	zdezinformowanie
karabin maszynowy	kaem
moniaki	moniak
tor	międzytorze
drobniaki	drobniak
grosz	grosz
hip-hop	hiphop
chłopi	chłop
młódź	młodzian
hobbysta	hobbista
filologia	filologia
geometria	geometrycznie
brutal	brutalny
duchota	duszny
elementarz	elementarny
kraniec	kraj
kosmetyk	kosmetyka
dżez	jazz
telefon komórkowy	komórka
góry	podgórski
góry	góra
blank	blanki
badanie	zbadanie
odbiornik radiowy	odbiornik
kaem	karabin maszynowy
dziura	dziurowy
siostrzany	siostrzany
Wielka Brytania	brytyjski
dyspozycyjny	dyspozycyjnie
lekki	letki
lekki	letki
lekki	letki
czcionka	czcionka
deklarować	zadeklarować
deklarować	zdeklarować
dogłębny	głębia
doktor	doktór
doktor	dochtor
dziewczyna	dziewka
element	element
generał	generał
kapitan	kapitan
komendant	komenda
kraj	kraniec
lider	leader
marszałek	marszałek
modlitwa	modły
najlepszy	bisowy
ofiarować	ofiarowywać
ofiarować	zaofiarować
ofiarować	ofiarowywać
poziom	poziomy
protest	oprotestowanie
protest	oprotestowywanie
sam	samotny
siedzieć	pozycja siedząca
surowy	blankowy
technika	techniczny
trójka	tryptyk
trójka	tryptyk
widownia	widz
widz	widownia
wieczny	wieczysty
woda	woda
wojewoda	województwo
wyemitować	emitować
pusty	pusty
pusty	pusty
zaaresztować	aresztować
bunt	buntowanie
codzienność	dzień
ćwiczenie	ćwiczenia
dotyk	dotykanie
dotyk	dotykać
odrzucenie	odrzucanie
