trzmiel	trzmiele i trzmielce|trzmiele
bakteria	bakterie
koń|koń domowy	koniowate
list|epistoła	epistolografia
niedźwiedź	niedźwiedziowate
orzeł	orły
sikora	sikorowate|sikory
sokół	sokoły
sowa	sowy
turystyka	turyzm
wirus	wirusy
zając	zającowate|zające
ssak	ssaki
roślina	rośliny
dąb	bukowate
grzyb	grzyby
alga|glon	glony|algi
jesion	oliwkowate
trawa	wiechlinowate|trawy
róża	różowate
owad	owady|insekty
mucha	muchowate
osa	osy właściwe|osy społeczne
kot	kotowate|koty
jeleń	jeleniowate|pełnorożce
sarna|sarna europejska	jeleniowate|pełnorożce
ptak	ptaki
bąk	czaplowate
żmija	żmije właściwe
wąż	węże
gad|gadzina	gady
owocówka jabłkóweczka	zwójkowate|zwójki
ryba	ryby
pies	psowate
zwierzę	zwierzęta
gatunek	rodzaj
ośmiornica	ośmiornice
szczupak|żarłacz|szczupak pospolity	szczupakowate
ryba drapieżna	ryby drapieżne
dialekt|narzecze	dialektologia|gwaroznawstwo
obrządek|liturgia|ryt	liturgika
kręgowiec|organizm wyższy	kręgowce|zwierzęta kręgowe
bezkręgowiec	bezkręgowce
skorupiak	skorupiaki
ananas	bromeliowate|ananasowate|zapylcowate
banan	bananowate
burak	szarłatowate
burak	komosowate
chmiel	konopiowate
czosnek	czosnkowe|czosnkowate
dorsz|wątłusz|dorsz atlantycki	dorszowate|wątłuszowate
fasola	bobowate właściwe|motylkowate właściwe
figowiec|fikus	morwowate
groch	bobowate właściwe|motylkowate właściwe
groszek	bobowate właściwe|motylkowate właściwe
grusza|gruszka	różowate
homar	homary
imbir	imbirowate
karp	karpiowate
konopie	konopiowate
krewetka	krewetki|krewetki właściwe
mak	makowate
makrela|skumbria|makrela atlantycka	makrelowate
marchew|marchewka	selerowate|baldaszkowate
małż	małże
mięczak	mięczaki
mięta	jasnotowate|wargowe
ogórek	dyniowate
ostryga	ostrygowate|ostrygi
owies	owsowe
papryka|pieprzowiec	psiankowate
pieprz	pieprzowate
pietruszka	selerowate|baldaszkowate
pomidor	psiankowate
porzeczka	agrestowate
ryż	wiechlinowate|trawy
seler	selery
śledź	śledziowate
śliwa	różowate
soczewica|soczewica jadalna	bobowate właściwe|motylkowate właściwe
soja	bobowate właściwe|motylkowate właściwe
szparag	szparagowate
szpinak	szarłatowate
szpinak	komosowate
szprot|szprotka|sardynka norweska	śledziowate
tuńczyk	tuńczyki
łosoś	łososie właściwe
robinia|grochodrzew	bobowate właściwe|motylkowate właściwe
lilak|bez	oliwkowate
brzoza	brzozowate
buk	bukowate
cedr	sosnowate
bluszcz	araliowate
chryzantema|złocień	astrowate|złożone
cis	cisowate
cyprys	cyprysowate
goździk	goździkowate
głóg|krategus	różowate
hiacynt	szparagowate
hiacynt	hiacyntowate
irys|kosaciec	kosaćcowate
jabłoń	różowate
jemioła|starzęśla	sandałowcowate
jeżyna	różowate
jodła|jedlina	sosnowate
klon	klonowate
klon	mydleńcowate
koniczyna	bobowate właściwe|motylkowate właściwe
konwalia	szparagowate
leszczyna	brzozowate
lilia	liliowate
mech	mchy
modrzew	modrzewiowe
narcyz	amarylkowate
oset	astrowate|złożone
palma	arekowate|palmy
paproć	paprocie
platan	platanowate
pokrzywa	pokrzywowate
rododendron|różanecznik|azalia	wrzosowate
sitowie	ciborowate|turzycowate
sosna	sosnowe
stokrotka|stokroć	astrowate|złożone
