bratać się|fraternizować się	brat
lodowacieć|zamarzać	lód
kostnieć	tkanka kostna
parować|wyparowywać	para|opar
doktoryzować się	doktor
zwęglać się	węgiel
spopielać się|popielić się	popiół
spowinowacać się|koligacić się|powinowacić się	powinowata|spowinowacona
spowinowacać się|koligacić się|powinowacić się	powinowaty|spowinowacony
przesiedlać się|migrować	przesiedleniec
pustynnieć	pustynia
kończyć	absolwent|wychowanek
krystalizować|krystalizować się|wykrystalizowywać się	kryształ|ciało krystaliczne|kryształek
ślepnąć	ociemniały
głuchnąć	głuchy|niesłyszący
pienić się|spieniać się	piana|pianka
galaretowacieć	galareta
otrzymywać	odbiorca
gorzknieć|kwaśnieć	zgorzknialec
ramoleć|grzybieć	ramol|stary piernik|grzyb|pierdziel|piernikarz
pociągać|przynosić|nieść	przyczyna|powód|źródło
chamieć|ordynarnieć|gburowacieć	prostak
odzywać się|przemawiać	mówiący
rolować się	rulon
upadlać się|spodlać się	łajdak|łotr|podlec|szuja|drań|kanalia|niegodziwiec|nikczemnik|nędznik|szubrawiec|bezecnik|dziecko Beliala
zeszmacać się	szmaciarz|szmata|ludzka szmata
zaprzyjaźnić się	przyjaciel
zaprzyjaźniać się	przyjaciel
głupieć	głupek|ćwok|idiota|dureń|kretyn|baran|głupi|przygłup|bałwan|bezmózgowiec|półgłówek|pustak|półgłupek|pustogłów|kurzy móżdżek|ptasi móżdżek|głąb kapuściany|bezmózg|barania łąka
uzależniać się	nałogowiec|uzależniony
kamienieć	kamień
wchodzić	członek
karłowacieć|karleć	karzeł
wykupywać	właściciel|posiadacz
zakolegować się|zakumplować się	kolega|kamrat|kumpel
kołtunić się|kołtunieć	drobnomieszczanin|mieszczanin|kołtun|filister|małomieszczanin
uprzemysławiać się|industrializować się	przemysł
monopolizować	monopol|monopolista
naturalizować się	obywatel
zawierać znajomość|zawierać|zapoznawać się|zaznajamiać się|poznawać się|zapoznawać|poznawać	znajomy
koagulować	koagulat
