nieżegnięci	żec	ppas:pl:nom.voc:m1.p1:imperf:neg
nieżegnięta	żec	ppas:sg:nom.voc:f:imperf:neg
nieżegniętą	żec	ppas:sg:acc.inst:f:imperf:neg
nieżegniętego	żec	ppas:sg:acc:m1.m2:imperf:neg
nieżegniętego	żec	ppas:sg:gen:m1.m2.m3.n1.n2:imperf:neg
nieżegniętej	żec	ppas:sg:gen.dat.loc:f:imperf:neg
nieżegniętemu	żec	ppas:sg:dat:m1.m2.m3.n1.n2:imperf:neg
nieżegnięte	żec	ppas:pl:nom.acc.voc:m2.m3.f.n1.n2.p2.p3:imperf:neg
nieżegnięte	żec	ppas:sg:nom.acc.voc:n1.n2:imperf:neg
nieżegniętych	żec	ppas:pl:acc:m1.p1:imperf:neg
nieżegniętych	żec	ppas:pl:gen.loc:m1.m2.m3.f.n1.n2.p1.p2.p3:imperf:neg
nieżegniętymi	żec	ppas:pl:inst:m1.m2.m3.f.n1.n2.p1.p2.p3:imperf:neg
nieżegniętym	żec	ppas:pl:dat:m1.m2.m3.f.n1.n2.p1.p2.p3:imperf:neg
nieżegniętym	żec	ppas:sg:inst.loc:m1.m2.m3.n1.n2:imperf:neg
nieżegnięty	żec	ppas:sg:acc:m3:imperf:neg
nieżegnięty	żec	ppas:sg:nom.voc:m1.m2.m3:imperf:neg
nieżgąca	żec	pact:sg:nom.voc:f:imperf:neg
nieżgącą	żec	pact:sg:acc.inst:f:imperf:neg
nieżgącego	żec	pact:sg:acc:m1.m2:imperf:neg
nieżgącego	żec	pact:sg:gen:m1.m2.m3.n1.n2:imperf:neg
nieżgącej	żec	pact:sg:gen.dat.loc:f:imperf:neg
nieżgącemu	żec	pact:sg:dat:m1.m2.m3.n1.n2:imperf:neg
nieżgące	żec	pact:pl:nom.acc.voc:m2.m3.f.n1.n2.p2.p3:imperf:neg
nieżgące	żec	pact:sg:nom.acc.voc:n1.n2:imperf:neg
nieżgących	żec	pact:pl:acc:m1.p1:imperf:neg
nieżgących	żec	pact:pl:gen.loc:m1.m2.m3.f.n1.n2.p1.p2.p3:imperf:neg
nieżgącymi	żec	pact:pl:inst:m1.m2.m3.f.n1.n2.p1.p2.p3:imperf:neg
nieżgącym	żec	pact:pl:dat:m1.m2.m3.f.n1.n2.p1.p2.p3:imperf:neg
nieżgącym	żec	pact:sg:inst.loc:m1.m2.m3.n1.n2:imperf:neg
nieżgący	żec	pact:pl:nom.voc:m1.p1:imperf:neg
nieżgący	żec	pact:sg:acc:m3:imperf:neg
nieżgący	żec	pact:sg:nom.voc:m1.m2.m3:imperf:neg
nieżżeniach	żec	ger:pl:loc:n2:imperf:neg
nieżżeniami	żec	ger:pl:inst:n2:imperf:neg
nieżżenia	żec	ger:pl:nom.acc:n2:imperf:neg
nieżżenia	żec	ger:sg:gen:n2:imperf:neg
nieżżeniem	żec	ger:sg:inst:n2:imperf:neg
nieżżenie	żec	ger:sg:nom.acc:n2:imperf:neg
nieżżeniom	żec	ger:pl:dat:n2:imperf:neg
nieżżeniu	żec	ger:sg:dat.loc:n2:imperf:neg
nieżżeni	żec	ppas:pl:nom.voc:m1.p1:imperf:neg
nieżżeń	żec	ger:pl:gen:n2:imperf:neg
nieżżona	żec	ppas:sg:nom.voc:f:imperf:neg
nieżżoną	żec	ppas:sg:acc.inst:f:imperf:neg
nieżżonego	żec	ppas:sg:acc:m1.m2:imperf:neg
nieżżonego	żec	ppas:sg:gen:m1.m2.m3.n1.n2:imperf:neg
nieżżonej	żec	ppas:sg:gen.dat.loc:f:imperf:neg
nieżżonemu	żec	ppas:sg:dat:m1.m2.m3.n1.n2:imperf:neg
nieżżone	żec	ppas:pl:nom.acc.voc:m2.m3.f.n1.n2.p2.p3:imperf:neg
nieżżone	żec	ppas:sg:nom.acc.voc:n1.n2:imperf:neg
nieżżonych	żec	ppas:pl:acc:m1.p1:imperf:neg
