Abrahamowi	Abraham	subst:sg:dat:m1	1	NCOMPOS	SGJP-EXACT	NCH	CORR
Ab-Rama	Ab-Ram	subst:sg:gen:m1	2	NCOMPOS	NON-SGJP	PN	CORR
Aby	Aba	subst:sg:gen:m1	1	NCOMPOS	NON-SGJP	PN	CORR
Adamowa	Adamów	subst:sg:gen:m3	1	NCOMPOS	SGJP-EXACT	NCH	CORR
Adamowi	Adam	subst:sg:dat:m1	2	NCOMPOS	SGJP-EXACT	NCH	CORR
Agacie	Agata	subst:sg:dat:f	1	NCOMPOS	SGJP-EXACT	NCH	CORR
Agaty	Agata	subst:sg:gen:f	3	NCOMPOS	SGJP-EXACT	NCH	CORR
AGENTA17	AGENT17	subst:sg:acc:m2	1	NCOMPOS	NON-SGJP	PN	CORR
Ajaksem	Ajaks	subst:sg:inst:m1	1	NCOMPOS	NON-SGJP	PN	CORR
Ajnowie	Ajnu	subst:sg:nom:m1	1	NCOMPOS	NON-SGJP	PN	CORR
akcjonarjuszów	akcjonariusz	subst:pl:gen:m1	1	NCOMPOS	NON-SGJP	CW	DIAL
Alberta	Alberto	subst:sg:gen:m1	1	NCOMPOS	SGJP-EXACT	NCH	CORR
Alei	Aleje	subst:pl:gen:f	1	NCOMPOS	NON-SGJP	PN	CORR
Aleksie	Aleksa	subst:sg:loc:f	1	NCOMPOS	NON-SGJP	PN	CORR
Aleksa	Alex	subst:sg:gen:m1	1	NCOMPOS	NON-SGJP	PN	CORR
Alfa	Alf	subst:sg:gen:m1	2	NCOMPOS	SGJP-EXACT	NCH	CORR
al-Mihraniego	al-Mihrani	subst:sg:gen:m1	1	NCOMPOS	NON-SGJP	PN	CORR
al-Qaidy	al-Qaida	subst:sg:gen:f	1	NCOMPOS	NON-SGJP	PN	CORR
Al-Qaidy	Al-Qaida	subst:sg:gen:f	1	NCOMPOS	NON-SGJP	PN	CORR
al-Quaidy	al-Quaida	subst:sg:gen:f	1	NCOMPOS	NON-SGJP	PN	CORR
al-Sadra	al-Sadr	subst:sg:acc:m1	1	NCOMPOS	NON-SGJP	PN	CORR
al-Zawahiriego	al-Zawahiri	subst:sg:acc:m1	1	NCOMPOS	NON-SGJP	PN	CORR
