aniżeli	prep		compar		II			przyimek łączący podstawę porównania z wyrażeniem, które komunikuje zwykle wyższy stopień nasilenia cechy	Była ładniejsza aniżeli jej koleżanka.
bez	prep			gen	II			przyimek komunikujący zwykle brak, nieobecność czegoś lub kogoś	Las bez grzybów. Sukienka bez rękawów. Odejść bez pożegnania.
blisko	prep		Location	gen	II		a	przyimek komunikujący o małej odległości między przedmiotami	Mieszka blisko stacji metra.
blisko	prep	CZAS	Time	gen	II		b	lub między punktami czasowymi	Było już blisko daty wyjazdu.
co	prep		x		II	1		przyimek używany w połączeniach charakteryzujących częstość, z jaką coś się powtarza	Przystawał co krok.
co	prep		compar		II	2		przyimek używany w połączeniach, komunikujących, że przedmioty pod względem danej cechy są tożsame	Krawat tego koloru co koszula
dla	prep			gen		1		przyimek komunikujący o przeznaczeniu obiektu	Film dla młodzieży.
dla	prep	CZEMU	Purpose	gen		2		przyimek komunikujący cel czynności	Tupali nogami dla rozgrzewki.
dla	prep	ARG		gen		3		przyimek wyznaczający obiekt odniesienia komunikowanego sądu, najczęściej osobę, z punktu widzenia której sąd ten jest wydawany	Był to dla mnie rok pełen sukcesów.
dla	prep	CZEMU	Condition	gen		4		przyimek wprowadzający przyczynę jakichś działań	Na dziki polowano dla mięsa.
do	prep			gen	I	1		przyimek komunikujący o przeznaczeniu obiektu	filiżanka do kawy
do	prep	CZEMU	Purpose	gen	I	2		przyimek komunikujący cel czynności	Oddał buty do naprawy.
do	prep		Location Goal	gen	I	3		przyimek komunikujący kierunek ruchu	Skoczył do wody.
do	prep	CZAS	Time Goal/Duration	gen	I	4		przyimek określający czas zakończenia zdarzenia	Spał do południa.
do	prep		x	gen	I	5		przyimek wyznaczający górną lub dolną granicę czegoś	Inflacja spadła do dziesięciu procent.
do	prep		x?	gen	I	6		przyimek komunikujący o rezultacie procesu lub charakteryzujący stopień nasilenia tego procesu	Blacha rozpaliła się do czerwoności.
do	prep	ARG		gen	I	7		przyimek wprowadzający składnik zdania rządzony przez czasownik, przymiotnik, rzeczownik lub określający je	Przywiązał się do dziadka. Był podobny do siostry.
do	prep	LEX		gen	I	8		przyimek wprowadzający samodzielne wypowiedzenia nieoznajmujące, m.in. przekleństwa, formuły grzecznościowe, odezwy	Do diabła! Do zobaczenia! Do broni!
do	prep			gen	I	9		przyimek między liczebnikami oznaczający potęgowanie	Dwa do piątej.
dokoła	prep		Location	gen	II	1		przyimek komunikujący, że to, o czym mowa w zdaniu, ma miejsce ze wszystkich stron czegoś znajdującego się w środku	Dokoła klombów posadzono tulipany.
dokoła	prep		Path	gen	II	1		przyimek komunikujący, że to, o czym mowa w zdaniu, ma miejsce ze wszystkich stron czegoś znajdującego się w środku	Dokoła klombów posadzono tulipany.
dokoła	prep	ARG		gen	II	2		przyimek określający główny temat tego, o czym mowa w zdaniu	Wszystkie jego myśli krążyły dokoła rodzinnego domu.
dzięki	prep	CZEMU	Condition	dat	I			przyimek komunikujący o cechach, faktach lub osobach, które spowodowały, że dana sytuacja jest dla kogoś pomyślna	Uratował się dzięki przytomności umysłu.
jak	prep		compar		II			przyimek wprowadzający wyrażenie porównawcze	Nos miała jak kartofelek.
jako	prep		Attribute		I	1		przyimek wprowadzający określenie roli, jaką pełni jakaś osoba w danych okolicznościach, a także określenie stosunku tej osoby do innych osób	Jako gospodarz spotkania starał się być dla wszystkich życzliwy i miły.
jako	prep		Attribute?		I	2		przyimek wraz z przyłączanym rzeczownikiem wskazujący na okres życia osoby, o której mowa w zdaniu	Jako dziecko przebyła wszystkie choroby zakaźne.
jako	prep	ARG	Theme Source		I	3		przyimek wprowadzający określenie sposobu potraktowania lub oceny danego obiektu lub stanu rzeczy	Takie stany są określane jako depresyjne.
jako	prep		Attribute		I	4		przyimek przyłączający liczebnik porządkowy, który wskazuje na kolejność charakteryzowanego zdarzenia względem innych	Sekretarz komisji przyszedł na zebranie jako pierwszy.
koło	prep		Location	gen	II	1		przyimek komunikujący o małej odległości między przedmiotami	Usiądź koło mnie.
koło	prep		Path	gen	II	1		przyimek komunikujący o małej odległości między przedmiotami	Usiądź koło mnie.
koło	prep	CZAS	Time	gen	II	2		przyimek poprzedzający określenie liczby, ilości, miary lub czasu, który komunikuje, że jest ono przybliżone	Zadzwoniła koło szóstej.
koło	prep			gen	II	2		przyimek poprzedzający określenie liczby, ilości, miary lub czasu, który komunikuje, że jest ono przybliżone	Zadzwoniła koło szóstej.
koło	prep			gen	II	3		przyimek przyłączający nazwę przedmiotu będącego obiektem czynności, o której mowa w zdaniu	Dłubał coś koło zegara.
ku	prep		Location Goal	dat		1		przyimek przyłączający określenie miejsca, w kierunku którego ktoś zmierza lub coś prowadzi	Odwrócił się nagle i ruszył ku drzwiom.
ku	prep	CZEMU	Purpose	dat		2		przyimek przyłączający określenie celu czynności, o której mowa w zdaniu	Nakręcono ten film ku przestrodze młodzieży.
ku	prep			dat		3		przyimek przyłączający określenie czyjegoś stanu wewnętrznego, który wytworzył się w następstwie zdarzenia lub zjawiska, o którym mowa w zdaniu	Ku radości maluchów spadł śnieg.
