Chryste	interj			SGJP
Jezu	interj			SGJP
OK	interj			SGJP
a	interj	emo		SGJP wiki
a fe	interj	emo	mwe	wiki
a kuku	interj		mwe	wiki
a kysz	interj	apel	mwe	wiki
a nuż	interj		mwe	wiki
a nuże	interj		mwe	wiki
a psik	interj		mwe	wiki
a sio	interj	apel	mwe	wiki
aa	interj			SGJP wiki
aaa	interj	emo		wiki
ach	interj	onom		SGJP wiki
ach	interj	emo		SGJP wiki
adieu	interj	apel		SGJP wiki
adios	interj	apel		wiki
aha	interj	emo		SGJP wiki
aha	interj	apel		SGJP wiki
ahoj	interj	apel		SGJP wiki
aj	interj	emo		SGJP wiki
ajajaj	interj	emo		wiki
ajuści	interj			SGJP
akurat	interj	apel		SGJP wiki
ale	interj	emo		SGJP wiki
ale	interj	apel		SGJP wiki
ale-ale	interj		mwe	wiki
ależ	interj	emo		SGJP wiki
ależ	interj	apel		SGJP wiki
alleluja	interj	emo		SGJP wiki
alleluja	interj	apel		SGJP wiki
aloha	interj	apel		wiki
am	interj	emo		wiki
am	interj	apel		wiki
amen	interj	apel		SGJP wiki
ano	interj			SGJP
ap	interj	apel		wiki
apage	interj	apel		wiki
aport	interj	apel		wiki
apsik	interj			SGJP
argh	interj	emo		wiki
at	interj	emo		wiki
au	interj	emo		SGJP wiki
aua	interj	emo		wiki
auu	interj	onom		wiki
auuu	interj			wiki
auć	interj	emo		wiki
ałła	interj			SGJP
ba	interj	emo		SGJP wiki
ba	interj	apel		SGJP wiki
bac	interj	onom		SGJP wiki
bach	interj	onom		SGJP wiki
baj	interj			SGJP
baju	interj			SGJP
bam	interj	onom		SGJP wiki
banzaj	interj	emo		wiki
bara-bara	interj		mwe	wiki
basta	interj	emo		SGJP wiki
basta	interj	apel		SGJP wiki
baś	interj			SGJP
be	interj	emo		SGJP wiki
be	interj	apel		SGJP wiki
bee	interj	onom		wiki
biada	interj	emo		wiki
biada	interj	apel		wiki
biiip	interj	onom		wiki
bim	interj	onom		SGJP wiki
bim-bam	interj	onom	mwe	SGJP wiki
bim-bam-bom	interj		mwe	wiki
bim-bom	interj	onom	mwe	wiki
bingo	interj	emo		wiki
bis	interj	apel		wiki
bla	interj	emo		wiki
ble	interj	emo		wiki
bom	interj	onom		SGJP wiki
bravissimo	interj	emo		SGJP wiki
brawo	interj	emo		SGJP wiki
break	interj			SGJP
brr	interj	emo		SGJP wiki
brrr	interj			wiki
brrum	interj			SGJP
brum	interj	onom		wiki
bryk	interj	onom		SGJP wiki
brzdęk	interj	onom		SGJP wiki
brzęk	interj	onom		wiki
bu	interj	onom		SGJP wiki
buch	interj	onom		SGJP wiki
bul	interj	onom		wiki
bul-bul	interj		mwe	SGJP
bum	interj	onom		SGJP wiki
bum-bum	interj		mwe	wiki
bum-cyk-cyk	interj		mwe	wiki
bums	interj	onom		SGJP wiki
buu	interj	onom		wiki
buu	interj	apel		wiki
bynajmniej	interj			SGJP
bz	interj			SGJP
bzz	interj	onom		SGJP wiki
bzzz	interj			SGJP wiki
bęc	interj	onom		SGJP wiki
bęc-bęc	interj		mwe	wiki
bęk	interj			SGJP
cap	interj	onom		SGJP wiki
caps	interj	onom		wiki
capu	interj			SGJP
cha	interj	onom		SGJP wiki
cha	interj	emo		SGJP wiki
cha! che	interj	emo	mwe	wiki
chap	interj	onom		SGJP wiki
chaps	interj	onom		SGJP wiki
charcia	interj			SGJP
che	interj	onom		SGJP wiki
che	interj	emo		SGJP wiki
che! chi	interj	emo	mwe	wiki
chi	interj	onom		SGJP wiki
chi	interj	emo		SGJP wiki
chi! ekstra	interj	emo	mwe	wiki
chlap	interj	onom		SGJP wiki
chlapu	interj	onom		SGJP wiki
chlast	interj	onom		SGJP wiki
chlip	interj	onom		SGJP wiki
chlup	interj	onom		SGJP wiki
chlupu	interj	onom		wiki
chlust	interj	onom		wiki
chodu	interj	apel		wiki
cholera	interj	emo		SGJP wiki
cholewa	interj	emo		SGJP wiki
choroba	interj	emo		wiki
chrr	interj	onom		wiki
chrum	interj	onom		wiki
chrup	interj	onom		wiki
chrup-chrup	interj		mwe	SGJP
chu	interj	onom		SGJP wiki
ciach	interj	onom		SGJP wiki
ciach-ciach	interj		mwe	wiki
ciach-mach	interj		mwe	wiki
ciachu-ciachu	interj		mwe	wiki
ciao	interj	apel		SGJP wiki
ciap	interj	onom		wiki
ciap-ciap	interj		mwe	SGJP
cie	interj			SGJP
cii	interj	apel		wiki
cip	interj	onom		wiki
