abo	abo:j	conj		daw._dziś_gwar.
aby	aby:c	comp		
acz	acz	comp		przest._dziś_książk.
aczkolwiek	aczkolwiek	comp		
a	a:j	conj		
albo	albo:j	conj		
albowiem	albowiem	comp		
ale	ale:j	conj		
ali	ali	conj		daw.
alias	alias:j	conj		
alić	alić	conj		daw.
aliści	aliści	conj		przest.
ani	ani:j	conj		
aniżeli	aniżeli:j	conj		
atoli	atoli	conj		przest.
aż	aż:c	comp		
aże	aże	comp		
ażeby	ażeby	comp		
bądź	bądź:j	conj		
bo	bo:c	comp		
bowiem	bowiem	comp		
by	by:c	comp		
byleby	byleby:c	comp		
byle	byle:c	comp		
chocia	chocia	comp		daw.
chociaj	chociaj	comp		daw.
chociażby	chociażby:c	comp		
chociaż	chociaż:c	comp		
choćby	choćby:c	comp		
choć	choć:c	comp		
co	co:c	comp		
compactach	compact	subst:pl:loc:m3	nazwa pospolita	
compactami	compact	subst:pl:inst:m3	nazwa pospolita	
compact	compact	subst:sg:acc:m3	nazwa pospolita	
compact	compact	subst:sg:nom:m3	nazwa pospolita	
compactem	compact	subst:sg:inst:m3	nazwa pospolita	
compactom	compact	subst:pl:dat:m3	nazwa pospolita	
compactowi	compact	subst:sg:dat:m3	nazwa pospolita	
compactów	compact	subst:pl:gen:m3	nazwa pospolita	
compactu	compact	subst:sg:gen:m3	nazwa pospolita	
compacty	compact	subst:pl:acc:m3	nazwa pospolita	
compacty	compact	subst:pl:nom:m3	nazwa pospolita	
compacty	compact	subst:pl:voc:m3	nazwa pospolita	
compakcie	compact	subst:sg:loc:m3	nazwa pospolita	
compakcie	compact	subst:sg:voc:m3	nazwa pospolita	
Co	company	brev:pun		
compluviach	compluvium	subst:pl:loc:n2	nazwa pospolita	
compluvia	compluvium	subst:pl:acc:n2	nazwa pospolita	
compluvia	compluvium	subst:pl:nom:n2	nazwa pospolita	
compluvia	compluvium	subst:pl:voc:n2	nazwa pospolita	
compluviami	compluvium	subst:pl:inst:n2	nazwa pospolita	
compluviom	compluvium	subst:pl:dat:n2	nazwa pospolita	
compluviów	compluvium	subst:pl:gen:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:acc:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:dat:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:gen:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:inst:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:loc:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:nom:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:voc:n2	nazwa pospolita	
czy	czy:j	conj		
czyli	czyli:j	conj		
czym	czym	conj		
dopokąd	dopokąd	comp		przest.
dopoki	dopoki	comp		przest.
dopotąd	dopotąd	conj		przest.
dopoty	dopoty	conj		przest.
dopókąd	dopókąd	comp		przest.
dopóki	dopóki	comp		
dopóty	dopóty	conj		
ergo	ergo	conj		
ewentualnie	ewentualnie:j	conj		
gdyby	gdyby:c	comp		
gdybyż	gdybyż	comp		
gdyż	gdyż	comp		
i	i:j	conj		
im	im	comp		
inaczej	inaczej:j	conj		
iż	iż	comp		
iżby	iżby	comp		
iże	iże	comp		przest.
jakby	jakby:c	comp		
jak	jak:j	conj		
jakkolwiek	jakkolwiek:c	comp		
jakoby	jakoby:c	comp		książk.
jako	jako:j	conj		
jakokolwiek	jakokolwiek	conj		daw.
jakoli	jakoli	conj		daw.
jakoż	jakoż	conj		przest.
jakożkolwiek	jakożkolwiek	comp		daw.
jednak	jednak:j	conj		
jeśli	jeśli	comp		
jeśliby	jeśliby	comp		
jeźli	jeźli	comp		daw.
jeźliby	jeźliby	comp		daw.
jeżeli	jeżeli	comp		
jeżeliby	jeżeliby	comp		
kieby	kieby	comp		gwar.
kiedy	kiedy:c	comp		
lecz	lecz	conj		
ledwie	ledwie:c	comp		
ledwo	ledwo:c	comp		
lub	lub	conj		
lubo	lubo:c	comp		przest.
mianowicie	mianowicie	conj		
miast	miast:j	conj		daw.
miasto	miasto:j	conj		daw.
namiast	namiast	conj		daw.
natomiast	natomiast	conj		książk.
niby	niby:j	conj		książk.
niczym	niczym:j	conj		
nie	nie:j	conj		
ni	ni:j	conj		
nim	nim	comp		
niźli	niźli:j	conj		przest.
niżeli	niżeli:j	conj		
niż	niż:j	conj		
niżli	niżli:j	conj		
oraz	oraz:j	conj		
podwiel	podwiel	comp		gwar.
ponieważ	ponieważ	comp		
póki	póki	comp		
pókiż	pókiż	comp		
póty	póty	conj		
przeto	przeto	conj		książk.
przetoż	przetoż	comp		daw.
skoro	skoro:c	comp		książk.
tedy	tedy	conj		książk.
to	to:j	conj		
toteż	toteż	conj		
tudzież	tudzież	conj		książk.
tylko	tylko:j	conj		
tymczasem	tymczasem:j	conj		
tym	tym:j	conj		
vel	vel	conj		
więc	więc	conj		
wszakże	wszakże:j	conj		
wszakżeż	wszakżeż	conj		
zaledwie	zaledwie:c	comp		
zaledwo	zaledwo:c	comp		przest.
zamiast	zamiast:j	conj		
zanim	zanim	comp		
zarówno	zarówno:j	conj		
zasie	zasie:j	conj		daw.
zasię	zasię:j	conj		daw.
zaś	zaś	conj		
zatem	zatem	conj		
zwłaszcza	zwłaszcza:j	conj		
żeby	żeby:c	comp		
że	że:c	comp		
