a	a:j	conj		
aby	aby:c	comp		
aczkolwiek	aczkolwiek	comp		
albo	albo:j	conj		
albowiem	albowiem	comp		
ale	ale:j	conj		
alias	alias:j	conj		
ani	ani:j	conj		
aniżeli	aniżeli:j	conj		
aż	aż:c	comp		
aże	aże	comp		
ażeby	ażeby	comp		
bo	bo:c	comp		
bowiem	bowiem	comp		
by	by:c	comp		
byle	byle:c	comp		
byleby	byleby:c	comp		
bądź	bądź:j	conj		
chociaż	chociaż:c	comp		
chociażby	chociażby:c	comp		
choć	choć:c	comp		
choćby	choćby:c	comp		
co	co:c	comp		
Co	company	brev:pun		
compact	compact	subst:sg:acc:m3	nazwa pospolita	
compact	compact	subst:sg:nom:m3	nazwa pospolita	
compactach	compact	subst:pl:loc:m3	nazwa pospolita	
compactami	compact	subst:pl:inst:m3	nazwa pospolita	
compactem	compact	subst:sg:inst:m3	nazwa pospolita	
compactom	compact	subst:pl:dat:m3	nazwa pospolita	
compactowi	compact	subst:sg:dat:m3	nazwa pospolita	
compactu	compact	subst:sg:gen:m3	nazwa pospolita	
compacty	compact	subst:pl:acc:m3	nazwa pospolita	
compacty	compact	subst:pl:nom:m3	nazwa pospolita	
compacty	compact	subst:pl:voc:m3	nazwa pospolita	
compactów	compact	subst:pl:gen:m3	nazwa pospolita	
compakcie	compact	subst:sg:loc:m3	nazwa pospolita	
compakcie	compact	subst:sg:voc:m3	nazwa pospolita	
compluvia	compluvium	subst:pl:acc:n2	nazwa pospolita	
compluvia	compluvium	subst:pl:nom:n2	nazwa pospolita	
compluvia	compluvium	subst:pl:voc:n2	nazwa pospolita	
compluviach	compluvium	subst:pl:loc:n2	nazwa pospolita	
compluviami	compluvium	subst:pl:inst:n2	nazwa pospolita	
compluviom	compluvium	subst:pl:dat:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:acc:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:dat:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:gen:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:inst:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:loc:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:nom:n2	nazwa pospolita	
compluvium	compluvium	subst:sg:voc:n2	nazwa pospolita	
compluviów	compluvium	subst:pl:gen:n2	nazwa pospolita	
czy	czy:j	conj		
czyli	czyli:j	conj		
czym	czym	conj		
dopóki	dopóki	comp		
dopóty	dopóty	conj		
ergo	ergo	conj		
ewentualnie	ewentualnie:j	conj		
gdyby	gdyby:c	comp		
gdybyż	gdybyż	comp		
gdyż	gdyż	comp		
i	i:j	conj		
im	im	comp		
inaczej	inaczej:j	conj		
iż	iż	comp		
iżby	iżby	comp		
jak	jak:j	conj		
jakby	jakby:c	comp		
jakkolwiek	jakkolwiek:c	comp		
jako	jako:j	conj		
jakoby	jakoby:c	comp		książk.
jednak	jednak:j	conj		
jeśli	jeśli	comp		
jeśliby	jeśliby	comp		
jeżeli	jeżeli	comp		
jeżeliby	jeżeliby	comp		
kieby	kieby	comp		gwar.
kiedy	kiedy:c	comp		
lecz	lecz	conj		
ledwie	ledwie:c	comp		
ledwo	ledwo:c	comp		
lub	lub	conj		
mianowicie	mianowicie	conj		
natomiast	natomiast	conj		książk.
ni	ni:j	conj		
niby	niby:j	conj		książk.
niczym	niczym:j	conj		
nie	nie:j	conj		
nim	nim	comp		
niż	niż:j	conj		
niżeli	niżeli:j	conj		
niżli	niżli:j	conj		
oraz	oraz:j	conj		
podwiel	podwiel	comp		gwar.
ponieważ	ponieważ	comp		
przeto	przeto	conj		książk.
póki	póki	comp		
pókiż	pókiż	comp		
póty	póty	conj		
skoro	skoro:c	comp		książk.
tedy	tedy	conj		książk.
to	to:j	conj		
toteż	toteż	conj		
tudzież	tudzież	conj		książk.
tylko	tylko:j	conj		
tym	tym:j	conj		
tymczasem	tymczasem:j	conj		
vel	vel	conj		
więc	więc	conj		
wszakże	wszakże:j	conj		
wszakżeż	wszakżeż	conj		
zaledwie	zaledwie:c	comp		
zamiast	zamiast:j	conj		
zanim	zanim	comp		
zarówno	zarówno:j	conj		
zatem	zatem	conj		
zaś	zaś	conj		
zwłaszcza	zwłaszcza:j	conj		
że	że:c	comp		
żeby	żeby:c	comp		
