spoko	qub_interj		1		wykrzyknik nawołujący do zachowania spokoju	
spoko	qub_interj		2		partykuła wyrażająca przyzwolenie lub aprobatę; tak, w porządku, dobrze, zgoda	
a	qub	III			partykuła nawiązująca do kontekstu lub sytuacji i zarazem wprowadzająca wypowiedzenia o różnych odcieniach intonacyjnych	A nie mówiłam? A niech sobie śpiewa.
aby	qub	II	1		partykuła wyrażająca życzenie mówiącego	Aby wam się dobrze działo!
aby	qub	II	2		partykuła wyrażająca wątpliwość mówiącego co do prawdziwości sądu zawartego w pytaniu	Aby nie za późno na wizytę?
akurat	qub	I	1		 partykuła podkreślająca, że jest dokładnie tak, jak to komunikuje wyraz, do którego się ona odnosi	Jest akurat pięć jabłek dla nas pięciorga.
akurat	qub	I	2		partykuła wyróżniająca, ze względu na daną cechę, wskazany w kontekście obiekt i przeciwstawiająca go innym obiektom, które nie mają tej cechy	Te akurat banderole są oryginalne.
albo	qub	II			partykuła wprowadzająca pytanie retoryczne, zaprzeczające komunikowanej w nim treści	Albo ona to zrozumie?
alboż	qub				zobacz „albo II” 	
ale	qub	II			partykuła wzmacniająca, wyrażająca zdumienie, podziw, zaskoczenie, podkreślająca kontrast sytuacji	Ale suknia! Ale pomówmy poważnie!
ależ	qub	I			zobacz „ale II” 	
ani	qub	II		a	partykuła przecząca poprzedzająca orzeczenie czasownikowe	Ani pisnął.
ani	qub	II		b	niektóre użycia rzeczownikowe	Nie wypił ani kropli.
ani	qub	II		c	występująca w utartych połączeniach oznaczających brak czegoś	Ani krzty; ani odrobinę; ani razu; ani trochę.
ano	qub				partykuła wzmacniająca, nawiązująca lub wykrzyknikowa	To on nie był u dentysty? – Ano stchórzył.
aż	qub	II		a	partykuła wyrażająca wyższy od oczekiwanego stopień intensywności	Mieli aż czworo dzieci.
aż	qub	II		b	albo używana przed wyrażeniami nazywającymi miejsce, punkt czasowy lub określającymi kolejność: dalej lub później niż mówiący tego oczekiwał	Spałam aż do dziesiątej.
ażeby	qub	II			zobacz „aby II”  w znaczeniu 1	
ba	qub	I			partykuła potwierdzająca wcześniej wyrażoną myśl i zapowiadająca dodatkowy sąd	Mówił o tym z wielką kulturą, ba, z dużą delikatnością.
bo	qub	II		a	partykuła mająca charakter wzmacniający, zwykle w zwrotach przeciwstawnych	Ładna, bo ładna, ale głupia
bo	qub	II		b	lub wprowadzająca pytanie retoryczne, zaprzeczająca komunikowanej w nim treści	Bo to prawda?, Bo ja wiem?
bodaj	qub	I	1		partykuła wyrażająca przypuszczenie mówiącego, że komunikowany w zdaniu sąd jest prawdziwy, a niekiedy wątpliwość co do prawdziwości powtarzanego za kimś sądu	To bodaj ich jedyne dziecko.
