cichaczem	SJP
pewny	SJP
po trochu	SJP
ukosem	SJP
wcale	SJP
a zatem	SJP
chyba że	SJP
chyba żeby	SJP
gdzie indziej	SJP
kiedy indziej	SJP
jak i	SJP
jak również	SJP
jak też	SJP
o ile	SJP
o tyle	SJP
zarówno..., jak	SJP
co prawda..., ale (jednak, lecz)...	SJP
wprawdzie..., ale (jednak, lecz)...	SJP
zarówno ..., jak (i, też) ...	SJP
tylekroć	SJP
tyle razy	SJP
tuzin
kopa
co do
w poprzek	Walenty
via	Walenty
poniżej	Walenty
powyżej	Walenty
pośrodku	Walenty
vis-à-vis	Walenty
spopod	Walenty
donikąd	Walenty
długo	Walenty
jeszcze	adv-Walenty
już	adv-Walenty
krótko	adv-Walenty
nisko	adv-Walenty
wysoko	adv-Walenty
którędyś	adv-Walenty
często	adv-Walenty
nieczęsto	adv-Walenty
niedawno	adv-Walenty
niedługo	adv-Walenty
czasem
czasami
nieregularnie	adv-Walenty
nierzadko	adv-Walenty
ówcześnie	adv-Walenty
regularnie	adv-Walenty
sporadycznie	adv-Walenty




