Y	Y	subst:sg:_:_
nad ranem	nad ranem	adv
jak daleko	jak daleko	adv
o ile	o_ile	comp
w celu	w celu	prep:gen
wraz z	wraz z	prep:inst
w górę	w_górę	qub
dzień dobry	dzień dobry	interj
Dzień Dobry	dzień dobry	interj
do widzenia	do widzenia	interj
do zobaczenia	do zobaczenia	interj
do następnego razu	do następnego razu	interj
luz	luz	interj
yes	yes	interj
yhym	yhym	interj
yeap	yeap	interj
aj	aj	interj
niech będzie	niech będzie	interj
wszystko jasne	wszystko jasne	interj
to ważne	to ważne	interj
trochę słabo	trochę słabo	interj
to znaczy	to znaczy	interj
w porządku	w porządku	interj
na przykład	na przykład	interj

